# {"t_start": 1614162621.1441183, "env_id": "Half-Cheetah-RM2-v0"} 
r,l,t
-563.75199,1000,8.288079
-596.8806,1000,12.969323
-591.389433,1000,17.763612
-592.311613,1000,22.358188
-598.365667,1000,27.02616
-567.135048,1000,32.501906
-596.248348,1000,37.131246
-599.999744,1000,41.725214
-599.813365,1000,46.666379
-599.996963,1000,51.370869
-597.084193,1000,55.966108
-599.812157,1000,60.718343
-599.91721,1000,65.7391
-598.599138,1000,70.691233
-599.940222,1000,75.913831
-599.9944,1000,80.754543
-599.99619,1000,85.785003
-595.874316,1000,90.437927
-599.990433,1000,95.290594
-599.884603,1000,100.17629
-599.99979,1000,105.080815
-564.911987,1000,109.857924
-600.0,1000,114.772091
-600.0,1000,119.606375
-599.989809,1000,124.212828
-599.999758,1000,128.933799
-599.999995,1000,133.781778
-595.690472,1000,138.469765
-599.998461,1000,143.207068
-599.942562,1000,147.989919
-599.99821,1000,152.835126
-600.0,1000,157.485963
-600.0,1000,162.298359
-599.852648,1000,167.231212
-596.092885,1000,172.169785
-599.899696,1000,176.991494
-598.76727,1000,181.984519
-599.731943,1000,186.950434
-598.773719,1000,191.713396
-597.332791,1000,196.447194
-598.936801,1000,201.338758
-599.213912,1000,206.140028
-599.243504,1000,210.930046
-598.155226,1000,215.715602
-599.2141,1000,220.664804
-596.684416,1000,225.340436
-597.267845,1000,230.187714
-599.811257,1000,235.313532
-598.528838,1000,240.223006
-598.390962,1000,244.92823
-598.820493,1000,249.863163
-599.030358,1000,254.660427
-599.023082,1000,259.428772
-598.454772,1000,264.261083
-599.584111,1000,269.225543
-599.415367,1000,274.075209
-599.515547,1000,278.918201
-599.026111,1000,283.781724
-598.513845,1000,288.719699
-599.416896,1000,293.392601
-599.208192,1000,298.183676
-599.153031,1000,302.977339
-599.532079,1000,307.891796
-599.240228,1000,312.568929
-599.201092,1000,317.452413
-598.955857,1000,322.292493
-598.983044,1000,327.167238
-598.274672,1000,331.90004
-599.266135,1000,336.93171
-599.799848,1000,341.764241
-599.520015,1000,346.594
-599.678342,1000,351.443259
-599.802035,1000,356.422174
-599.420477,1000,361.169043
-600.0,1000,366.02784
-599.976465,1000,370.957232
-599.999979,1000,375.994469
-599.454997,1000,380.716956
-599.773187,1000,385.714896
-598.507101,1000,390.505423
-598.972207,1000,395.421857
-598.823676,1000,400.146151
-598.875868,1000,405.151456
-599.866987,1000,410.064124
-599.478459,1000,414.971417
-599.99995,1000,419.815634
-599.88339,1000,424.883754
-599.346816,1000,429.728226
-599.980937,1000,434.670793
-599.21736,1000,439.440856
-598.198781,1000,444.399753
-599.980148,1000,449.001387
-599.891761,1000,453.933872
-599.999872,1000,458.775798
-599.659804,1000,463.747089
-599.924816,1000,468.474634
-599.904526,1000,473.473356
-598.585626,1000,478.344562
-599.929724,1000,483.295998
-599.999831,1000,488.091568
-600.0,1000,493.153266
-599.999816,1000,498.233353
-599.999895,1000,503.224412
-599.997657,1000,508.050071
-600.0,1000,513.243039
-600.0,1000,517.858535
-600.0,1000,522.779652
-599.999994,1000,527.644889
-599.999988,1000,532.677063
-599.999951,1000,537.357454
-599.928669,1000,542.469288
-600.0,1000,547.381611
-600.0,1000,552.368757
-599.996774,1000,557.19996
-599.997922,1000,562.332027
-600.0,1000,567.147797
-598.032696,1000,572.110726
-599.980677,1000,577.034877
-599.068991,1000,582.089667
-596.898745,1000,586.79941
-599.980207,1000,591.837431
-599.969433,1000,596.778501
-598.784302,1000,601.841132
-600.0,1000,606.597744
-600.0,1000,611.718986
-600.0,1000,616.554787
-599.38413,1000,621.475867
-599.858899,1000,626.252118
-599.956606,1000,631.453594
-599.957781,1000,636.256636
-597.663055,1000,641.318828
-599.903053,1000,646.237064
-600.0,1000,651.357285
-599.999932,1000,656.073031
-598.369755,1000,661.209364
-599.769463,1000,666.045205
-598.314437,1000,671.04359
-599.999346,1000,675.883394
-598.98597,1000,681.105357
-599.506053,1000,686.078208
-598.913684,1000,691.141297
-597.818342,1000,696.031332
-600.0,1000,701.370349
-599.99997,1000,706.391103
-599.876334,1000,712.003982
-599.560563,1000,717.043154
-599.99814,1000,722.341852
-599.982511,1000,727.209078
-600.0,1000,732.529818
-599.993273,1000,737.91504
-600.0,1000,743.791337
-599.997541,1000,749.531616
-599.907034,1000,755.244613
-599.999894,1000,760.708872
-600.0,1000,766.212824
-600.0,1000,771.272423
-600.0,1000,776.549326
-600.0,1000,781.630181
-600.0,1000,787.085042
-599.98692,1000,792.160351
-599.987647,1000,797.461034
-599.999764,1000,802.764372
-599.893129,1000,808.861403
-599.927864,1000,814.464397
-599.999993,1000,819.978164
-599.999997,1000,825.121255
-600.0,1000,830.490459
-593.505664,1000,835.578716
-600.0,1000,841.160356
-599.999504,1000,846.179276
-599.996294,1000,851.582388
-600.0,1000,856.775806
-600.0,1000,862.173385
-599.900324,1000,867.265024
-598.456528,1000,872.786944
-600.0,1000,878.165808
-600.0,1000,883.494665
-600.0,1000,888.690254
-600.0,1000,894.222468
-599.999064,1000,899.177392
-599.993898,1000,904.618492
-598.686983,1000,909.898601
-599.986309,1000,915.350536
-599.049921,1000,920.511009
-597.801867,1000,926.097096
-599.178658,1000,931.236487
-599.995079,1000,936.734315
-599.768323,1000,941.945381
-599.885443,1000,948.220903
-599.489355,1000,953.534202
-599.997232,1000,959.14075
-599.618223,1000,964.315952
-599.384081,1000,969.805155
-598.483803,1000,975.30013
-599.95129,1000,980.944695
-599.626174,1000,985.971776
-599.896145,1000,992.135987
-599.85479,1000,997.323862
-599.999986,1000,1002.88361
-599.668915,1000,1008.036304
-599.91755,1000,1013.657649
-599.99312,1000,1018.824477
-598.096539,1000,1024.382273
-599.848786,1000,1029.704023
-599.991386,1000,1035.474113
-599.999715,1000,1040.75904
-598.707382,1000,1046.571334
-597.482869,1000,1051.748059
-599.439174,1000,1057.29021
-596.940536,1000,1062.513886
-597.362699,1000,1068.08104
-599.588499,1000,1073.114208
-597.830217,1000,1078.866055
-599.999577,1000,1084.267615
-599.517548,1000,1089.904051
-598.580348,1000,1095.12569
-599.941803,1000,1100.90633
-599.83956,1000,1106.154827
-599.172014,1000,1111.825794
-598.46218,1000,1117.061329
-598.552993,1000,1122.681092
-600.0,1000,1127.777014
-598.575714,1000,1133.49395
-598.666611,1000,1138.745872
-598.827939,1000,1144.324739
-599.903391,1000,1149.636288
-600.0,1000,1155.394297
-598.551721,1000,1160.522335
-599.552225,1000,1166.192764
-598.393214,1000,1171.457904
-598.439791,1000,1177.765537
-599.200247,1000,1183.757067
-598.834221,1000,1189.818308
-599.993922,1000,1195.05117
-599.394979,1000,1200.852359
-600.0,1000,1206.20536
-599.091581,1000,1211.865425
-599.758676,1000,1217.070165
-598.188172,1000,1222.904755
-599.343246,1000,1228.244927
-598.908178,1000,1234.023868
-599.50141,1000,1239.327288
-599.803735,1000,1245.11515
-600.0,1000,1250.340475
-598.592597,1000,1256.242132
-597.913339,1000,1261.631557
-599.304206,1000,1267.391863
-599.985538,1000,1272.781097
-600.0,1000,1278.584997
-600.0,1000,1283.768891
-599.995946,1000,1289.645156
-599.999417,1000,1295.02626
-600.0,1000,1300.78371
-600.0,1000,1306.116601
-600.0,1000,1311.989337
-600.0,1000,1317.201746
-600.0,1000,1323.04705
-600.0,1000,1328.468652
-600.0,1000,1334.321347
-600.0,1000,1339.606988
-600.0,1000,1345.480992
-600.0,1000,1350.788919
-600.0,1000,1356.609861
-600.0,1000,1362.064739
-600.0,1000,1368.321545
-600.0,1000,1374.094839
-600.0,1000,1380.02168
-600.0,1000,1385.290312
-600.0,1000,1391.067902
-600.0,1000,1396.457223
-600.0,1000,1402.346013
-600.0,1000,1407.549191
-600.0,1000,1413.487443
-600.0,1000,1418.864415
-600.0,1000,1424.523517
-600.0,1000,1429.907392
-600.0,1000,1435.920453
-600.0,1000,1441.095631
-600.0,1000,1446.955451
-600.0,1000,1452.319826
-600.0,1000,1458.099099
-600.0,1000,1463.410875
-600.0,1000,1469.370705
-599.949324,1000,1474.751531
-600.0,1000,1480.672696
-600.0,1000,1486.111971
-600.0,1000,1492.079626
-600.0,1000,1497.374394
-600.0,1000,1503.407704
-600.0,1000,1508.782494
-600.0,1000,1514.686332
-600.0,1000,1520.1274
-600.0,1000,1526.104215
-600.0,1000,1531.373743
-600.0,1000,1537.359403
-600.0,1000,1542.808201
-600.0,1000,1548.763485
-600.0,1000,1554.268153
-600.0,1000,1560.283169
-600.0,1000,1565.532746
-600.0,1000,1571.573131
-600.0,1000,1577.031835
-600.0,1000,1582.923985
-600.0,1000,1588.541875
-600.0,1000,1594.60791
-600.0,1000,1599.862618
-600.0,1000,1605.883861
-600.0,1000,1611.415407
-600.0,1000,1617.294218
-600.0,1000,1622.662935
-600.0,1000,1628.73142
-600.0,1000,1634.015333
-600.0,1000,1640.040109
-600.0,1000,1645.568572
-600.0,1000,1651.590436
-600.0,1000,1656.976514
-600.0,1000,1663.15198
-600.0,1000,1668.582458
-600.0,1000,1674.641033
-600.0,1000,1680.192814
-600.0,1000,1686.370661
-600.0,1000,1691.908184
-600.0,1000,1698.21126
-600.0,1000,1703.69839
-600.0,1000,1709.761517
-600.0,1000,1715.361696
-600.0,1000,1721.527989
-600.0,1000,1726.968381
-599.999243,1000,1733.287652
-600.0,1000,1738.897903
-600.0,1000,1745.102941
-600.0,1000,1750.810246
-600.0,1000,1757.055652
-600.0,1000,1762.641085
-599.999933,1000,1768.994347
-600.0,1000,1774.554396
-600.0,1000,1780.707747
-600.0,1000,1786.620367
-599.999999,1000,1792.790652
-600.0,1000,1798.219824
-600.0,1000,1804.571116
-600.0,1000,1810.127768
-600.0,1000,1816.32699
-600.0,1000,1821.964845
-600.0,1000,1828.273448
-600.0,1000,1833.79824
-600.0,1000,1840.120916
-600.0,1000,1845.719257
-600.0,1000,1852.018453
-600.0,1000,1857.685807
-600.0,1000,1863.936241
-600.0,1000,1869.46024
-599.900515,1000,1875.985343
-599.999956,1000,1881.568892
-600.0,1000,1887.879749
-599.999999,1000,1893.495292
-599.999999,1000,1899.729381
-600.0,1000,1905.328045
-600.0,1000,1911.672801
-600.0,1000,1917.235173
-600.0,1000,1923.503416
-599.991919,1000,1929.124857
-600.0,1000,1935.412463
-600.0,1000,1940.979595
-600.0,1000,1947.397481
-600.0,1000,1953.013579
-600.0,1000,1959.649168
-599.999033,1000,1965.38366
-600.0,1000,1971.730676
-600.0,1000,1977.393064
-599.999983,1000,1983.823112
-600.0,1000,1989.449116
-600.0,1000,1996.138083
-599.999999,1000,2002.219564
-600.0,1000,2008.483052
-600.0,1000,2014.060336
-599.976911,1000,2020.462471
-599.999999,1000,2026.086544
-599.33561,1000,2032.395283
-600.0,1000,2038.085106
-599.999974,1000,2044.421425
-600.0,1000,2050.041208
-600.0,1000,2056.520747
-600.0,1000,2062.100101
-600.0,1000,2068.5104
-600.0,1000,2074.221612
-599.992861,1000,2080.553643
-600.0,1000,2086.095258
-599.996351,1000,2092.503811
-599.999778,1000,2097.986768
-599.910145,1000,2104.366462
-600.0,1000,2110.026021
-600.0,1000,2116.337708
-600.0,1000,2121.890886
-599.998436,1000,2128.274043
-600.0,1000,2134.077486
-599.999413,1000,2140.775288
-600.0,1000,2146.497926
-599.98928,1000,2152.867324
-599.926127,1000,2158.48493
-599.980115,1000,2165.000041
-600.0,1000,2170.531296
-600.0,1000,2177.023611
-600.0,1000,2182.739869
-600.0,1000,2189.077118
-599.991773,1000,2194.790656
-599.999999,1000,2201.308337
-600.0,1000,2206.796969
-599.897179,1000,2213.337266
-600.0,1000,2219.140047
-600.0,1000,2225.566688
-599.999999,1000,2231.312239
-600.0,1000,2237.849728
-599.904426,1000,2243.485375
-600.0,1000,2250.005919
-600.0,1000,2255.695959
-600.0,1000,2262.054658
-599.947843,1000,2267.666563
-600.0,1000,2274.125543
-599.999984,1000,2279.612948
-599.900577,1000,2286.097826
-599.999964,1000,2291.810784
-600.0,1000,2298.234322
-600.0,1000,2303.924601
-600.0,1000,2310.391494
-600.0,1000,2315.923339
-600.0,1000,2322.635982
-599.945811,1000,2328.459232
-600.0,1000,2335.463867
-599.865766,1000,2341.239401
-600.0,1000,2347.722064
-599.929869,1000,2353.272956
-600.0,1000,2360.36624
-600.0,1000,2365.955909
-599.992663,1000,2372.424736
-600.0,1000,2378.199386
-600.0,1000,2384.749294
-600.0,1000,2390.390984
-600.0,1000,2397.300035
-600.0,1000,2402.90864
-600.0,1000,2409.403382
-600.0,1000,2415.141351
-600.0,1000,2421.567832
-599.998597,1000,2427.191406
-599.988738,1000,2433.661857
-600.0,1000,2439.288975
-600.0,1000,2445.766552
-599.999999,1000,2451.29251
-599.99956,1000,2457.648623
-600.0,1000,2463.204633
-599.998301,1000,2469.580081
-600.0,1000,2475.06875
-599.999967,1000,2481.523712
-599.988001,1000,2487.103314
-599.998357,1000,2493.603168
-599.999941,1000,2499.206255
-600.0,1000,2505.674052
-599.735111,1000,2511.18126
-599.975676,1000,2517.691668
-600.0,1000,2523.323187
-600.0,1000,2529.980777
-600.0,1000,2535.813663
-600.0,1000,2542.525164
-600.0,1000,2548.184909
-600.0,1000,2554.775588
-599.964352,1000,2560.423258
-599.888999,1000,2567.044304
-599.862892,1000,2572.931307
-599.99468,1000,2580.11776
-599.997273,1000,2586.190369
-599.933726,1000,2593.315855
-600.0,1000,2599.510854
-600.0,1000,2606.201954
-599.918286,1000,2611.803215
-600.0,1000,2618.301357
-599.999999,1000,2623.839657
-600.0,1000,2630.403436
-599.999555,1000,2636.05582
-599.99997,1000,2642.682645
-600.0,1000,2648.378632
-600.0,1000,2655.021601
-600.0,1000,2660.597581
-600.0,1000,2667.134125
-600.0,1000,2672.717142
-600.0,1000,2679.251513
-600.0,1000,2684.965652
-600.0,1000,2691.712973
-600.0,1000,2697.338882
-600.0,1000,2703.891979
-600.0,1000,2709.48747
-600.0,1000,2716.122508
-600.0,1000,2721.749756
-599.996014,1000,2728.399498
-599.917248,1000,2734.075149
-600.0,1000,2740.741355
-599.912031,1000,2746.472628
-600.0,1000,2753.141564
-599.999624,1000,2758.774886
-600.0,1000,2765.347529
-599.999657,1000,2770.831243
-600.0,1000,2777.322478
-599.940304,1000,2782.821105
-600.0,1000,2789.394136
-600.0,1000,2794.998217
-599.972188,1000,2801.710919
-600.0,1000,2807.301641
-599.878126,1000,2813.911402
-600.0,1000,2819.558959
-600.0,1000,2826.231285
-600.0,1000,2831.880403
-599.996204,1000,2838.531085
-600.0,1000,2844.210794
-599.996717,1000,2851.240882
-600.0,1000,2856.862228
-600.0,1000,2863.527518
-600.0,1000,2869.133298
-599.913611,1000,2875.831009
-599.99996,1000,2881.448848
-599.897245,1000,2888.153885
-599.941297,1000,2893.821734
-599.985512,1000,2900.453289
-600.0,1000,2906.031247
-600.0,1000,2912.638284
-599.995367,1000,2918.262602
-599.999555,1000,2925.036041
-599.994591,1000,2930.763484
-600.0,1000,2937.502254
-600.0,1000,2943.148331
-599.994554,1000,2949.831643
-599.999919,1000,2955.513443
-599.997619,1000,2962.155304
-599.99972,1000,2967.750054
-600.0,1000,2974.479907
-600.0,1000,2980.294165
-600.0,1000,2987.669105
-599.999858,1000,2994.020112
-599.999945,1000,3001.316348
-599.96543,1000,3007.017587
-599.91014,1000,3013.90287
-600.0,1000,3019.553481
-599.88752,1000,3026.252379
-599.999396,1000,3031.914749
