episodes,steps,total reward
9,10000,0.0
19,20000,0.0
29,30000,0.0
39,40000,0.0
49,50000,0.0
59,60000,0.0
69,70000,0.0
79,80000,0.0
89,90000,0.0
99,100000,0.0
109,110000,0.0
119,120000,0.0
129,130000,0.0
139,140000,0.0
149,150000,0.0
159,160000,0.0
169,170000,0.0
179,180000,0.0
189,190000,0.0
199,200000,0.0
209,210000,0.0
219,220000,0.0
229,230000,0.0
239,240000,0.0
249,250000,0.0
260,260000,1.0
270,270000,0.0
280,280000,0.0
290,290000,0.0
300,300000,1.0
310,310000,0.0
320,320000,0.0
330,330000,0.0
341,340000,2.0
351,350000,2.0
362,360000,3.0
373,370000,4.0
385,380000,4.0
398,390000,7.0
411,400000,7.0
426,410000,12.0
444,420000,13.0
463,430000,14.0
483,440000,14.0
508,450000,22.0
535,460000,24.0
555,470000,13.0
589,480000,32.0
613,490000,21.0
653,500000,37.0
689,510000,34.0
730,520000,39.0
785,530000,55.0
856,540000,70.0
926,550000,70.0
1003,560000,77.0
1098,570000,94.0
1218,580000,120.0
1354,590000,136.0
1478,600000,124.0
1615,610000,137.0
1757,620000,142.0
1891,630000,134.0
2027,640000,137.0
2170,650000,142.0
2312,660000,142.0
2447,670000,135.0
2587,680000,139.0
2721,690000,134.0
2864,700000,143.0
3000,710000,136.0
3143,720000,143.0
3285,730000,142.0
3431,740000,146.0
3575,750000,144.0
3719,760000,144.0
3864,770000,145.0
4009,780000,145.0
4151,790000,142.0
4296,800000,145.0
4441,810000,145.0
4584,820000,143.0
4729,830000,145.0
4873,840000,144.0
5018,850000,145.0
5160,860000,142.0
5305,870000,145.0
5447,880000,142.0
5592,890000,145.0
5735,900000,143.0
5880,910000,145.0
6025,920000,145.0
6169,930000,144.0
6312,940000,143.0
6456,950000,144.0
6601,960000,145.0
6744,970000,143.0
6888,980000,144.0
7034,990000,146.0
7176,1000000,142.0
7321,1010000,146.0
7466,1020000,144.0
7612,1030000,146.0
7757,1040000,145.0
7901,1050000,144.0
8044,1060000,143.0
8189,1070000,145.0
8334,1080000,145.0
8478,1090000,144.0
8622,1100000,144.0
8762,1110000,140.0
8907,1120000,145.0
9050,1130000,143.0
9195,1140000,145.0
9339,1150000,144.0
9485,1160000,146.0
9626,1170000,141.0
9769,1180000,143.0
9914,1190000,145.0
10060,1200000,146.0
10204,1210000,144.0
10346,1220000,142.0
10492,1230000,146.0
10636,1240000,144.0
10780,1250000,144.0
10926,1260000,146.0
11070,1270000,144.0
11215,1280000,145.0
11359,1290000,145.0
11505,1300000,145.0
11649,1310000,144.0
11793,1320000,144.0
11939,1330000,146.0
12082,1340000,143.0
12227,1350000,145.0
12371,1360000,144.0
12514,1370000,143.0
12653,1380000,139.0
12799,1390000,146.0
12945,1400000,146.0
13090,1410000,145.0
13236,1420000,146.0
13381,1430000,145.0
13525,1440000,144.0
13671,1450000,146.0
13812,1460000,141.0
13958,1470000,146.0
14103,1480000,145.0
14246,1490000,143.0
14392,1500000,146.0
14536,1510000,144.0
14681,1520000,145.0
14826,1530000,145.0
14971,1540000,145.0
15115,1550000,144.0
15260,1560000,145.0
15404,1570000,144.0
15549,1580000,145.0
15694,1590000,145.0
15839,1600000,145.0
15982,1610000,143.0
16128,1620000,146.0
16272,1630000,144.0
16417,1640000,145.0
16562,1650000,145.0
16708,1660000,146.0
16853,1670000,145.0
16997,1680000,144.0
17142,1690000,145.0
17286,1700000,144.0
17433,1710000,147.0
17576,1720000,143.0
17720,1730000,144.0
17865,1740000,145.0
18009,1750000,144.0
18153,1760000,144.0
18298,1770000,145.0
18437,1780000,139.0
18581,1790000,144.0
18726,1800000,145.0
18864,1810000,138.0
19008,1820000,144.0
19151,1830000,143.0
19296,1840000,145.0
19440,1850000,144.0
19584,1860000,144.0
19729,1870000,145.0
19873,1880000,144.0
20018,1890000,145.0
20162,1900000,144.0
20305,1910000,143.0
20449,1920000,144.0
20593,1930000,144.0
20739,1940000,146.0
20882,1950000,143.0
21020,1960000,138.0
21164,1970000,144.0
21308,1980000,144.0
21453,1990000,145.0
21597,2000000,144.0
