# {"t_start": 1614889890.1551826, "env_id": "Craft-single-M9-v0"} 
r,l,t
0.0,1000,0.189608
0.0,1000,0.37901
0.0,1000,0.565801
0.0,1000,0.751364
0.0,1000,0.93763
0.0,1000,1.123186
0.0,1000,1.308627
0.0,1000,1.493796
0.0,1000,1.679419
0.0,1000,1.86569
0.0,1000,2.051661
0.0,1000,2.237367
0.0,1000,2.426395
0.0,1000,2.612015
0.0,1000,2.798508
0.0,1000,2.984891
0.0,1000,3.170539
0.0,1000,3.356202
0.0,1000,3.542653
0.0,1000,3.728919
0.0,1000,3.915484
0.0,1000,4.102177
0.0,1000,4.288992
0.0,1000,4.475429
0.0,1000,4.661638
0.0,1000,4.847762
0.0,1000,5.036552
0.0,1000,5.223134
0.0,1000,5.409753
0.0,1000,5.595972
0.0,1000,5.782794
0.0,1000,5.969433
0.0,1000,6.155931
0.0,1000,6.342979
0.0,1000,6.529541
0.0,1000,6.715675
0.0,1000,6.901826
0.0,1000,7.087863
0.0,1000,7.273988
0.0,1000,7.460513
0.0,1000,7.647604
0.0,1000,7.834557
0.0,1000,8.021087
0.0,1000,8.207678
0.0,1000,8.397506
0.0,1000,8.584667
0.0,1000,8.772134
0.0,1000,8.960065
0.0,1000,9.148264
0.0,1000,9.336884
0.0,1000,9.523824
0.0,1000,9.71066
0.0,1000,9.897912
0.0,1000,10.084996
0.0,1000,10.272175
0.0,1000,10.458809
0.0,1000,10.64595
0.0,1000,10.832394
0.0,1000,11.019077
0.0,1000,11.205415
0.0,1000,11.392444
0.0,1000,11.579413
0.0,1000,11.766178
0.0,1000,11.952786
0.0,1000,12.139953
0.0,1000,12.326813
0.0,1000,12.513954
0.0,1000,12.703313
0.0,1000,12.891102
0.0,1000,13.078067
0.0,1000,13.264943
0.0,1000,13.450978
0.0,1000,13.637762
0.0,1000,13.824291
0.0,1000,14.010788
0.0,1000,14.19718
0.0,1000,14.383703
0.0,1000,14.570896
0.0,1000,14.757383
0.0,1000,14.944191
0.0,1000,15.130909
0.0,1000,15.317724
0.0,1000,15.504438
0.0,1000,15.691013
0.0,1000,15.877428
0.0,1000,16.064378
0.0,1000,16.251033
0.0,1000,16.437201
0.0,1000,16.623608
0.0,1000,16.810568
0.0,1000,16.997136
0.0,1000,17.183762
0.0,1000,17.370105
0.0,1000,17.556666
0.0,1000,17.743134
0.0,1000,17.929104
0.0,1000,18.115527
0.0,1000,18.302746
0.0,1000,18.4922
0.0,1000,18.678987
0.0,1000,18.865937
0.0,1000,19.052283
0.0,1000,19.238329
0.0,1000,19.424193
0.0,1000,19.611148
0.0,1000,19.797219
0.0,1000,19.984211
0.0,1000,20.170704
0.0,1000,20.356892
0.0,1000,20.543061
0.0,1000,20.729306
0.0,1000,20.915462
0.0,1000,21.101489
0.0,1000,21.288049
0.0,1000,21.474197
0.0,1000,21.660715
0.0,1000,21.847031
0.0,1000,22.033325
0.0,1000,22.21931
0.0,1000,22.405449
0.0,1000,22.591538
0.0,1000,22.777819
0.0,1000,22.964176
0.0,1000,23.150217
0.0,1000,23.336268
0.0,1000,23.522621
0.0,1000,23.708454
0.0,1000,23.895051
0.0,1000,24.08168
0.0,1000,24.26758
0.0,1000,24.451686
0.0,1000,24.634692
0.0,1000,24.821048
0.0,1000,25.006847
0.0,1000,25.192752
0.0,1000,25.378462
0.0,1000,25.565166
0.0,1000,25.752125
0.0,1000,25.941223
0.0,1000,26.128238
0.0,1000,26.314703
0.0,1000,26.501192
0.0,1000,26.687924
0.0,1000,26.871429
0.0,1000,27.055791
0.0,1000,27.238958
0.0,1000,27.421048
0.0,1000,27.603501
0.0,1000,27.786177
0.0,1000,27.972303
0.0,1000,28.155596
0.0,1000,28.339844
0.0,1000,28.52303
0.0,1000,28.707886
0.0,1000,28.892172
0.0,1000,29.076124
0.0,1000,29.2595
0.0,1000,29.443083
0.0,1000,29.626696
0.0,1000,29.810319
0.0,1000,29.996197
0.0,1000,30.180128
0.0,1000,30.363904
0.0,1000,30.546939
0.0,1000,30.730151
0.0,1000,30.915398
0.0,1000,31.101908
0.0,1000,31.287549
0.0,1000,31.473523
0.0,1000,31.65994
0.0,1000,31.846473
0.0,1000,32.033229
0.0,1000,32.220189
0.0,1000,32.407365
0.0,1000,32.594651
0.0,1000,32.781497
0.0,1000,32.968441
0.0,1000,33.155203
0.0,1000,33.34176
0.0,1000,33.528365
0.0,1000,33.715031
0.0,1000,33.901728
0.0,1000,34.088532
0.0,1000,34.275152
0.0,1000,34.461569
0.0,1000,34.648466
0.0,1000,34.835103
0.0,1000,35.020129
0.0,1000,35.205406
0.0,1000,35.391745
0.0,1000,35.580818
0.0,1000,35.765392
