# {"t_start": 1614878296.648774, "env_id": "Craft-M6-v0"} 
r,l,t
0.0,1000,1.368375
0.0,1000,2.69864
0.0,1000,4.025874
0.0,1000,5.365601
0.0,1000,6.689603
0.0,1000,8.024726
0.0,1000,9.384371
0.0,1000,10.717853
0.0,1000,12.041065
0.0,1000,13.372638
0.0,1000,14.707409
0.0,1000,16.069057
0.0,1000,17.414759
0.0,1000,18.786431
0.0,1000,20.165659
0.0,1000,21.562956
0.0,1000,22.968899
0.0,1000,24.393947
0.0,1000,25.840003
0.0,1000,27.293083
0.0,1000,28.749572
0.0,1000,30.192276
0.0,1000,31.619992
0.0,1000,33.062178
0.0,1000,34.501487
0.0,1000,35.957091
0.0,1000,37.416907
0.0,1000,38.899616
0.0,1000,40.353632
0.0,1000,41.807639
0.0,1000,43.270305
0.0,1000,44.731318
0.0,1000,46.184967
0.0,1000,47.654399
0.0,1000,49.176142
0.0,1000,50.656589
0.0,1000,52.136036
0.0,1000,53.620059
0.0,1000,55.125275
0.0,1000,56.61265
1.0,500,57.35267
0.0,1000,58.846489
0.0,1000,60.37388
0.0,1000,61.883713
0.0,1000,63.439601
0.0,1000,64.961358
0.0,1000,66.481635
0.0,1000,68.008341
0.0,1000,69.549829
0.0,1000,71.072579
1.0,292,71.516758
0.0,1000,73.05335
0.0,1000,74.609065
0.0,1000,76.170254
0.0,1000,77.740399
0.0,1000,79.308112
0.0,1000,80.876279
0.0,1000,82.424922
0.0,1000,83.953394
0.0,1000,85.509938
1.0,85,85.64676
1.0,251,86.042648
0.0,1000,87.576432
0.0,1000,89.110373
0.0,1000,90.638813
0.0,1000,92.175119
0.0,1000,93.704377
1.0,322,94.190501
0.0,1000,95.709404
0.0,1000,97.234422
0.0,1000,98.770527
1.0,431,99.435073
0.0,1000,100.970995
1.0,863,102.294254
0.0,1000,103.859274
0.0,1000,105.420364
0.0,1000,106.991158
0.0,1000,108.575745
0.0,1000,110.153283
0.0,1000,111.741018
0.0,1000,113.336169
0.0,1000,114.949341
0.0,1000,116.734331
1.0,198,117.053572
0.0,1000,118.661541
0.0,1000,120.255845
0.0,1000,121.818164
0.0,1000,123.335651
0.0,1000,124.833002
0.0,1000,126.342643
0.0,1000,127.856746
0.0,1000,129.364405
0.0,1000,130.868054
0.0,1000,132.385278
0.0,1000,133.890537
0.0,1000,135.407417
0.0,1000,136.927455
0.0,1000,138.455261
0.0,1000,140.018451
0.0,1000,141.571154
0.0,1000,143.166383
1.0,639,144.180285
0.0,1000,145.755192
0.0,1000,147.325771
0.0,1000,148.890777
0.0,1000,150.461676
0.0,1000,152.03275
0.0,1000,153.593141
0.0,1000,155.124666
0.0,1000,156.688466
0.0,1000,158.215064
1.0,121,158.401426
0.0,1000,159.925854
0.0,1000,161.476146
0.0,1000,163.014707
0.0,1000,164.537221
0.0,1000,166.064041
0.0,1000,167.612446
0.0,1000,169.145991
0.0,1000,170.687921
0.0,1000,172.24111
1.0,210,172.574417
0.0,1000,174.160584
0.0,1000,175.714844
