episodes,steps,total reward
10,10000,1.0
20,20000,1.0
30,30000,1.0
40,40000,1.0
51,50000,1.0
61,60000,0.0
72,70000,1.0
83,80000,1.0
93,90000,1.0
103,100000,0.0
114,110000,2.0
125,120000,1.0
136,130000,1.0
147,140000,3.0
158,150000,1.0
168,160000,1.0
179,170000,1.0
190,180000,1.0
200,190000,0.0
212,200000,3.0
225,210000,4.0
238,220000,4.0
252,230000,6.0
265,240000,4.0
278,250000,5.0
290,260000,2.0
305,270000,7.0
319,280000,4.0
335,290000,7.0
349,300000,5.0
366,310000,10.0
382,320000,8.0
396,330000,5.0
414,340000,9.0
429,350000,7.0
447,360000,10.0
465,370000,10.0
484,380000,12.0
498,390000,5.0
522,400000,17.0
539,410000,8.0
559,420000,11.0
586,430000,20.0
614,440000,21.0
636,450000,14.0
665,460000,21.0
695,470000,22.0
726,480000,22.0
755,490000,23.0
786,500000,23.0
818,510000,23.0
855,520000,29.0
886,530000,23.0
926,540000,34.0
966,550000,35.0
1015,560000,45.0
1055,570000,33.0
1099,580000,38.0
1154,590000,50.0
1195,600000,35.0
1245,610000,43.0
1300,620000,49.0
1355,630000,49.0
1405,640000,43.0
1475,650000,66.0
1535,660000,56.0
1615,670000,76.0
1685,680000,67.0
1786,690000,99.0
1878,700000,89.0
1978,710000,96.0
2088,720000,107.0
2214,730000,125.0
2335,740000,120.0
2448,750000,111.0
2585,760000,136.0
2782,770000,197.0
2996,780000,214.0
3195,790000,199.0
3394,800000,199.0
3588,810000,194.0
3788,820000,200.0
3995,830000,207.0
4189,840000,193.0
4402,850000,213.0
4613,860000,211.0
4826,870000,213.0
5039,880000,213.0
5252,890000,213.0
5468,900000,216.0
5659,910000,190.0
5876,920000,217.0
6089,930000,213.0
6304,940000,215.0
6516,950000,212.0
6729,960000,213.0
6943,970000,214.0
7156,980000,213.0
7370,990000,214.0
7583,1000000,213.0
7796,1010000,213.0
8009,1020000,213.0
8225,1030000,216.0
8438,1040000,213.0
8650,1050000,212.0
8865,1060000,215.0
9076,1070000,211.0
9290,1080000,214.0
9502,1090000,212.0
9715,1100000,213.0
9929,1110000,214.0
10142,1120000,213.0
10355,1130000,213.0
10555,1140000,200.0
10768,1150000,213.0
10981,1160000,213.0
11192,1170000,211.0
11405,1180000,213.0
11618,1190000,213.0
11830,1200000,212.0
12042,1210000,212.0
12255,1220000,213.0
12469,1230000,214.0
12682,1240000,213.0
12895,1250000,213.0
13107,1260000,212.0
13319,1270000,212.0
13532,1280000,213.0
13745,1290000,213.0
13955,1300000,211.0
14167,1310000,211.0
14378,1320000,211.0
14591,1330000,213.0
14805,1340000,214.0
15016,1350000,211.0
15229,1360000,213.0
15444,1370000,215.0
15655,1380000,211.0
15868,1390000,213.0
16079,1400000,211.0
16293,1410000,214.0
16506,1420000,213.0
16718,1430000,212.0
16931,1440000,213.0
17142,1450000,212.0
17356,1460000,213.0
17568,1470000,212.0
17780,1480000,212.0
17994,1490000,214.0
18206,1500000,212.0
18420,1510000,214.0
18634,1520000,214.0
18845,1530000,211.0
19056,1540000,211.0
19268,1550000,212.0
19483,1560000,215.0
19695,1570000,213.0
19908,1580000,212.0
20118,1590000,210.0
20331,1600000,213.0
20545,1610000,214.0
20757,1620000,212.0
20972,1630000,215.0
21186,1640000,214.0
21400,1650000,214.0
21615,1660000,215.0
21826,1670000,211.0
22039,1680000,213.0
22252,1690000,213.0
22466,1700000,214.0
22679,1710000,213.0
22892,1720000,213.0
23105,1730000,213.0
23316,1740000,211.0
23531,1750000,215.0
23745,1760000,214.0
23956,1770000,211.0
24168,1780000,212.0
24382,1790000,214.0
24596,1800000,214.0
24812,1810000,216.0
25024,1820000,212.0
25236,1830000,212.0
25450,1840000,214.0
25664,1850000,214.0
25877,1860000,213.0
26092,1870000,215.0
26305,1880000,213.0
26517,1890000,212.0
26731,1900000,214.0
26945,1910000,214.0
27159,1920000,214.0
27375,1930000,216.0
27586,1940000,212.0
27798,1950000,211.0
28011,1960000,213.0
28225,1970000,214.0
28438,1980000,213.0
28649,1990000,211.0
28865,2000000,216.0
