# {"t_start": 1614836203.530295, "env_id": "Office-single-v0"} 
r,l,t
0.0,9,0.002814
0.0,59,0.010647
0.0,47,0.01678
0.0,4,0.017347
0.0,13,0.019089
0.0,43,0.024672
0.0,51,0.031295
0.0,8,0.032373
0.0,43,0.037972
0.0,20,0.040596
0.0,27,0.04412
0.0,35,0.048755
0.0,63,0.056901
0.0,122,0.072749
0.0,77,0.082769
0.0,60,0.090631
0.0,66,0.099299
0.0,31,0.103364
0.0,87,0.114749
0.0,111,0.12916
0.0,97,0.141799
0.0,114,0.15661
0.0,32,0.160822
0.0,26,0.164272
0.0,99,0.177172
0.0,63,0.185479
0.0,102,0.198689
0.0,81,0.209154
0.0,33,0.213428
0.0,11,0.214907
0.0,43,0.220436
0.0,77,0.230352
0.0,128,0.247012
1.0,268,0.281522
0.0,48,0.287725
0.0,317,0.328208
0.0,19,0.330697
0.0,65,0.339013
1.0,349,0.383013
0.0,149,0.401783
0.0,37,0.406479
0.0,408,0.456472
0.0,123,0.471535
1.0,659,0.549327
0.0,5,0.550013
0.0,18,0.552233
0.0,210,0.576884
0.0,140,0.593259
0.0,94,0.604267
1.0,172,0.624324
0.0,17,0.626367
0.0,271,0.657684
1.0,363,0.699157
0.0,6,0.699888
1.0,136,0.715327
0.0,87,0.725388
0.0,27,0.728604
0.0,61,0.735707
0.0,170,0.755204
0.0,114,0.768247
0.0,181,0.789148
0.0,23,0.791812
0.0,35,0.79586
0.0,56,0.802288
0.0,73,0.810697
1.0,214,0.835103
0.0,82,0.84455
0.0,24,0.847396
1.0,118,0.860926
0.0,2,0.861191
0.0,107,0.87359
1.0,426,0.922506
1.0,119,0.936117
1.0,142,0.95226
1.0,397,0.998639
0.0,21,1.001206
0.0,35,1.005331
1.0,118,1.019217
0.0,50,1.025032
1.0,150,1.042588
0.0,146,1.062322
1.0,129,1.077176
0.0,28,1.080451
0.0,57,1.087094
1.0,261,1.116952
1.0,275,1.148397
0.0,133,1.16356
1.0,87,1.173513
0.0,31,1.177088
0.0,14,1.17873
0.0,32,1.182417
1.0,104,1.194643
0.0,51,1.200623
0.0,18,1.202725
0.0,130,1.217994
1.0,170,1.237407
0.0,100,1.248846
1.0,210,1.272994
1.0,121,1.286736
1.0,182,1.307601
1.0,103,1.319461
1.0,81,1.328729
0.0,39,1.333227
0.0,44,1.338303
1.0,83,1.347779
0.0,15,1.349532
1.0,66,1.357062
0.0,287,1.390033
1.0,61,1.397287
1.0,40,1.402082
0.0,35,1.406237
0.0,40,1.411056
1.0,281,1.444155
1.0,42,1.449116
1.0,107,1.461706
0.0,116,1.475555
0.0,13,1.477195
1.0,63,1.484884
0.0,67,1.493047
1.0,47,1.498743
0.0,7,1.499624
1.0,70,1.508175
0.0,4,1.508704
1.0,58,1.515782
1.0,51,1.521999
1.0,245,1.551411
1.0,38,1.556
0.0,33,1.559929
1.0,64,1.56763
1.0,118,1.58199
1.0,33,1.58603
1.0,47,1.591735
1.0,203,1.616158
0.0,10,1.617345
1.0,42,1.622374
0.0,13,1.623947
1.0,63,1.631439
0.0,36,1.635749
1.0,29,1.639231
0.0,27,1.642495
0.0,121,1.657177
1.0,38,1.661845
1.0,25,1.6649
1.0,78,1.67446
0.0,40,1.679373
1.0,44,1.684865
1.0,43,1.690263
1.0,38,1.694865
1.0,34,1.699146
0.0,11,1.700529
1.0,32,1.704543
0.0,7,1.705435
1.0,30,1.709207
1.0,205,1.733885
1.0,27,1.737217
1.0,32,1.741254
1.0,88,1.752134
1.0,57,1.759225
0.0,25,1.762366
1.0,35,1.766691
1.0,33,1.77082
1.0,32,1.774726
0.0,73,1.783654
1.0,23,1.786473
0.0,131,1.802711
0.0,6,1.803477
1.0,31,1.807376
1.0,37,1.811994
0.0,24,1.815038
1.0,31,1.818842
0.0,11,1.820213
0.0,2,1.820486
1.0,27,1.823816
1.0,26,1.827129
1.0,112,1.840978
1.0,39,1.845838
1.0,28,1.849243
0.0,7,1.850185
0.0,14,1.851947
1.0,49,1.857885
1.0,31,1.861722
0.0,20,1.86418
1.0,24,1.867219
1.0,23,1.87008
0.0,28,1.873554
1.0,23,1.876467
0.0,16,1.878437
1.0,32,1.882401
1.0,26,1.885596
1.0,48,1.891503
1.0,25,1.894556
1.0,23,1.897379
1.0,33,1.90141
1.0,27,1.904694
1.0,33,1.908714
1.0,33,1.912732
1.0,31,1.916514
1.0,31,1.920298
1.0,23,1.923118
1.0,25,1.926233
1.0,25,1.929319
0.0,12,1.930815
1.0,24,1.933796
1.0,28,1.937087
0.0,12,1.938564
1.0,25,1.941457
1.0,25,1.944442
1.0,23,1.947182
1.0,23,1.949862
1.0,28,1.953135
1.0,23,1.955891
1.0,25,1.958869
1.0,23,1.961532
1.0,25,1.964412
1.0,27,1.967621
0.0,8,1.96857
1.0,25,1.97144
0.0,16,1.973295
1.0,25,1.976292
1.0,27,1.979399
1.0,25,1.982448
1.0,23,1.985265
1.0,31,1.988945
0.0,19,1.991265
1.0,24,1.994203
1.0,26,1.997244
1.0,23,2.000074
1.0,23,2.002902
1.0,29,2.006524
1.0,29,2.012507
0.0,17,2.014734
1.0,25,2.017875
1.0,26,2.021146
1.0,30,2.024836
1.0,25,2.028009
1.0,25,2.031189
1.0,27,2.034515
1.0,23,2.037334
1.0,25,2.040515
0.0,15,2.042355
1.0,25,2.045415
1.0,23,2.048337
1.0,24,2.051268
1.0,25,2.054394
0.0,12,2.055919
1.0,27,2.059225
1.0,23,2.06209
1.0,27,2.06543
0.0,4,2.065992
1.0,27,2.069341
1.0,38,2.074018
0.0,18,2.07629
0.0,20,2.078736
0.0,14,2.080463
1.0,24,2.083492
0.0,4,2.084007
1.0,25,2.087057
1.0,30,2.090698
1.0,23,2.093512
1.0,24,2.096545
1.0,30,2.100205
1.0,24,2.103138
1.0,29,2.106695
1.0,23,2.109515
1.0,33,2.113544
0.0,17,2.115624
0.0,19,2.117953
0.0,20,2.12039
1.0,24,2.123324
0.0,17,2.125426
1.0,23,2.128242
1.0,28,2.131645
1.0,23,2.134466
0.0,6,2.135223
1.0,25,2.138278
1.0,167,2.158665
1.0,24,2.161619
1.0,26,2.164817
0.0,16,2.166771
1.0,30,2.170418
1.0,24,2.173353
1.0,29,2.17689
