# {"t_start": 1614835540.7353663, "env_id": "Office-v0"} 
r,l,t
0.0,23,0.010588
0.0,60,0.030294
0.0,4,0.031633
0.0,14,0.036081
0.0,21,0.042868
0.0,52,0.059883
0.0,18,0.065793
0.0,27,0.074563
0.0,22,0.081754
0.0,49,0.097875
0.0,34,0.108994
0.0,70,0.131761
0.0,107,0.166441
0.0,23,0.173968
0.0,106,0.211774
0.0,23,0.219376
1.0,29,0.228877
0.0,33,0.239691
0.0,54,0.257836
0.0,93,0.288859
0.0,116,0.327464
0.0,74,0.351816
0.0,11,0.355526
0.0,76,0.380981
0.0,13,0.385281
0.0,29,0.394768
0.0,121,0.434087
0.0,4,0.435436
1.0,28,0.444619
0.0,208,0.512128
0.0,108,0.546948
0.0,78,0.572481
0.0,100,0.605323
0.0,67,0.627271
0.0,21,0.63419
0.0,7,0.636534
0.0,141,0.68266
1.0,154,0.732973
0.0,105,0.767285
0.0,8,0.769947
1.0,61,0.78987
0.0,100,0.822356
0.0,6,0.824354
0.0,24,0.832219
1.0,31,0.842391
0.0,20,0.849029
0.0,337,0.959717
0.0,95,0.990797
1.0,34,1.00195
1.0,256,1.085858
0.0,5,1.087567
0.0,46,1.102611
0.0,10,1.105947
0.0,9,1.108911
0.0,351,1.224583
0.0,30,1.234419
1.0,64,1.255323
0.0,120,1.294491
0.0,415,1.43205
0.0,504,1.599237
1.0,27,1.608224
0.0,111,1.645131
0.0,43,1.659425
0.0,65,1.680974
1.0,25,1.689226
0.0,162,1.742965
1.0,306,1.844657
0.0,36,1.85674
1.0,16,1.862127
0.0,304,1.963167
0.0,159,2.016164
0.0,12,2.020291
1.0,12,2.024313
0.0,189,2.087162
0.0,51,2.104136
0.0,282,2.200125
1.0,22,2.207518
0.0,95,2.239067
0.0,39,2.252214
0.0,141,2.299712
1.0,11,2.303542
1.0,60,2.323848
0.0,109,2.361238
0.0,54,2.379486
1.0,14,2.384223
0.0,38,2.397057
0.0,58,2.416637
0.0,724,2.657666
1.0,11,2.661557
1.0,190,2.725268
0.0,137,2.77088
0.0,20,2.777532
1.0,11,2.781212
1.0,139,2.827691
0.0,100,2.860949
0.0,566,3.053949
1.0,11,3.057775
1.0,96,3.090033
0.0,15,3.09504
0.0,15,3.100005
1.0,13,3.104306
1.0,123,3.145094
0.0,315,3.25155
0.0,18,3.257762
1.0,12,3.261901
0.0,104,3.297275
0.0,117,3.481174
0.0,523,3.659317
1.0,11,3.663114
0.0,67,3.685905
0.0,54,3.703838
0.0,55,3.722398
1.0,13,3.72692
1.0,98,3.760345
1.0,216,3.833563
0.0,10,3.837063
1.0,12,3.841173
0.0,88,3.871149
1.0,46,3.886658
0.0,170,3.943644
1.0,16,3.949162
1.0,72,3.973222
0.0,2,3.973956
0.0,288,4.070557
1.0,14,4.075282
1.0,40,4.088657
1.0,364,4.21197
0.0,6,4.214151
1.0,11,4.218013
1.0,52,4.236212
1.0,103,4.272206
0.0,25,4.280986
1.0,13,4.285355
1.0,59,4.305087
1.0,172,4.36422
0.0,248,4.447645
1.0,13,4.452087
0.0,24,4.459997
0.0,75,4.484879
0.0,426,4.627566
1.0,12,4.631695
0.0,9,4.634673
1.0,79,4.660626
0.0,461,4.81157
1.0,14,4.816187
0.0,40,4.829289
1.0,47,4.844795
0.0,34,4.85592
1.0,11,4.859548
1.0,30,4.869397
1.0,64,4.890287
0.0,169,4.947866
1.0,11,4.951603
1.0,55,4.969791
0.0,32,4.980258
0.0,383,5.107046
1.0,11,5.110794
1.0,39,5.12394
0.0,22,5.131324
0.0,194,5.196333
1.0,11,5.200201
1.0,55,5.218689
1.0,30,5.228795
0.0,51,5.246028
1.0,13,5.250437
1.0,25,5.258772
1.0,65,5.279979
0.0,30,5.289919
1.0,13,5.294337
1.0,35,5.30581
0.0,23,5.31326
0.0,131,5.355691
1.0,11,5.359294
1.0,27,5.368065
1.0,55,5.386069
0.0,853,5.661664
1.0,14,5.666302
1.0,23,5.673842
1.0,34,5.684828
0.0,170,5.740308
1.0,13,5.744656
1.0,23,5.752289
0.0,41,5.765878
0.0,188,5.828161
1.0,15,5.833186
1.0,29,5.842833
0.0,20,5.849484
0.0,24,5.857526
1.0,11,5.861217
1.0,25,5.869584
1.0,41,5.883366
0.0,24,5.891387
1.0,12,5.895395
1.0,27,5.904334
0.0,18,5.910386
0.0,47,5.925963
1.0,11,5.929622
1.0,24,5.937603
1.0,25,5.946102
0.0,42,5.960202
1.0,11,5.964111
1.0,24,5.972527
1.0,90,6.003785
0.0,300,6.106428
1.0,11,6.110132
1.0,25,6.118412
0.0,19,6.124706
1.0,71,6.148002
1.0,12,6.151983
1.0,27,6.160896
0.0,20,6.1675
0.0,142,6.214352
1.0,11,6.218138
1.0,23,6.225466
1.0,27,6.233899
0.0,242,6.310772
1.0,11,6.31436
1.0,28,6.323294
1.0,25,6.331265
0.0,251,6.41262
1.0,11,6.416208
1.0,35,6.42742
1.0,23,6.434618
0.0,60,6.454226
1.0,12,6.458206
0.0,8,6.460876
1.0,25,6.469264
1.0,58,6.488096
1.0,11,6.491623
1.0,26,6.500236
1.0,25,6.508475
0.0,513,6.676152
1.0,12,6.680018
0.0,19,6.686181
1.0,27,6.695047
0.0,69,6.717703
1.0,11,6.721334
1.0,31,6.731578
1.0,32,6.742307
0.0,149,6.791804
1.0,14,6.796456
1.0,23,6.804366
1.0,25,6.812624
1.0,41,6.826219
1.0,13,6.83066
1.0,24,6.838614
1.0,29,6.848198
0.0,135,6.892506
1.0,11,6.896169
1.0,34,6.907387
0.0,13,6.911679
1.0,48,6.927493
1.0,11,6.931137
1.0,23,6.938707
0.0,16,6.943984
1.0,51,6.96076
1.0,12,6.96474
0.0,4,6.966074
1.0,29,6.975644
1.0,39,6.988533
1.0,11,6.992192
1.0,27,7.001094
1.0,25,7.009365
1.0,30,7.01932
1.0,11,7.023
1.0,25,7.03129
1.0,26,7.040077
0.0,24,7.048061
0.0,7,7.050423
1.0,24,7.058417
1.0,25,7.066818
0.0,142,7.114225
1.0,11,7.117908
1.0,25,7.126187
0.0,17,7.131836
1.0,28,7.141129
1.0,11,7.144796
1.0,24,7.15274
1.0,26,7.161304
1.0,28,7.17056
1.0,14,7.175204
1.0,26,7.183807
1.0,23,7.191437
0.0,20,7.198057
1.0,13,7.202317
0.0,23,7.209954
1.0,23,7.217545
0.0,23,7.225143
1.0,11,7.228771
1.0,29,7.238398
1.0,23,7.245956
1.0,26,7.254579
0.0,2,7.255261
1.0,27,7.26417
1.0,25,7.272372
1.0,33,7.283288
1.0,16,7.288588
1.0,23,7.296221
1.0,25,7.304514
1.0,27,7.313433
1.0,11,7.317069
0.0,18,7.32299
1.0,27,7.331743
0.0,19,7.338036
1.0,13,7.342268
1.0,27,7.350775
0.0,8,7.353288
0.0,12,7.357205
1.0,12,7.361103
1.0,25,7.368931
1.0,23,7.376269
1.0,25,7.384383
1.0,13,7.388577
0.0,4,7.389894
1.0,28,7.39882
1.0,28,7.4078
1.0,11,7.411335
1.0,23,7.41867
0.0,4,7.419932
1.0,26,7.428284
1.0,12,7.43211
1.0,23,7.439405
1.0,24,7.447037
1.0,25,7.454833
1.0,11,7.45827
1.0,23,7.465424
1.0,27,7.473887
1.0,25,7.481693
1.0,11,7.485135
1.0,26,7.493275
1.0,25,7.501064
1.0,25,7.508931
1.0,11,7.512434
1.0,25,7.520188
0.0,16,7.525161
1.0,27,7.5337
1.0,13,7.537765
1.0,23,7.54499
1.0,25,7.552738
1.0,26,7.560865
1.0,11,7.564394
1.0,24,7.571851
1.0,27,7.580302
1.0,28,7.589163
1.0,11,7.592601
1.0,25,7.600357
1.0,23,7.607495
1.0,28,7.6162
1.0,11,7.619646
0.0,12,7.623468
1.0,26,7.63168
0.0,19,7.637883
1.0,12,7.641697
1.0,27,7.650405
1.0,25,7.658341
1.0,27,7.666974
1.0,12,7.670784
0.0,8,7.673289
1.0,23,7.680428
0.0,17,7.685737
1.0,11,7.689167
