% time spent exploring,episodes,mean 100 episode reward,steps
97,100,0.0,5473
94,200,0.0,10369
92,300,0.0,14931
90,400,0.0,20057
87,500,0.0,25099
85,600,0.0,30270
83,700,0.0,34342
80,800,0.0,39890
77,900,0.0,44986
74,1000,0.0,50787
72,1100,0.0,56121
69,1200,0.0,61064
67,1300,0.0,66583
64,1400,0.0,71678
61,1500,0.0,77536
59,1600,0.0,82454
56,1700,0.0,87661
53,1800,0.1,93152
51,1900,0.0,97696
49,2000,0.0,102837
46,2100,0.0,107999
43,2200,0.0,113688
41,2300,0.1,118844
38,2400,0.1,124844
34,2500,0.2,131570
31,2600,0.2,137507
29,2700,0.0,142145
26,2800,0.1,147954
23,2900,0.2,153678
21,3000,0.2,158947
18,3100,0.3,164458
15,3200,0.3,170341
13,3300,0.2,174693
10,3400,0.3,180732
7,3500,0.2,186012
5,3600,0.4,191898
2,3700,0.2,195960
1,3800,0.4,201428
1,3900,0.4,206830
1,4000,0.5,212266
1,4100,0.4,217636
1,4200,0.4,222829
1,4300,0.4,227460
1,4400,0.4,232627
1,4500,0.5,237922
1,4600,0.4,243016
1,4700,0.7,248683
1,4800,0.5,254112
1,4900,0.5,259751
1,5000,0.4,263978
1,5100,0.6,269233
1,5200,0.6,274978
1,5300,0.7,280614
1,5400,0.6,286130
1,5500,0.6,291241
1,5600,0.6,296034
1,5700,0.7,301505
1,5800,0.6,306207
1,5900,0.7,311424
1,6000,0.8,316833
1,6100,0.8,322028
1,6200,0.7,327541
1,6300,0.8,332848
1,6400,0.8,338378
1,6500,0.8,344129
1,6600,0.8,349288
1,6700,0.8,354285
1,6800,0.7,359363
1,6900,0.7,364134
1,7000,0.8,369700
1,7100,0.7,374912
1,7200,0.8,380132
1,7300,0.8,385333
1,7400,0.8,390319
1,7500,0.9,395776
1,7600,0.7,400917
1,7700,0.8,406184
1,7800,0.8,411416
1,7900,0.8,416437
1,8000,0.8,421709
1,8100,0.9,426777
1,8200,0.8,431936
1,8300,0.8,436492
1,8400,0.8,441400
1,8500,0.9,446794
1,8600,0.8,452075
1,8700,0.8,457234
1,8800,0.8,462443
1,8900,0.9,467548
1,9000,0.9,472882
1,9100,0.9,477999
1,9200,1.0,483472
1,9300,0.9,488575
1,9400,0.8,493613
1,9500,0.9,498484
1,9600,0.8,503960
1,9700,0.9,509158
1,9800,0.9,514151
1,9900,0.9,519073
1,10000,0.9,523912
1,10100,0.9,528730
1,10200,0.9,533844
1,10300,0.9,538923
1,10400,0.9,543949
1,10500,0.9,548816
1,10600,0.8,553982
1,10700,0.9,558908
1,10800,0.9,563838
1,10900,0.9,568631
1,11000,0.9,573533
1,11100,1.0,578199
1,11200,0.9,583349
1,11300,0.9,587983
1,11400,1.0,592755
1,11500,0.9,597737
1,11600,1.0,602406
1,11700,0.9,607439
1,11800,1.0,612445
1,11900,0.9,617623
1,12000,1.0,622498
1,12100,1.0,627582
1,12200,1.0,632477
1,12300,1.0,637273
1,12400,1.0,642440
1,12500,1.0,647314
1,12600,0.9,652354
1,12700,1.0,657451
1,12800,0.9,662225
1,12900,0.9,667023
1,13000,0.9,671622
1,13100,0.9,676462
1,13200,1.0,681436
1,13300,0.9,686429
1,13400,0.9,691091
1,13500,0.9,695847
1,13600,1.0,700384
1,13700,1.0,704827
1,13800,1.0,709377
1,13900,0.9,714025
1,14000,0.9,719079
1,14100,0.9,723624
1,14200,1.0,728189
1,14300,1.0,732893
1,14400,1.0,737579
1,14500,0.9,742465
1,14600,1.0,747191
1,14700,1.0,751872
1,14800,0.9,756939
1,14900,0.9,761761
1,15000,0.9,766632
1,15100,0.9,771389
1,15200,0.9,776676
1,15300,0.8,781700
1,15400,0.9,786876
1,15500,1.0,791476
1,15600,1.0,796188
1,15700,0.9,801159
1,15800,0.9,805907
1,15900,0.9,810718
1,16000,1.0,815707
1,16100,1.0,820465
1,16200,1.0,824863
1,16300,1.0,829578
1,16400,1.0,834086
1,16500,0.9,838456
1,16600,0.9,842634
1,16700,0.8,846833
1,16800,0.8,851649
1,16900,0.6,855587
1,17000,0.8,859623
1,17100,1.0,863957
1,17200,0.9,868760
1,17300,1.0,873387
1,17400,1.0,878373
1,17500,1.0,882636
1,17600,1.0,886873
1,17700,0.9,891514
1,17800,1.0,895971
1,17900,0.9,900876
1,18000,1.0,905196
1,18100,1.0,909425
1,18200,0.9,913717
1,18300,0.9,917860
1,18400,0.8,921909
1,18500,1.0,926353
1,18600,1.0,930500
1,18700,1.0,935057
1,18800,1.0,939339
1,18900,1.0,944095
1,19000,1.0,948440
1,19100,0.9,952655
1,19200,0.9,956879
1,19300,1.0,961188
1,19400,0.9,965540
1,19500,1.0,969763
1,19600,1.0,974595
1,19700,1.0,978750
1,19800,1.0,982791
1,19900,1.0,986991
1,20000,1.0,991139
1,20100,1.0,995378
1,20200,1.0,999487
1,20300,0.9,1003618
1,20400,1.0,1007875
1,20500,1.0,1012177
1,20600,1.0,1016230
1,20700,1.0,1020601
1,20800,1.0,1024827
1,20900,0.9,1029189
1,21000,1.0,1033732
1,21100,1.0,1037920
1,21200,1.0,1041839
1,21300,1.0,1045923
1,21400,0.9,1049899
1,21500,1.0,1053867
1,21600,1.0,1058354
1,21700,1.0,1062483
