# {"t_start": 1599420155.834649, "env_id": "Water-M1-v0"} 
r,l,t
1.0,483,8.562009
1.0,407,10.048749
1.0,120,10.850722
0.0,600,31.204691
1.0,494,48.201046
1.0,336,59.858738
0.0,600,80.631633
0.0,600,101.637185
0.0,63,103.873542
0.0,67,106.232897
1.0,144,111.319887
1.0,599,132.575815
1.0,277,142.425363
1.0,408,156.820376
1.0,230,164.983715
0.0,600,186.298472
1.0,300,196.910992
1.0,516,215.332566
0.0,38,216.66681
0.0,14,217.168154
1.0,248,226.267668
1.0,158,231.905079
1.0,215,239.606259
1.0,294,250.340941
1.0,328,262.204215
1.0,534,281.291743
0.0,600,302.918625
1.0,449,319.309697
0.0,23,320.13646
0.0,21,320.88836
1.0,417,335.951276
1.0,579,356.83987
1.0,531,376.054074
1.0,580,396.894307
1.0,255,406.121468
1.0,137,411.114323
0.0,600,432.722897
0.0,600,454.394248
0.0,39,455.786581
0.0,54,457.72312
1.0,443,473.739931
1.0,128,478.398759
1.0,79,481.26477
1.0,234,489.779392
1.0,412,504.759086
1.0,441,520.740063
1.0,243,529.51377
1.0,483,546.871984
0.0,59,549.000634
0.0,24,549.863383
1.0,283,560.181838
1.0,138,565.172614
1.0,242,573.961212
1.0,192,580.93412
1.0,282,591.152216
1.0,416,606.280849
1.0,467,623.115512
1.0,520,641.913536
0.0,73,644.57377
0.0,20,645.297315
1.0,345,657.920027
1.0,101,661.625253
1.0,156,667.297944
1.0,571,687.998556
1.0,492,705.715818
1.0,335,717.848542
1.0,493,735.797896
0.0,600,757.684372
0.0,49,759.44297
0.0,21,760.198781
1.0,150,765.595544
0.0,600,787.311866
1.0,134,792.168368
1.0,415,807.416325
1.0,424,822.85245
1.0,262,832.341576
1.0,323,844.203211
0.0,600,866.198194
0.0,25,867.095726
0.0,26,868.030677
1.0,163,873.933168
1.0,137,878.938892
1.0,224,887.159299
1.0,138,892.209249
1.0,405,907.057506
1.0,416,922.113245
1.0,509,940.403397
1.0,230,948.72437
0.0,37,950.072729
0.0,69,952.576758
1.0,339,964.971796
1.0,41,966.487974
1.0,337,979.092628
1.0,177,985.64614
1.0,511,1004.246081
0.0,600,1026.280345
1.0,185,1033.087143
0.0,600,1055.196985
0.0,36,1056.516361
