% time spent exploring,episodes,mean 100 episode reward,steps
84,100,0.6,30636
73,200,0.7,54378
62,300,0.7,75313
51,400,0.7,97223
42,500,0.8,115395
32,600,0.8,135929
24,700,0.8,152780
16,800,0.8,167878
9,900,0.8,182056
3,1000,0.8,194833
1,1100,0.8,208985
1,1200,0.8,222409
1,1300,0.8,237226
1,1400,0.8,248279
1,1500,0.8,258958
1,1600,0.8,271015
1,1700,0.8,284043
1,1800,0.8,294914
1,1900,0.8,305783
1,2000,0.8,316267
1,2100,0.8,326940
1,2200,0.8,336190
1,2300,0.8,347561
1,2400,0.8,357770
1,2500,0.8,367212
1,2600,0.8,375811
1,2700,0.8,385913
1,2800,0.8,396232
1,2900,0.8,405953
1,3000,0.8,415185
1,3100,0.8,424703
1,3200,0.8,434471
1,3300,0.8,443604
1,3400,0.8,453402
1,3500,0.8,463684
1,3600,0.8,472368
1,3700,0.8,480960
1,3800,0.8,490244
1,3900,0.8,498380
1,4000,0.8,506066
1,4100,0.8,515699
1,4200,0.8,523384
1,4300,0.8,532038
1,4400,0.8,541678
1,4500,0.8,551406
1,4600,0.8,560383
1,4700,0.8,569378
1,4800,0.8,577462
1,4900,0.8,586214
1,5000,0.8,595512
1,5100,0.8,603708
1,5200,0.8,611716
1,5300,0.8,620468
1,5400,0.8,629396
1,5500,0.8,638563
1,5600,0.8,647263
1,5700,0.8,655303
1,5800,0.8,662844
1,5900,0.8,670826
1,6000,0.8,679632
1,6100,0.8,687285
1,6200,0.8,694344
1,6300,0.9,702365
1,6400,0.8,710128
1,6500,0.8,717322
1,6600,0.8,724722
1,6700,0.8,733038
1,6800,0.8,740594
1,6900,0.8,748740
1,7000,0.8,756452
1,7100,0.8,764945
1,7200,0.8,773109
1,7300,0.8,781688
1,7400,0.8,789224
1,7500,0.8,796523
1,7600,0.9,804022
1,7700,0.8,811247
1,7800,0.8,818327
1,7900,0.8,825827
1,8000,0.8,833179
1,8100,0.8,842465
1,8200,0.9,849659
1,8300,0.8,856940
1,8400,0.8,864415
1,8500,0.8,871228
1,8600,0.8,878437
1,8700,0.8,886122
1,8800,0.8,893150
1,8900,0.8,900155
1,9000,0.9,908248
1,9100,0.9,915580
1,9200,0.8,924136
1,9300,0.8,932684
1,9400,0.8,941789
1,9500,0.8,950166
1,9600,0.8,958868
1,9700,0.8,966787
1,9800,0.8,974303
1,9900,0.8,982065
1,10000,0.8,989871
1,10100,0.8,996910
1,10200,0.8,1004477
