# {"t_start": 1598915157.2369318, "env_id": "Water-M8-v0"} 
r,l,t
1.0,411,10.425806
1.0,193,11.120395
1.0,68,11.364084
1.0,181,12.014269
1.0,359,17.859735
1.0,217,23.267509
1.0,539,36.838786
1.0,599,52.215329
0.0,8,52.420534
0.0,28,53.141543
1.0,411,63.764121
1.0,369,73.378294
1.0,190,78.31986
1.0,502,91.592206
1.0,560,106.519959
1.0,151,110.496646
0.0,600,126.5602
1.0,314,134.857966
0.0,11,135.150507
0.0,7,135.3356
1.0,447,147.373249
0.0,600,163.308179
1.0,238,169.648633
0.0,600,185.945181
1.0,508,199.665608
0.0,600,215.966282
1.0,494,229.368953
1.0,325,238.129398
0.0,36,239.089391
0.0,9,239.330587
1.0,235,245.646043
1.0,572,261.086685
1.0,181,266.073146
1.0,256,273.009835
1.0,379,283.313425
1.0,523,297.461898
1.0,298,305.505057
1.0,251,312.27758
0.0,8,312.495626
0.0,27,313.223262
1.0,324,321.955186
1.0,392,332.667721
1.0,535,347.225589
1.0,402,358.218448
1.0,306,366.566104
1.0,368,376.636444
1.0,594,393.035699
0.0,600,409.652809
0.0,81,411.902845
0.0,54,413.405419
1.0,137,417.143441
1.0,418,428.576536
1.0,495,442.190837
1.0,570,457.962062
0.0,600,474.579371
1.0,236,481.043478
0.0,600,497.423643
1.0,590,513.702681
0.0,9,513.950573
0.0,5,514.088836
1.0,133,517.749068
1.0,220,523.822844
1.0,543,538.818545
0.0,600,555.305871
1.0,110,558.296283
1.0,177,563.194661
1.0,250,570.104944
1.0,292,578.185295
0.0,8,578.409093
0.0,13,578.768644
1.0,472,591.856649
1.0,335,601.188909
1.0,246,607.906867
1.0,315,616.588884
1.0,391,627.427906
1.0,368,637.610757
1.0,330,646.826533
1.0,292,654.962584
0.0,8,655.18325
0.0,54,656.661931
1.0,410,667.861512
1.0,100,670.59525
1.0,319,679.340629
0.0,600,695.994034
1.0,156,700.321028
1.0,503,714.346269
0.0,600,730.983063
0.0,600,747.636098
0.0,6,747.808712
0.0,10,748.09264
1.0,443,760.546085
1.0,273,768.230992
1.0,270,775.811548
1.0,487,789.572777
1.0,422,801.336945
1.0,166,805.931187
1.0,317,814.745553
1.0,592,831.489825
0.0,53,832.978131
0.0,10,833.266858
1.0,210,839.210679
1.0,47,840.531028
1.0,180,845.595434
1.0,203,851.372886
0.0,600,868.196691
1.0,467,881.226492
1.0,402,892.515384
1.0,263,899.916924
0.0,5,900.056141
0.0,13,900.420636
1.0,535,915.47884
1.0,139,919.4073
1.0,263,926.849368
1.0,174,931.722181
1.0,270,939.195438
1.0,324,948.165734
1.0,527,962.933575
0.0,600,979.86489
0.0,8,980.088794
0.0,7,980.283471
1.0,294,988.568034
1.0,78,990.795013
0.0,600,1007.670072
1.0,160,1012.083638
1.0,117,1015.330067
1.0,317,1024.241328
0.0,600,1041.141923
0.0,600,1058.008441
0.0,8,1058.235457
0.0,41,1059.386712
1.0,584,1075.820207
1.0,69,1077.724507
1.0,505,1091.852823
0.0,600,1108.740816
1.0,313,1117.53179
1.0,511,1131.972589
1.0,556,1147.636032
1.0,333,1156.835027
0.0,13,1157.19685
0.0,10,1157.475335
1.0,158,1161.889404
1.0,264,1169.341118
1.0,157,1173.767673
1.0,346,1183.564594
1.0,202,1189.348943
1.0,479,1203.015551
0.0,600,1219.730059
0.0,600,1236.627296
0.0,9,1236.880138
0.0,10,1237.161406
1.0,112,1240.318653
1.0,92,1242.927995
1.0,40,1244.072546
0.0,600,1261.270973
1.0,215,1267.355972
1.0,410,1278.914994
1.0,533,1294.028369
1.0,507,1308.372024
0.0,42,1309.564634
0.0,11,1309.874356
1.0,328,1319.210996
1.0,287,1327.346656
1.0,109,1330.382597
1.0,420,1342.069375
