# {"t_start": 1614153858.8714921, "env_id": "Half-Cheetah-RM1-v0"} 
r,l,t
-565.84133,1000,7.688066
-578.697724,1000,12.559822
-556.715236,1000,17.87017
-575.638189,1000,24.289296
-557.196768,1000,29.844399
-595.14317,1000,34.828376
-576.704123,1000,39.893123
-584.880886,1000,45.04247
-565.44853,1000,49.944905
-599.871625,1000,54.859252
-556.781967,1000,59.835595
-596.362912,1000,64.795587
-599.676212,1000,70.182993
-599.393984,1000,75.648154
-595.724025,1000,81.004596
-598.229027,1000,85.916665
-581.558777,1000,90.817894
-580.144876,1000,96.182327
-590.952733,1000,101.767395
-596.55559,1000,107.276605
-593.776168,1000,112.745489
-589.096708,1000,118.055978
-569.310947,1000,123.154598
-573.528084,1000,128.299003
-580.678887,1000,133.787794
-578.809564,1000,139.509724
-577.372453,1000,145.099101
-576.180409,1000,150.530549
-581.159673,1000,156.061997
-577.125027,1000,161.418768
-578.973655,1000,166.484814
-579.57879,1000,171.713702
-581.106078,1000,177.175131
-579.542805,1000,181.970369
-580.269068,1000,186.810845
-582.73228,1000,191.787976
-575.125513,1000,196.780341
-578.437122,1000,202.733525
-564.559086,1000,209.06618
-575.548044,1000,213.962333
-595.39661,1000,218.904425
-581.578901,1000,224.495208
-592.890115,1000,229.476612
-593.756288,1000,234.355894
-579.103265,1000,239.338603
-575.602292,1000,244.345257
-597.007889,1000,249.554503
-584.114628,1000,254.462986
-573.031786,1000,260.095967
-596.857454,1000,265.50585
-595.250461,1000,270.841613
425.502164,1000,275.812504
-576.506154,1000,280.868605
-570.14339,1000,285.85597
-572.432736,1000,290.950523
-583.78818,1000,295.818081
-574.992428,1000,300.872624
-576.949813,1000,305.908908
-588.792274,1000,311.901386
-574.253657,1000,317.301862
-568.205111,1000,322.878707
-573.148746,1000,328.4477
-570.138207,1000,334.342223
-575.936727,1000,339.995746
-588.897157,1000,345.749508
-584.155216,1000,351.36989
-577.060527,1000,356.707224
-577.639642,1000,361.900089
-577.285335,1000,367.25589
-579.861109,1000,372.441381
-584.562426,1000,378.082653
-580.19728,1000,383.302089
-580.203325,1000,388.62991
-583.980572,1000,393.889499
-582.924374,1000,399.361156
-583.275303,1000,404.627663
-581.925022,1000,410.028508
-581.011141,1000,415.243923
-579.287329,1000,420.651289
-577.730417,1000,425.846205
-575.712937,1000,431.339512
-576.266399,1000,436.602277
-598.719793,1000,441.882805
-565.595389,1000,446.902668
-569.273387,1000,452.321208
-570.327312,1000,457.421526
-594.702072,1000,463.583444
-563.158682,1000,468.647553
-557.469536,1000,473.862586
-563.859111,1000,479.11126
-562.559002,1000,484.535439
-557.006105,1000,489.549059
-574.179581,1000,495.02413
-585.454718,1000,500.244665
-549.775134,1000,505.582991
-565.835602,1000,510.976072
-570.083485,1000,516.52791
-598.54409,1000,521.914573
-592.457703,1000,527.804512
-548.363077,1000,533.03493
-543.843683,1000,538.590407
-553.267967,1000,544.111978
-559.360569,1000,549.913398
-550.197242,1000,556.403993
-550.935352,1000,562.784263
-552.802581,1000,568.142708
-535.543173,1000,574.028012
-540.722174,1000,579.39979
-565.188788,1000,584.843448
-528.839825,1000,590.037129
-519.058756,1000,595.529784
-525.464214,1000,600.724064
-527.695793,1000,606.661952
-538.079961,1000,612.32388
423.408444,1000,618.386334
449.123147,1000,624.221205
442.507783,1000,629.980968
-495.425642,1000,635.652591
-493.856227,1000,641.407157
-505.464607,1000,646.910948
480.872918,1000,652.52579
-509.032724,1000,657.721903
-502.407346,1000,663.415168
-585.939783,1000,668.717168
-528.746442,1000,674.39065
-540.096864,1000,679.891135
473.97703,1000,685.324158
1456.759655,1000,690.519295
488.452891,1000,696.040068
-514.14821,1000,701.958806
-561.273437,1000,707.591545
-516.794337,1000,712.712907
1473.870378,1000,718.091636
476.270598,1000,723.414159
-524.997958,1000,729.589833
2491.243426,1000,735.505099
1493.882419,1000,742.043992
478.329055,1000,748.585982
491.77069,1000,754.641051
-503.080066,1000,760.855025
1479.605072,1000,767.104779
2475.192625,1000,772.56115
1499.131589,1000,778.952945
481.844692,1000,784.963969
476.113653,1000,791.074368
414.710477,1000,796.612915
1452.995527,1000,802.41525
1454.780655,1000,808.277673
2481.066631,1000,814.974253
470.907315,1000,821.06819
-555.944403,1000,826.972536
2490.9791,1000,832.483107
492.109103,1000,838.295243
2490.327469,1000,844.335724
-560.064632,1000,850.141914
-547.866295,1000,855.813869
418.547409,1000,861.679394
441.956918,1000,867.150585
2463.630315,1000,873.07987
