episodes,steps,total reward
9,10000,0.0
19,20000,0.0
29,30000,0.0
39,40000,0.0
49,50000,0.0
59,60000,0.0
69,70000,0.0
79,80000,0.0
89,90000,0.0
99,100000,0.0
109,110000,0.0
120,120000,1.0
130,130000,0.0
140,140000,0.0
150,150000,0.0
160,160000,0.0
170,170000,0.0
180,180000,0.0
190,190000,0.0
200,200000,0.0
210,210000,0.0
220,220000,0.0
230,230000,0.0
240,240000,0.0
250,250000,0.0
261,260000,2.0
271,270000,1.0
281,280000,1.0
291,290000,1.0
301,300000,0.0
312,310000,1.0
322,320000,0.0
332,330000,1.0
343,340000,1.0
354,350000,1.0
364,360000,0.0
376,370000,4.0
386,380000,1.0
398,390000,4.0
408,400000,1.0
419,410000,2.0
429,420000,0.0
440,430000,3.0
450,440000,0.0
462,450000,3.0
472,460000,2.0
483,470000,3.0
497,480000,6.0
508,490000,3.0
520,500000,4.0
532,510000,6.0
544,520000,4.0
558,530000,8.0
569,540000,3.0
583,550000,9.0
597,560000,7.0
610,570000,7.0
625,580000,8.0
642,590000,13.0
661,600000,13.0
680,610000,14.0
701,620000,18.0
721,630000,16.0
744,640000,21.0
772,650000,24.0
801,660000,25.0
835,670000,31.0
876,680000,37.0
920,690000,43.0
961,700000,39.0
1012,710000,51.0
1072,720000,59.0
1132,730000,59.0
1208,740000,76.0
1295,750000,86.0
1426,760000,131.0
1572,770000,146.0
1701,780000,129.0
1849,790000,148.0
1978,800000,128.0
2115,810000,137.0
2245,820000,130.0
2387,830000,142.0
2531,840000,144.0
2664,850000,132.0
2818,860000,154.0
2963,870000,145.0
3110,880000,147.0
3262,890000,152.0
3416,900000,154.0
3568,910000,152.0
3718,920000,150.0
3869,930000,151.0
4023,940000,154.0
4168,950000,145.0
4320,960000,152.0
4474,970000,154.0
4625,980000,151.0
4778,990000,153.0
4931,1000000,153.0
5083,1010000,152.0
5236,1020000,153.0
5388,1030000,152.0
5540,1040000,152.0
5694,1050000,154.0
5845,1060000,151.0
5997,1070000,152.0
6149,1080000,152.0
6299,1090000,150.0
6434,1100000,135.0
6588,1110000,154.0
6740,1120000,152.0
6893,1130000,153.0
7045,1140000,152.0
7199,1150000,154.0
7349,1160000,150.0
7502,1170000,153.0
7654,1180000,152.0
7801,1190000,147.0
7953,1200000,152.0
8105,1210000,152.0
8256,1220000,151.0
8408,1230000,152.0
8561,1240000,153.0
8714,1250000,153.0
8866,1260000,152.0
9018,1270000,152.0
9170,1280000,152.0
9321,1290000,151.0
9472,1300000,152.0
9624,1310000,151.0
9776,1320000,152.0
9929,1330000,153.0
10081,1340000,152.0
10232,1350000,151.0
10384,1360000,152.0
10537,1370000,153.0
10691,1380000,154.0
10838,1390000,147.0
10990,1400000,152.0
11142,1410000,152.0
11295,1420000,153.0
11441,1430000,146.0
11593,1440000,152.0
11744,1450000,151.0
11896,1460000,152.0
12048,1470000,152.0
12201,1480000,153.0
12355,1490000,154.0
12508,1500000,153.0
12662,1510000,154.0
12815,1520000,153.0
12968,1530000,153.0
13119,1540000,151.0
13271,1550000,152.0
13423,1560000,152.0
13575,1570000,152.0
13726,1580000,151.0
13880,1590000,154.0
14032,1600000,152.0
14186,1610000,154.0
14334,1620000,148.0
14486,1630000,152.0
14640,1640000,154.0
14793,1650000,153.0
14946,1660000,153.0
15100,1670000,154.0
15251,1680000,151.0
15404,1690000,153.0
15556,1700000,152.0
15703,1710000,147.0
15855,1720000,152.0
16008,1730000,153.0
16162,1740000,154.0
16313,1750000,151.0
16466,1760000,153.0
16618,1770000,152.0
16766,1780000,148.0
16905,1790000,138.0
17057,1800000,152.0
17201,1810000,144.0
17354,1820000,153.0
17507,1830000,153.0
17659,1840000,152.0
17811,1850000,152.0
17963,1860000,152.0
18115,1870000,152.0
18267,1880000,152.0
18419,1890000,152.0
18571,1900000,152.0
18725,1910000,154.0
18877,1920000,152.0
19030,1930000,153.0
19183,1940000,153.0
19336,1950000,153.0
19489,1960000,154.0
19642,1970000,152.0
19793,1980000,151.0
19946,1990000,153.0
20099,2000000,153.0
