# {"t_start": 1599693895.8706353, "env_id": "Craft-single-M7-v0"} 
r,l,t
0.0,1000,0.208934
0.0,1000,0.417903
0.0,1000,0.623595
0.0,1000,0.828976
0.0,1000,1.034116
0.0,1000,1.2393
0.0,1000,1.444024
0.0,1000,1.649055
0.0,1000,1.853548
0.0,1000,2.062884
0.0,1000,2.269282
0.0,1000,2.475319
0.0,1000,2.68171
0.0,1000,2.888055
0.0,1000,3.093214
0.0,1000,3.29947
0.0,1000,3.505891
0.0,1000,3.712229
0.0,1000,3.919784
0.0,1000,4.12647
0.0,1000,4.333807
0.0,1000,4.543466
0.0,1000,4.751377
0.0,1000,4.958384
0.0,1000,5.165242
0.0,1000,5.37162
0.0,1000,5.57834
0.0,1000,5.784858
0.0,1000,5.992675
0.0,1000,6.199546
0.0,1000,6.406648
0.0,1000,6.613924
0.0,1000,6.821536
0.0,1000,7.028531
0.0,1000,7.235538
0.0,1000,7.442611
0.0,1000,7.650588
0.0,1000,7.858491
0.0,1000,8.069394
0.0,1000,8.277755
0.0,1000,8.486215
0.0,1000,8.694221
0.0,1000,8.903274
0.0,1000,9.112143
0.0,1000,9.3207
0.0,1000,9.528922
0.0,1000,9.736797
0.0,1000,9.944712
0.0,1000,10.153077
0.0,1000,10.36166
0.0,1000,10.570723
0.0,1000,10.78047
0.0,1000,10.988603
0.0,1000,11.196966
0.0,1000,11.404906
0.0,1000,11.613392
0.0,1000,11.821902
0.0,1000,12.029374
0.0,1000,12.236821
0.0,1000,12.448246
0.0,1000,12.657002
0.0,1000,12.865307
0.0,1000,13.073447
0.0,1000,13.280962
0.0,1000,13.488738
0.0,1000,13.696842
0.0,1000,13.904428
0.0,1000,14.114152
0.0,1000,14.325298
0.0,1000,14.533003
0.0,1000,14.740533
0.0,1000,14.947628
0.0,1000,15.154966
0.0,1000,15.362987
0.0,1000,15.570138
0.0,1000,15.776803
0.0,1000,15.987114
0.0,1000,16.190879
0.0,1000,16.394851
0.0,1000,16.600583
0.0,1000,16.803703
0.0,1000,17.009877
0.0,1000,17.215775
0.0,1000,17.42096
0.0,1000,17.626284
1.0,891,17.808732
0.0,1000,18.01229
0.0,1000,18.212841
0.0,1000,18.41053
0.0,1000,18.60956
0.0,1000,18.810143
0.0,1000,19.009315
0.0,1000,19.207998
0.0,1000,19.401751
0.0,1000,19.590722
0.0,1000,19.777259
0.0,1000,19.966497
0.0,1000,20.160991
0.0,1000,20.353667
0.0,1000,20.545727
0.0,1000,20.740373
0.0,1000,20.932322
0.0,1000,21.125645
0.0,1000,21.318716
0.0,1000,21.511482
0.0,1000,21.708888
0.0,1000,21.901391
0.0,1000,22.095058
0.0,1000,22.288813
0.0,1000,22.48119
0.0,1000,22.672271
0.0,1000,22.863357
0.0,1000,23.053607
0.0,1000,23.246196
0.0,1000,23.435861
0.0,1000,23.625496
0.0,1000,23.814562
0.0,1000,24.005407
0.0,1000,24.194738
0.0,1000,24.388209
0.0,1000,24.577791
0.0,1000,24.767972
0.0,1000,24.958423
0.0,1000,25.148545
0.0,1000,25.338485
0.0,1000,25.531546
0.0,1000,25.721676
0.0,1000,25.911968
0.0,1000,26.101814
0.0,1000,26.292078
0.0,1000,26.482424
0.0,1000,26.672371
0.0,1000,26.862323
0.0,1000,27.053006
0.0,1000,27.242795
0.0,1000,27.433368
0.0,1000,27.623472
0.0,1000,27.813701
0.0,1000,28.004138
0.0,1000,28.195161
0.0,1000,28.384628
0.0,1000,28.577102
0.0,1000,28.767349
0.0,1000,28.958071
0.0,1000,29.148581
0.0,1000,29.33849
0.0,1000,29.530138
0.0,1000,29.719871
0.0,1000,29.908064
0.0,1000,30.096816
0.0,1000,30.28532
0.0,1000,30.472589
0.0,1000,30.658404
0.0,1000,30.844545
0.0,1000,31.032761
0.0,1000,31.221581
1.0,821,31.380679
0.0,1000,31.565049
0.0,1000,31.749353
0.0,1000,31.933392
0.0,1000,32.117535
0.0,1000,32.30166
0.0,1000,32.485612
0.0,1000,32.66957
1.0,764,32.81075
0.0,1000,32.994523
0.0,1000,33.178992
0.0,1000,33.364898
0.0,1000,33.549334
0.0,1000,33.733559
0.0,1000,33.917907
0.0,1000,34.101696
0.0,1000,34.285472
0.0,1000,34.469764
0.0,1000,34.658221
