episodes,steps,total reward
11,10000,2.0
22,20000,2.0
32,30000,2.0
42,40000,1.0
53,50000,2.0
64,60000,1.0
76,70000,4.0
86,80000,2.0
102,90000,8.0
116,100000,5.0
134,110000,10.0
147,120000,4.0
161,130000,6.0
175,140000,4.0
192,150000,10.0
209,160000,9.0
226,170000,9.0
239,180000,4.0
257,190000,10.0
272,200000,8.0
288,210000,8.0
306,220000,10.0
326,230000,11.0
344,240000,12.0
366,250000,15.0
385,260000,10.0
408,270000,16.0
429,280000,15.0
455,290000,19.0
479,300000,20.0
505,310000,18.0
526,320000,14.0
549,330000,16.0
575,340000,21.0
599,350000,20.0
629,360000,23.0
659,370000,25.0
696,380000,33.0
728,390000,25.0
758,400000,24.0
788,410000,23.0
825,420000,30.0
856,430000,23.0
890,440000,30.0
936,450000,40.0
978,460000,37.0
1026,470000,42.0
1065,480000,34.0
1104,490000,33.0
1158,500000,50.0
1199,510000,34.0
1258,520000,54.0
1300,530000,37.0
1369,540000,65.0
1418,550000,42.0
1476,560000,51.0
1528,570000,48.0
1588,580000,55.0
1650,590000,57.0
1717,600000,61.0
1789,610000,70.0
1869,620000,76.0
1939,630000,68.0
2038,640000,94.0
2135,650000,94.0
2248,660000,112.0
2348,670000,96.0
2508,680000,159.0
2656,690000,145.0
2836,700000,179.0
2973,710000,135.0
3154,720000,180.0
3371,730000,217.0
3538,740000,165.0
3730,750000,192.0
3896,760000,164.0
4116,770000,219.0
4359,780000,243.0
4601,790000,242.0
4838,800000,237.0
5086,810000,248.0
5317,820000,231.0
5567,830000,250.0
5813,840000,246.0
6019,850000,205.0
6262,860000,243.0
6508,870000,246.0
6756,880000,248.0
7005,890000,249.0
7240,900000,235.0
7486,910000,246.0
7735,920000,249.0
7970,930000,235.0
8214,940000,244.0
8438,950000,223.0
8662,960000,223.0
8908,970000,246.0
9155,980000,247.0
9399,990000,244.0
9648,1000000,249.0
9896,1010000,248.0
10145,1020000,249.0
10389,1030000,244.0
10636,1040000,247.0
10882,1050000,246.0
11122,1060000,240.0
11371,1070000,249.0
11619,1080000,248.0
11865,1090000,246.0
12110,1100000,245.0
12357,1110000,247.0
12604,1120000,247.0
12850,1130000,246.0
13097,1140000,247.0
13345,1150000,248.0
13588,1160000,243.0
13835,1170000,247.0
14084,1180000,249.0
14330,1190000,246.0
14574,1200000,244.0
14823,1210000,250.0
15069,1220000,245.0
15318,1230000,249.0
15563,1240000,245.0
15795,1250000,232.0
16040,1260000,246.0
16287,1270000,246.0
16534,1280000,247.0
16780,1290000,246.0
17028,1300000,248.0
17277,1310000,249.0
17525,1320000,248.0
17774,1330000,249.0
18020,1340000,246.0
18269,1350000,249.0
18514,1360000,245.0
18761,1370000,247.0
19008,1380000,247.0
19254,1390000,246.0
19502,1400000,248.0
19749,1410000,247.0
19997,1420000,248.0
20245,1430000,248.0
20494,1440000,249.0
20740,1450000,246.0
20987,1460000,247.0
21235,1470000,248.0
21482,1480000,247.0
21728,1490000,246.0
21975,1500000,248.0
22225,1510000,249.0
22470,1520000,245.0
22717,1530000,247.0
22964,1540000,247.0
23212,1550000,248.0
23458,1560000,246.0
23706,1570000,248.0
23950,1580000,244.0
24198,1590000,248.0
24448,1600000,250.0
24694,1610000,246.0
24940,1620000,246.0
25186,1630000,246.0
25432,1640000,246.0
25678,1650000,246.0
25927,1660000,249.0
26176,1670000,249.0
26422,1680000,246.0
26668,1690000,246.0
26918,1700000,250.0
27164,1710000,246.0
27409,1720000,245.0
27658,1730000,249.0
27904,1740000,246.0
28149,1750000,245.0
28392,1760000,243.0
28639,1770000,247.0
28888,1780000,249.0
29135,1790000,247.0
29379,1800000,244.0
29628,1810000,249.0
29874,1820000,246.0
30119,1830000,245.0
30365,1840000,246.0
30613,1850000,248.0
30859,1860000,246.0
31107,1870000,248.0
31352,1880000,245.0
31599,1890000,247.0
31846,1900000,247.0
32094,1910000,248.0
32339,1920000,245.0
32588,1930000,249.0
32837,1940000,249.0
33084,1950000,247.0
33329,1960000,245.0
33576,1970000,248.0
33820,1980000,243.0
34066,1990000,246.0
34300,2000000,234.0
