# {"t_start": 1614908349.2974966, "env_id": "Craft-M2-v0"} 
r,l,t
0.0,1000,1.266885
0.0,1000,2.523428
0.0,1000,3.783008
0.0,1000,5.041965
0.0,1000,6.314811
0.0,1000,7.574552
0.0,1000,8.849829
0.0,1000,10.115739
0.0,1000,11.38121
0.0,1000,12.656877
0.0,1000,13.941221
0.0,1000,15.239509
0.0,1000,16.537961
0.0,1000,17.84806
0.0,1000,19.193094
0.0,1000,20.536306
0.0,1000,21.883571
0.0,1000,23.202368
0.0,1000,24.530158
0.0,1000,25.872812
0.0,1000,27.211285
0.0,1000,28.517403
0.0,1000,29.828423
0.0,1000,31.169394
0.0,1000,32.543941
0.0,1000,33.908641
0.0,1000,35.260556
0.0,1000,36.634845
0.0,1000,38.019472
0.0,1000,39.38607
0.0,1000,40.770286
0.0,1000,42.154552
0.0,1000,43.555323
0.0,1000,44.965684
0.0,1000,46.35479
0.0,1000,47.753498
0.0,1000,49.163963
0.0,1000,50.574056
0.0,1000,51.971209
0.0,1000,53.357581
0.0,1000,54.748553
0.0,1000,56.150149
0.0,1000,57.561727
0.0,1000,58.961368
0.0,1000,60.3546
0.0,1000,61.739608
0.0,1000,63.143586
0.0,1000,64.548342
0.0,1000,65.954293
0.0,1000,67.360599
0.0,1000,68.76916
0.0,1000,70.168846
0.0,1000,71.5561
0.0,1000,72.948078
0.0,1000,74.334965
0.0,1000,75.742405
0.0,1000,77.134445
0.0,1000,78.523813
0.0,1000,79.913725
0.0,1000,81.300725
0.0,1000,82.702114
0.0,1000,84.0842
0.0,1000,85.497351
1.0,451,86.143702
0.0,1000,87.563862
0.0,1000,88.981128
0.0,1000,90.375589
0.0,1000,91.770186
0.0,1000,93.158624
0.0,1000,94.56504
0.0,1000,95.964537
0.0,1000,97.382879
0.0,1000,98.774131
0.0,1000,100.175241
0.0,1000,101.581686
0.0,1000,102.985815
0.0,1000,104.399974
0.0,1000,105.807118
0.0,1000,107.215755
0.0,1000,108.622361
0.0,1000,110.032182
0.0,1000,111.430482
0.0,1000,112.837503
0.0,1000,114.251932
0.0,1000,115.662642
0.0,1000,117.062258
0.0,1000,118.461042
0.0,1000,119.879078
0.0,1000,121.295904
0.0,1000,122.712535
0.0,1000,124.128784
0.0,1000,125.549171
0.0,1000,126.961123
1.0,755,128.027134
0.0,1000,129.432299
0.0,1000,130.871994
0.0,1000,132.287516
0.0,1000,133.693096
0.0,1000,135.110337
0.0,1000,136.509637
0.0,1000,137.931503
1.0,442,138.553061
1.0,933,139.869431
1.0,700,140.860991
0.0,1000,142.27131
0.0,1000,143.699167
0.0,1000,145.122098
1.0,819,146.277929
0.0,1000,147.68235
0.0,1000,149.090329
0.0,1000,150.510514
0.0,1000,151.916342
1.0,323,152.377744
0.0,1000,153.79077
1.0,864,155.040518
0.0,1000,156.489011
0.0,1000,157.890148
0.0,1000,159.314346
0.0,1000,160.721433
0.0,1000,162.134
0.0,1000,163.549164
0.0,1000,164.954556
1.0,979,166.330673
1.0,716,167.337017
0.0,1000,168.746777
0.0,1000,170.15053
0.0,1000,171.54145
1.0,958,172.872454
0.0,1000,174.29325
0.0,1000,175.704592
1.0,317,176.146923
1.0,82,176.261204
0.0,1000,177.649795
0.0,1000,179.039099
0.0,1000,180.441989
1.0,457,181.087782
0.0,1000,182.493912
1.0,419,183.085676
0.0,1000,184.498099
0.0,1000,185.907246
0.0,1000,187.327593
0.0,1000,188.74361
