# {"t_start": 1599692276.7322068, "env_id": "Office-single-v0"} 
r,l,t
0.0,6,0.003694
0.0,73,0.014081
0.0,16,0.016158
0.0,19,0.018681
0.0,10,0.019996
0.0,2,0.020286
0.0,19,0.022522
0.0,49,0.028153
0.0,17,0.030122
0.0,7,0.030958
0.0,15,0.032713
0.0,20,0.035039
0.0,56,0.041468
0.0,6,0.042181
0.0,35,0.046207
0.0,22,0.048748
0.0,143,0.06526
0.0,18,0.067346
0.0,68,0.075201
0.0,48,0.080698
0.0,46,0.085905
0.0,69,0.093766
0.0,99,0.105001
0.0,143,0.121362
0.0,9,0.122419
0.0,41,0.127127
0.0,228,0.153132
0.0,55,0.15944
0.0,54,0.165586
0.0,88,0.175727
0.0,66,0.183445
0.0,24,0.186204
0.0,54,0.192395
0.0,107,0.204566
1.0,194,0.229319
0.0,106,0.241538
0.0,135,0.257074
0.0,72,0.265332
0.0,23,0.267986
1.0,297,0.302021
0.0,24,0.30513
0.0,46,0.310987
0.0,71,0.319727
0.0,34,0.324093
0.0,166,0.345065
0.0,60,0.352602
0.0,67,0.361013
0.0,320,0.397885
0.0,42,0.402732
0.0,29,0.406072
0.0,27,0.409136
0.0,19,0.411343
1.0,288,0.444354
1.0,211,0.468552
0.0,58,0.475204
0.0,158,0.4933
0.0,26,0.496305
0.0,14,0.497929
0.0,59,0.504655
1.0,183,0.527786
0.0,304,0.566098
1.0,180,0.588587
0.0,151,0.607698
0.0,82,0.618041
0.0,40,0.623008
0.0,106,0.636442
0.0,14,0.638274
0.0,47,0.644287
0.0,90,0.655524
0.0,21,0.658246
0.0,6,0.659047
1.0,97,0.67122
0.0,18,0.673579
0.0,7,0.674513
1.0,169,0.695808
1.0,97,0.707941
0.0,78,0.717812
1.0,163,0.738323
0.0,74,0.747649
0.0,157,0.767579
0.0,52,0.774191
0.0,73,0.78325
0.0,322,0.823913
0.0,58,0.831185
0.0,20,0.833772
0.0,60,0.841237
0.0,70,0.850054
0.0,43,0.855565
0.0,32,0.859686
1.0,108,0.873286
0.0,60,0.880848
0.0,97,0.893055
0.0,77,0.90268
1.0,47,0.908566
0.0,85,0.919291
0.0,60,0.926817
1.0,102,0.939557
1.0,55,0.946488
1.0,174,0.968383
0.0,12,0.969961
0.0,42,0.975353
0.0,4,0.975903
0.0,169,0.997525
1.0,78,1.007303
0.0,8,1.008373
1.0,109,1.022171
1.0,281,1.057587
0.0,19,1.060057
1.0,124,1.075665
1.0,198,1.100827
0.0,56,1.107837
1.0,45,1.113513
0.0,29,1.117272
0.0,129,1.133638
0.0,12,1.135211
1.0,98,1.147509
0.0,41,1.152789
1.0,107,1.166184
1.0,52,1.172679
0.0,17,1.174839
0.0,23,1.177805
0.0,55,1.184741
0.0,94,1.19657
1.0,108,1.210316
1.0,68,1.218834
0.0,7,1.219768
1.0,56,1.226781
0.0,80,1.236241
0.0,29,1.239567
1.0,79,1.248642
1.0,39,1.253129
0.0,95,1.263988
0.0,38,1.268337
1.0,44,1.273382
0.0,85,1.28313
0.0,6,1.283841
0.0,46,1.289123
0.0,30,1.292577
1.0,55,1.298865
1.0,30,1.302316
1.0,65,1.309788
1.0,66,1.317315
1.0,35,1.321496
0.0,52,1.3308
0.0,68,1.338966
0.0,45,1.34432
1.0,43,1.349553
0.0,8,1.350502
1.0,40,1.355247
1.0,366,1.398179
1.0,33,1.401985
0.0,16,1.403845
1.0,45,1.409165
0.0,21,1.411592
1.0,167,1.430707
1.0,42,1.435532
0.0,2,1.43579
1.0,48,1.441279
1.0,46,1.446559
1.0,62,1.45365
1.0,74,1.462108
1.0,28,1.465341
1.0,42,1.47019
0.0,193,1.492374
1.0,41,1.497064
0.0,18,1.499148
0.0,4,1.49963
1.0,186,1.52094
1.0,32,1.524628
0.0,2,1.524886
0.0,17,1.526849
1.0,73,1.535152
0.0,39,1.53964
1.0,46,1.544896
1.0,49,1.55053
1.0,39,1.555006
1.0,30,1.558454
0.0,15,1.560195
0.0,21,1.562624
0.0,109,1.575111
0.0,15,1.576863
1.0,32,1.58053
0.0,7,1.58136
1.0,38,1.58572
0.0,15,1.587461
1.0,70,1.595495
1.0,34,1.599413
1.0,46,1.604715
1.0,36,1.608958
1.0,49,1.614668
1.0,54,1.620867
1.0,24,1.623637
1.0,68,1.631414
1.0,27,1.634531
0.0,82,1.64393
1.0,36,1.648078
1.0,27,1.651201
0.0,19,1.653407
1.0,52,1.659368
1.0,29,1.662699
1.0,45,1.667862
1.0,26,1.670855
1.0,29,1.67419
1.0,30,1.677617
1.0,46,1.682894
0.0,12,1.684305
1.0,28,1.687536
0.0,4,1.688023
1.0,23,1.69068
1.0,30,1.694126
1.0,61,1.701118
1.0,23,1.703772
1.0,25,1.706643
1.0,23,1.709295
1.0,27,1.712415
1.0,54,1.7186
1.0,37,1.722834
0.0,18,1.724909
1.0,24,1.727666
0.0,17,1.729639
