# {"t_start": 1614834837.007148, "env_id": "Office-v0"} 
r,l,t
0.0,18,0.013424
0.0,29,0.025514
0.0,43,0.039561
0.0,66,0.06119
0.0,4,0.062569
0.0,15,0.067392
0.0,6,0.069378
0.0,61,0.089154
0.0,45,0.103791
0.0,33,0.114672
0.0,41,0.127947
0.0,156,0.178495
1.0,93,0.211653
0.0,110,0.247468
0.0,29,0.256668
0.0,92,0.285081
0.0,46,0.299132
0.0,118,0.335206
0.0,10,0.338407
0.0,115,0.374056
0.0,39,0.386411
0.0,7,0.388582
0.0,14,0.392966
0.0,95,0.422662
1.0,123,0.460937
0.0,85,0.487269
0.0,68,0.508533
0.0,92,0.53728
1.0,67,0.558347
0.0,38,0.570279
0.0,43,0.583476
0.0,64,0.60334
1.0,65,0.623404
0.0,103,0.655123
0.0,89,0.683117
0.0,118,0.720028
1.0,63,0.73939
1.0,541,0.910686
0.0,299,1.007385
0.0,48,1.022433
1.0,55,1.039681
0.0,32,1.049702
0.0,2,1.050365
0.0,221,1.118986
0.0,19,1.124954
1.0,171,1.178049
0.0,204,1.24078
0.0,111,1.27462
0.0,20,1.280797
0.0,54,1.297508
0.0,10,1.300609
0.0,80,1.325104
1.0,60,1.343563
0.0,2,1.344203
0.0,72,1.366228
0.0,335,1.469549
1.0,20,1.47571
0.0,118,1.511977
0.0,347,1.618193
0.0,20,1.624407
1.0,47,1.638902
0.0,158,1.68841
1.0,249,1.764764
0.0,5,1.766332
1.0,57,1.78373
1.0,170,1.835583
0.0,78,1.859311
0.0,65,1.879123
0.0,79,1.903507
1.0,111,1.937418
0.0,366,2.050675
0.0,39,2.062979
1.0,18,2.068631
0.0,106,2.102093
0.0,41,2.115105
0.0,199,2.177278
1.0,14,2.181657
0.0,98,2.211696
1.0,279,2.299608
0.0,20,2.306024
1.0,16,2.311002
0.0,64,2.330669
0.0,21,2.337145
0.0,13,2.34115
1.0,59,2.359214
0.0,20,2.365349
0.0,38,2.37699
0.0,5,2.378555
1.0,14,2.38288
1.0,204,2.445333
0.0,78,2.46939
0.0,24,2.476804
1.0,48,2.49156
1.0,198,2.55251
0.0,64,2.572202
1.0,234,2.643908
1.0,15,2.648575
1.0,107,2.681441
0.0,128,2.720868
0.0,321,2.819836
1.0,20,2.826119
1.0,174,2.880728
0.0,43,2.894128
0.0,104,2.926274
1.0,13,2.930281
1.0,183,2.986302
0.0,28,2.994904
0.0,89,3.021926
1.0,11,3.02538
0.0,29,3.034287
0.0,42,3.047133
0.0,6,3.048995
0.0,4,3.05024
1.0,106,3.082716
0.0,28,3.09134
1.0,138,3.134445
1.0,11,3.137894
0.0,178,3.192492
1.0,367,3.305519
0.0,56,3.322806
1.0,11,3.326437
0.0,34,3.336953
1.0,64,3.356611
0.0,40,3.368868
1.0,11,3.372287
1.0,54,3.388896
0.0,5,3.390455
0.0,82,3.415734
1.0,11,3.419185
0.0,143,3.463097
1.0,357,3.572999
1.0,95,3.602557
1.0,11,3.606112
0.0,128,3.645704
0.0,25,3.653456
1.0,946,3.949651
1.0,13,3.953832
0.0,10,3.956995
0.0,134,3.999336
1.0,201,4.062906
1.0,11,4.066434
1.0,84,4.092816
0.0,42,4.106057
0.0,1000,4.420721
1.0,13,4.424881
1.0,79,4.449668
1.0,180,4.506137
1.0,130,4.547045
1.0,11,4.550727
0.0,120,4.588333
1.0,85,4.615106
0.0,11,4.618604
1.0,11,4.622088
1.0,81,4.647478
0.0,60,4.666454
0.0,72,4.689072
1.0,11,4.692523
1.0,166,4.74461
0.0,19,4.750639
0.0,47,4.765681
1.0,11,4.769143
1.0,65,4.789767
1.0,49,4.805207
0.0,808,5.070467
1.0,11,5.074291
