# {"t_start": 1614116325.765881, "env_id": "Water-single-M10-v0"} 
r,l,t
0.0,47,7.330332
0.0,22,7.362067
0.0,29,7.403702
0.0,19,7.431767
0.0,18,7.458026
0.0,54,7.533977
0.0,22,7.564615
0.0,21,7.59384
0.0,88,7.716418
0.0,26,7.753079
0.0,23,7.785442
0.0,10,7.79991
0.0,34,7.848196
0.0,14,7.868098
0.0,24,7.901301
0.0,24,7.935021
0.0,78,8.043476
0.0,14,8.063474
0.0,13,8.081913
0.0,62,8.169101
0.0,98,8.306679
0.0,49,8.375997
0.0,11,8.391902
0.0,22,8.423214
0.0,72,8.524205
0.0,71,8.624229
0.0,16,8.647161
0.0,23,8.792343
0.0,61,9.150304
0.0,21,9.27288
0.0,82,9.750045
0.0,51,10.047146
0.0,23,10.181393
0.0,43,10.43148
0.0,86,10.931794
0.0,34,11.129869
0.0,22,11.258717
0.0,79,11.720358
0.0,27,11.881906
0.0,27,12.039533
0.0,9,12.092252
0.0,20,12.21028
0.0,17,12.311601
0.0,24,12.452345
0.0,30,12.627209
0.0,15,12.715237
0.0,25,12.862962
0.0,50,13.15531
0.0,27,13.313682
0.0,61,13.671044
0.0,24,13.811033
0.0,28,13.973744
0.0,34,14.175751
0.0,72,14.597753
0.0,90,15.125941
0.0,57,15.462543
0.0,22,15.591824
0.0,25,15.738327
0.0,27,15.897157
0.0,18,16.002574
0.0,126,16.738295
0.0,27,16.896231
0.0,11,16.960847
0.0,51,17.265174
0.0,30,17.439895
0.0,22,17.569164
0.0,11,17.633906
0.0,33,17.826759
0.0,35,18.030761
0.0,43,18.283693
0.0,9,18.336392
0.0,26,18.487979
0.0,11,18.551923
0.0,26,18.709443
0.0,27,18.867454
0.0,24,19.008656
0.0,33,19.202159
0.0,30,19.378546
0.0,36,19.590492
0.0,20,19.708081
0.0,119,20.406258
0.0,16,20.499816
0.0,21,20.623589
0.0,75,21.063804
0.0,32,21.251512
0.0,39,21.48386
0.0,70,21.894249
0.0,34,22.093609
0.0,27,22.252659
0.0,28,22.417045
0.0,36,22.626947
0.0,27,22.785966
0.0,19,22.898512
0.0,15,22.985713
0.0,46,23.256299
0.0,15,23.343303
0.0,35,23.549875
1.0,131,24.320587
0.0,56,24.653728
0.0,78,25.112158
0.0,21,25.23575
0.0,26,25.388146
0.0,15,25.475779
0.0,13,25.552238
0.0,46,25.822527
0.0,57,26.155984
0.0,61,26.513842
0.0,31,26.69573
0.0,14,26.778912
1.0,90,27.30574
0.0,27,27.465186
0.0,18,27.570728
0.0,13,27.647368
0.0,15,27.735795
0.0,23,27.871311
0.0,21,27.994991
0.0,9,28.048108
0.0,18,28.153672
0.0,86,28.659327
0.0,54,28.976227
0.0,61,29.33275
0.0,61,29.695181
0.0,16,29.788886
0.0,109,30.428505
0.0,43,30.682078
0.0,10,30.74121
0.0,20,30.858418
0.0,18,30.964854
0.0,19,31.075976
0.0,28,31.239723
0.0,55,31.562056
0.0,40,31.795685
0.0,20,31.912928
0.0,20,32.02961
0.0,90,32.556069
0.0,33,32.749385
0.0,82,33.228317
0.0,12,33.298585
0.0,20,33.41516
0.0,11,33.480197
0.0,13,33.556608
0.0,17,33.659877
0.0,130,34.417849
0.0,46,34.686512
0.0,13,34.762017
0.0,18,34.867081
0.0,62,35.229768
0.0,10,35.288136
0.0,25,35.435508
0.0,27,35.599701
0.0,84,36.093534
0.0,39,36.322884
0.0,11,36.388344
0.0,73,36.815061
0.0,41,37.055715
0.0,18,37.161794
0.0,38,37.384495
0.0,56,37.71429
0.0,56,38.041465
0.0,48,38.323996
0.0,21,38.446432
0.0,71,38.863008
0.0,52,39.169611
0.0,24,39.310848
0.0,23,39.445883
0.0,57,39.778378
0.0,77,40.230331
0.0,15,40.317836
0.0,46,40.588877
0.0,17,40.689162
0.0,34,40.888381
0.0,69,41.294541
0.0,25,41.44094
0.0,62,41.803549
0.0,25,41.951095
0.0,61,42.309038
0.0,27,42.47455
0.0,40,42.710392
0.0,45,42.974807
0.0,89,43.497816
0.0,11,43.561797
0.0,51,43.860878
0.0,41,44.101584
0.0,18,44.207834
0.0,42,44.453124
0.0,16,44.547346
0.0,56,44.874993
0.0,68,45.274956
0.0,52,45.580805
0.0,70,45.991773
0.0,66,46.379653
0.0,26,46.532341
0.0,18,46.63802
0.0,27,46.796666
0.0,53,47.107321
0.0,208,48.325132
0.0,24,48.467158
0.0,16,48.560432
1.0,147,49.423227
0.0,12,49.494369
0.0,24,49.634678
0.0,11,49.699283
0.0,38,49.923226
0.0,20,50.040311
