% time spent exploring,episodes,mean 100 episode reward,steps
98,100,0.1,3785
96,200,0.1,7879
93,300,0.1,12190
92,400,0.0,16149
89,500,0.0,20526
87,600,0.1,24900
85,700,0.1,29499
83,800,0.1,34103
80,900,0.1,38613
78,1000,0.2,43223
76,1100,0.1,47487
74,1200,0.2,51691
72,1300,0.3,56050
70,1400,0.2,59911
68,1500,0.2,63765
66,1600,0.4,67665
64,1700,0.4,72200
62,1800,0.4,76316
60,1900,0.5,80741
57,2000,0.5,84944
56,2100,0.7,88671
54,2200,0.6,91713
52,2300,0.8,95171
51,2400,0.8,98515
49,2500,0.8,101716
47,2600,0.9,105059
46,2700,0.8,108739
44,2800,0.9,111714
43,2900,0.8,114736
41,3000,0.9,117691
40,3100,0.9,120510
38,3200,0.9,123389
37,3300,0.9,126144
36,3400,1.0,129029
34,3500,1.0,131706
33,3600,1.0,134307
32,3700,1.0,136856
31,3800,1.0,139349
29,3900,1.0,141788
28,4000,1.0,144205
27,4100,1.0,146510
26,4200,1.0,148855
25,4300,1.0,151152
24,4400,1.0,153401
22,4500,1.0,155663
21,4600,1.0,157917
20,4700,1.0,160120
19,4800,1.0,162252
18,4900,1.0,164412
17,5000,1.0,166488
16,5100,1.0,168601
15,5200,1.0,170714
14,5300,1.0,172752
13,5400,1.0,174892
12,5500,1.0,176924
11,5600,1.0,178897
10,5700,1.0,181000
9,5800,1.0,183004
8,5900,1.0,184896
7,6000,1.0,186885
6,6100,1.0,188839
5,6200,1.0,190776
4,6300,1.0,192589
3,6400,1.0,194472
2,6500,1.0,196266
1,6600,1.0,198138
1,6700,1.0,199865
1,6800,1.0,201657
1,6900,1.0,203471
1,7000,1.0,205203
1,7100,0.9,207560
1,7200,1.0,209601
1,7300,1.0,211968
1,7400,1.0,213686
1,7500,1.0,215414
1,7600,1.0,217143
1,7700,1.0,219059
1,7800,1.0,220779
1,7900,1.0,222649
1,8000,1.0,224355
1,8100,1.0,226079
1,8200,1.0,227843
1,8300,1.0,229596
1,8400,1.0,231313
1,8500,1.0,233021
1,8600,1.0,234737
1,8700,1.0,236458
1,8800,1.0,238215
1,8900,1.0,239977
1,9000,1.0,241686
1,9100,1.0,243437
1,9200,1.0,245182
1,9300,1.0,246942
1,9400,1.0,248711
1,9500,1.0,250427
1,9600,1.0,252218
1,9700,1.0,253952
1,9800,1.0,255675
1,9900,1.0,257432
1,10000,1.0,259193
1,10100,1.0,260957
1,10200,1.0,262701
1,10300,1.0,264423
1,10400,1.0,266167
1,10500,1.0,267935
1,10600,1.0,269643
1,10700,1.0,271383
1,10800,1.0,273158
1,10900,1.0,274932
1,11000,1.0,276655
1,11100,1.0,278367
1,11200,1.0,280095
1,11300,1.0,281823
1,11400,1.0,283570
1,11500,1.0,285377
1,11600,1.0,287078
1,11700,1.0,288853
1,11800,1.0,290556
1,11900,1.0,292263
1,12000,1.0,293982
1,12100,1.0,295717
1,12200,1.0,297479
1,12300,1.0,299199
1,12400,1.0,301056
1,12500,1.0,302787
1,12600,1.0,304511
1,12700,1.0,306227
1,12800,1.0,307934
1,12900,1.0,309653
1,13000,1.0,311418
1,13100,1.0,313165
1,13200,1.0,314884
1,13300,1.0,316617
1,13400,1.0,318499
1,13500,1.0,320230
1,13600,1.0,321966
1,13700,1.0,323700
1,13800,1.0,325409
1,13900,1.0,327127
1,14000,1.0,328860
1,14100,1.0,330575
1,14200,1.0,332288
1,14300,1.0,334112
1,14400,1.0,335819
1,14500,1.0,337530
1,14600,1.0,339245
1,14700,1.0,340978
1,14800,1.0,342698
1,14900,1.0,344403
1,15000,1.0,346141
1,15100,1.0,347878
1,15200,1.0,349586
1,15300,1.0,351302
1,15400,1.0,353016
1,15500,1.0,354737
1,15600,1.0,356458
1,15700,1.0,358166
1,15800,1.0,359934
1,15900,1.0,361647
1,16000,1.0,363465
1,16100,1.0,365243
1,16200,1.0,366948
1,16300,1.0,368670
1,16400,1.0,370379
1,16500,1.0,372142
1,16600,1.0,373850
1,16700,1.0,375575
1,16800,1.0,377343
1,16900,1.0,379052
1,17000,1.0,380760
1,17100,1.0,382472
1,17200,1.0,384192
1,17300,1.0,385901
1,17400,1.0,387710
1,17500,1.0,389494
1,17600,1.0,391200
1,17700,1.0,392916
1,17800,1.0,394634
1,17900,1.0,396352
1,18000,1.0,398059
1,18100,1.0,399779
1,18200,1.0,401495
1,18300,1.0,403204
1,18400,1.0,404911
1,18500,1.0,406617
1,18600,1.0,408327
1,18700,1.0,410039
1,18800,1.0,411745
1,18900,1.0,413466
1,19000,1.0,415213
1,19100,1.0,416929
1,19200,1.0,418737
1,19300,1.0,420446
1,19400,1.0,422154
1,19500,1.0,423895
1,19600,1.0,425601
1,19700,1.0,427319
1,19800,1.0,429076
1,19900,1.0,430810
1,20000,1.0,432570
1,20100,1.0,434309
1,20200,1.0,436038
1,20300,1.0,437753
1,20400,1.0,439462
1,20500,1.0,441176
1,20600,1.0,442887
1,20700,1.0,444604
1,20800,1.0,446321
1,20900,1.0,448027
1,21000,1.0,449731
1,21100,1.0,451449
1,21200,1.0,453154
1,21300,1.0,454874
1,21400,1.0,456602
1,21500,1.0,458319
1,21600,1.0,460020
1,21700,1.0,461769
1,21800,1.0,463473
1,21900,1.0,465260
1,22000,1.0,466984
1,22100,1.0,468694
1,22200,1.0,470401
1,22300,1.0,472119
1,22400,1.0,473833
1,22500,1.0,475579
1,22600,1.0,477287
1,22700,1.0,479023
1,22800,1.0,480750
1,22900,1.0,482468
1,23000,1.0,484217
1,23100,1.0,485923
1,23200,1.0,487742
1,23300,1.0,489473
1,23400,1.0,491185
1,23500,1.0,492934
1,23600,1.0,494636
1,23700,1.0,496372
1,23800,1.0,498163
1,23900,1.0,499877
