# {"t_start": 1599334398.913186, "env_id": "Water-M6-v0"} 
r,l,t
0.0,600,9.473582
1.0,147,10.014441
1.0,449,17.791244
1.0,448,33.276768
1.0,256,42.196624
0.0,600,63.328849
1.0,430,78.470585
1.0,562,98.389417
0.0,54,100.33065
0.0,121,104.723924
0.0,600,126.279561
1.0,290,136.748769
1.0,474,153.75367
1.0,391,167.776566
1.0,477,184.898453
0.0,600,206.670351
1.0,340,219.117664
0.0,600,241.142772
0.0,25,242.12932
0.0,56,244.212515
1.0,85,247.309578
1.0,310,258.577176
1.0,92,261.947163
1.0,366,275.542103
1.0,497,293.659241
1.0,400,308.41065
1.0,520,327.428592
1.0,502,345.833813
0.0,56,347.865546
0.0,53,349.822759
1.0,185,356.687519
1.0,444,373.001553
1.0,217,381.044852
1.0,247,390.5542
1.0,303,401.724437
1.0,591,423.552307
0.0,600,445.788974
1.0,255,455.225307
0.0,42,456.872262
0.0,46,458.680035
1.0,266,468.489251
1.0,209,476.488631
1.0,138,481.583455
0.0,600,503.904827
1.0,503,522.659613
0.0,600,544.794984
1.0,581,566.704065
0.0,600,589.260196
0.0,26,590.246903
0.0,44,591.875138
1.0,445,608.301737
1.0,110,612.417853
1.0,78,615.356793
0.0,600,637.856773
1.0,313,649.435707
1.0,541,669.815633
1.0,470,687.214172
0.0,600,709.523769
0.0,42,711.102907
0.0,93,714.554378
1.0,204,722.174793
1.0,234,730.880508
1.0,435,746.968049
1.0,544,767.081901
1.0,579,788.68746
1.0,570,809.947671
1.0,326,821.953374
0.0,600,844.150599
0.0,58,846.30713
0.0,36,847.654604
1.0,163,853.714692
1.0,181,860.453442
1.0,235,869.189364
1.0,440,885.507634
1.0,331,897.816527
1.0,303,908.985257
1.0,576,930.188081
0.0,600,952.509852
0.0,23,953.359559
0.0,31,954.50124
1.0,145,959.905118
1.0,418,975.516439
1.0,93,979.01655
1.0,332,991.31871
1.0,546,1011.527506
1.0,148,1017.058807
1.0,480,1035.038949
0.0,600,1057.582935
0.0,83,1060.693464
0.0,33,1061.928544
1.0,134,1066.955779
1.0,133,1071.983448
1.0,230,1080.671031
1.0,223,1088.957496
0.0,600,1111.438261
1.0,306,1122.981317
0.0,600,1145.52594
1.0,513,1164.875705
0.0,62,1167.187286
0.0,52,1169.106795
1.0,169,1175.386477
1.0,216,1183.410973
1.0,79,1186.352099
1.0,185,1193.281451
1.0,190,1200.415477
1.0,500,1219.23544
1.0,439,1235.801291
0.0,600,1258.394407
0.0,26,1259.357038
0.0,128,1264.098126
1.0,514,1283.263793
1.0,299,1294.577875
1.0,70,1297.20134
0.0,600,1319.788111
