% time spent exploring,episodes,mean 100 episode reward,steps
83,100,0.6,33449
71,200,0.7,58046
59,300,0.8,81800
49,400,0.8,101672
41,500,0.8,117967
34,600,0.8,132930
27,700,0.8,146489
20,800,0.8,160052
14,900,0.8,173177
8,1000,0.8,185506
2,1100,0.8,196727
1,1200,0.8,206198
1,1300,0.8,216409
1,1400,0.8,225732
1,1500,0.8,236058
1,1600,0.8,248145
1,1700,0.8,259403
1,1800,0.8,269323
1,1900,0.8,279268
1,2000,0.8,288984
1,2100,0.8,299536
1,2200,0.8,309017
1,2300,0.8,319103
1,2400,0.8,328402
1,2500,0.8,338069
1,2600,0.8,346492
1,2700,0.8,356215
1,2800,0.8,365895
1,2900,0.8,375139
1,3000,0.8,384071
1,3100,0.8,393047
1,3200,0.8,402957
1,3300,0.8,412072
1,3400,0.8,421397
1,3500,0.8,431020
1,3600,0.8,439437
1,3700,0.8,448965
1,3800,0.8,458664
1,3900,0.8,468602
1,4000,0.8,477726
1,4100,0.8,485857
1,4200,0.8,496177
1,4300,0.8,504360
1,4400,0.8,512555
1,4500,0.8,520529
1,4600,0.8,528289
1,4700,0.8,536554
1,4800,0.8,544017
1,4900,0.8,553748
1,5000,0.8,562974
1,5100,0.8,572308
1,5200,0.8,581614
1,5300,0.8,589157
1,5400,0.8,597398
1,5500,0.8,605846
1,5600,0.8,613415
1,5700,0.8,621604
1,5800,0.8,628807
1,5900,0.8,636570
1,6000,0.8,645273
1,6100,0.8,652525
1,6200,0.8,659955
1,6300,0.8,667749
1,6400,0.8,675215
1,6500,0.8,684173
1,6600,0.8,691081
1,6700,0.8,698684
1,6800,0.8,706334
1,6900,0.8,713984
1,7000,0.8,721966
1,7100,0.8,730729
1,7200,0.8,739706
1,7300,0.8,748314
1,7400,0.8,757170
1,7500,0.8,765573
1,7600,0.8,776042
1,7700,0.8,784677
1,7800,0.8,794072
1,7900,0.8,802808
1,8000,0.8,810133
1,8100,0.8,817802
1,8200,0.8,827268
1,8300,0.8,835616
1,8400,0.8,843300
1,8500,0.8,851214
1,8600,0.8,858275
1,8700,0.8,866592
1,8800,0.8,874463
1,8900,0.8,882903
1,9000,0.8,890594
1,9100,0.8,897851
1,9200,0.8,905577
1,9300,0.8,913117
1,9400,0.8,920424
1,9500,0.8,928800
1,9600,0.8,935718
1,9700,0.8,942895
1,9800,0.8,950039
1,9900,0.8,957486
1,10000,0.8,964306
1,10100,0.8,971592
1,10200,0.8,979693
1,10300,0.8,987481
1,10400,0.8,995272
1,10500,0.8,1004341
1,10600,0.8,1012601
1,10700,0.8,1021312
1,10800,0.8,1029368
1,10900,0.8,1037409
1,11000,0.8,1045722
1,11100,0.8,1054606
1,11200,0.8,1062635
1,11300,0.8,1070231
1,11400,0.8,1078551
1,11500,0.8,1087365
1,11600,0.8,1095090
1,11700,0.8,1103057
1,11800,0.8,1111424
1,11900,0.8,1119591
1,12000,0.8,1127690
1,12100,0.8,1137023
1,12200,0.8,1145925
1,12300,0.8,1154543
1,12400,0.8,1163862
1,12500,0.8,1172320
1,12600,0.8,1180167
1,12700,0.8,1188495
1,12800,0.8,1196048
1,12900,0.8,1203424
1,13000,0.8,1209828
1,13100,0.8,1217760
1,13200,0.8,1225016
1,13300,0.8,1232907
1,13400,0.8,1240837
1,13500,0.8,1247769
1,13600,0.8,1255396
1,13700,0.8,1262554
1,13800,0.8,1270239
1,13900,0.8,1277405
1,14000,0.8,1284454
1,14100,0.8,1290692
1,14200,0.8,1299137
1,14300,0.8,1307623
1,14400,0.8,1315326
1,14500,0.8,1322557
1,14600,0.8,1331094
1,14700,0.8,1338525
1,14800,0.8,1346455
1,14900,0.8,1354398
1,15000,0.8,1362182
1,15100,0.8,1369911
1,15200,0.8,1378441
1,15300,0.8,1386028
1,15400,0.8,1393839
1,15500,0.8,1401683
1,15600,0.8,1408838
1,15700,0.8,1416713
1,15800,0.8,1423614
1,15900,0.8,1430817
1,16000,0.8,1438750
1,16100,0.8,1446251
1,16200,0.8,1453780
1,16300,0.8,1462186
1,16400,0.8,1469227
1,16500,0.8,1477737
1,16600,0.8,1486504
1,16700,0.8,1495036
1,16800,0.8,1503036
1,16900,0.8,1510847
1,17000,0.8,1519465
1,17100,0.8,1527221
1,17200,0.8,1534280
1,17300,0.8,1541859
1,17400,0.8,1549691
1,17500,0.8,1557235
1,17600,0.8,1565369
1,17700,0.8,1573232
1,17800,0.8,1580954
1,17900,0.8,1588762
1,18000,0.8,1596882
1,18100,0.8,1605500
1,18200,0.8,1613316
1,18300,0.8,1621525
1,18400,0.8,1628931
1,18500,0.8,1636342
1,18600,0.8,1645145
1,18700,0.8,1652994
1,18800,0.8,1660491
1,18900,0.8,1668710
1,19000,0.8,1676306
1,19100,0.8,1683039
1,19200,0.8,1689941
1,19300,0.8,1697814
1,19400,0.8,1706577
1,19500,0.8,1713873
1,19600,0.8,1721387
1,19700,0.8,1730203
1,19800,0.8,1737716
1,19900,0.8,1746186
1,20000,0.8,1752976
1,20100,0.8,1760176
1,20200,0.8,1767361
1,20300,0.8,1773913
1,20400,0.8,1781286
1,20500,0.8,1787678
1,20600,0.8,1794790
1,20700,0.8,1802220
1,20800,0.8,1810159
1,20900,0.8,1817101
1,21000,0.8,1824002
1,21100,0.8,1830931
1,21200,0.8,1837830
1,21300,0.8,1844574
1,21400,0.8,1851782
1,21500,0.8,1859001
1,21600,0.8,1866670
1,21700,0.8,1874540
1,21800,0.8,1881216
1,21900,0.8,1889117
1,22000,0.8,1895894
1,22100,0.8,1902645
1,22200,0.8,1909755
1,22300,0.8,1917646
1,22400,0.8,1925314
1,22500,0.8,1932927
1,22600,0.8,1941485
1,22700,0.8,1948213
1,22800,0.8,1956344
1,22900,0.8,1963552
1,23000,0.8,1971837
1,23100,0.8,1980276
1,23200,0.8,1988320
1,23300,0.8,1996171
