# {"t_start": 1599170613.8606384, "env_id": "Water-M3-v0"} 
r,l,t
1.0,280,6.439714
1.0,163,7.045807
1.0,257,8.002109
1.0,406,12.018169
1.0,166,16.403351
1.0,352,25.809714
1.0,314,34.310224
1.0,473,47.176068
0.0,105,50.024362
0.0,11,50.324224
0.0,600,66.726824
0.0,600,83.316644
1.0,109,86.33775
1.0,381,96.989885
1.0,297,105.260265
1.0,456,117.913008
0.0,600,134.783086
0.0,600,151.519488
0.0,23,152.162677
0.0,17,152.635886
1.0,382,163.430499
1.0,250,170.502915
0.0,600,187.506043
1.0,276,195.287918
1.0,595,212.432045
1.0,184,217.858944
1.0,122,221.433052
1.0,562,237.935514
0.0,18,238.460631
0.0,22,239.101333
1.0,96,241.94143
1.0,156,246.404095
1.0,95,249.098247
1.0,370,259.546433
1.0,326,268.776439
1.0,393,280.003064
1.0,385,291.029728
0.0,600,308.262976
0.0,13,308.636574
0.0,44,309.896197
0.0,600,327.042719
1.0,560,343.108933
1.0,182,348.371434
1.0,292,356.848941
1.0,498,371.235786
1.0,166,376.133924
0.0,600,393.623641
1.0,494,407.952936
0.0,23,408.618319
0.0,38,409.715328
1.0,380,420.841315
1.0,318,430.342077
1.0,366,441.34291
1.0,184,446.888077
1.0,397,458.834777
0.0,600,476.651886
1.0,330,486.377777
1.0,559,503.035833
0.0,21,503.661414
0.0,38,504.796255
1.0,93,507.637968
1.0,256,515.281445
1.0,141,519.525639
0.0,600,537.522073
1.0,413,549.80493
0.0,600,567.729581
1.0,324,577.340321
0.0,600,595.151892
0.0,16,595.628637
0.0,14,596.043921
1.0,88,598.717933
0.0,600,616.802564
1.0,137,620.866457
1.0,162,625.697134
1.0,131,629.563127
1.0,410,641.693742
1.0,314,651.062106
1.0,475,665.403555
0.0,18,665.944454
0.0,197,671.887592
1.0,248,679.355161
1.0,76,681.710361
1.0,62,683.570612
1.0,387,695.169636
1.0,215,701.495967
1.0,126,705.218869
1.0,549,721.455636
0.0,600,739.259419
0.0,71,741.337372
0.0,43,742.620604
0.0,600,760.392856
1.0,332,770.226375
1.0,97,773.087933
1.0,238,780.000617
1.0,196,785.813442
1.0,197,791.644033
1.0,381,803.070728
1.0,397,815.014251
0.0,38,816.143039
0.0,72,818.328644
1.0,86,820.899954
1.0,299,829.890311
1.0,227,836.692851
1.0,534,852.842586
1.0,174,857.980359
1.0,467,871.862141
1.0,540,888.102989
0.0,600,906.204716
0.0,44,907.532457
0.0,17,908.041599
1.0,419,920.720281
1.0,420,933.200805
1.0,232,940.046807
1.0,481,954.427044
1.0,256,962.144605
1.0,469,976.278782
1.0,428,989.164319
1.0,389,1000.991119
0.0,15,1001.440534
0.0,13,1001.825172
1.0,359,1012.579219
1.0,168,1017.53949
1.0,81,1019.963895
1.0,352,1030.730487
1.0,307,1040.150134
0.0,600,1058.575702
1.0,382,1070.271425
0.0,600,1088.61779
0.0,88,1091.263711
0.0,81,1093.705564
1.0,71,1095.852775
1.0,330,1105.914342
1.0,130,1109.867277
1.0,139,1114.105809
1.0,338,1124.465826
1.0,212,1131.011849
1.0,360,1142.018662
1.0,473,1156.56569
0.0,50,1158.09099
0.0,29,1158.948925
1.0,171,1164.121018
1.0,27,1164.93689
1.0,87,1167.559247
1.0,400,1179.693937
1.0,207,1186.048081
1.0,313,1195.614236
1.0,314,1205.19717
1.0,100,1208.244446
0.0,14,1208.666693
0.0,61,1210.521738
1.0,294,1219.570843
1.0,185,1225.258943
1.0,170,1230.528377
1.0,593,1248.576652
1.0,175,1253.871939
1.0,248,1261.419797
1.0,264,1269.415379
1.0,329,1279.556202
0.0,28,1280.410712
0.0,14,1280.833826
1.0,74,1283.088211
1.0,178,1288.476441
1.0,88,1291.156853
1.0,312,1300.556962
1.0,320,1310.329146
1.0,489,1325.026239
1.0,507,1340.148004
0.0,600,1358.295627
0.0,133,1362.315585
0.0,40,1363.522525
1.0,100,1366.556637
1.0,47,1367.984159
1.0,164,1372.932091
1.0,277,1381.319938
1.0,190,1387.115505
1.0,112,1390.536197
1.0,322,1400.290715
1.0,458,1413.918139
0.0,82,1416.375454
0.0,35,1417.436558
1.0,62,1419.297668
1.0,286,1427.956372
1.0,306,1437.234177
1.0,388,1449.006498
1.0,343,1459.430639
1.0,450,1473.23178
0.0,600,1491.142775
0.0,600,1509.32702
0.0,16,1509.8095
0.0,36,1510.912128
1.0,279,1519.383584
1.0,19,1519.959841
1.0,209,1526.314342
1.0,450,1540.111339
1.0,320,1549.880373
1.0,283,1558.293458
1.0,235,1565.331471
1.0,491,1580.167036
0.0,16,1580.658666
0.0,36,1581.7564
1.0,386,1593.509966
1.0,140,1597.766591
1.0,132,1601.773932
1.0,245,1609.225331
1.0,144,1613.654194
1.0,240,1621.034524
1.0,358,1631.789059
1.0,331,1641.681808
0.0,32,1642.657705
0.0,98,1645.668223
1.0,94,1648.565799
1.0,46,1650.00011
1.0,77,1652.395168
1.0,466,1666.870512
1.0,237,1674.205432
1.0,389,1686.282285
1.0,206,1692.639224
0.0,600,1710.8727
0.0,18,1711.413733
0.0,17,1711.930976
1.0,295,1720.942158
1.0,578,1738.67817
1.0,127,1742.539039
0.0,600,1760.85485
1.0,321,1770.707193
1.0,103,1773.879791
1.0,273,1782.147385
1.0,494,1796.863469
0.0,82,1799.34599
0.0,44,1800.673012
1.0,334,1810.826081
1.0,155,1815.536997
1.0,293,1824.448615
1.0,304,1833.767375
1.0,155,1838.562228
1.0,250,1846.409797
0.0,600,1865.057973
1.0,362,1876.211344
0.0,30,1877.129696
0.0,55,1878.818851
1.0,391,1890.829439
1.0,117,1894.42613
1.0,185,1900.154118
1.0,226,1907.130151
1.0,166,1912.258793
1.0,438,1925.942271
1.0,155,1930.814562
1.0,181,1936.362636
0.0,41,1937.602725
0.0,17,1938.116875
1.0,269,1946.24715
1.0,173,1951.52934
1.0,303,1960.803733
1.0,217,1967.452907
1.0,251,1975.242157
1.0,321,1985.19244
1.0,327,1995.207536
1.0,125,1999.136376
0.0,47,2000.650789
0.0,10,2000.963564
1.0,99,2004.040969
1.0,40,2005.241636
1.0,78,2007.638666
1.0,337,2017.731244
1.0,344,2028.221982
1.0,251,2036.005398
1.0,199,2042.199839
1.0,502,2057.693131
0.0,21,2058.339834
0.0,38,2059.516012
1.0,299,2068.775579
1.0,109,2072.136325
1.0,173,2077.553447
1.0,276,2086.05923
1.0,206,2092.199663
1.0,201,2098.222107
1.0,201,2104.305511
1.0,195,2110.337954
0.0,135,2114.469744
0.0,21,2115.124871
1.0,56,2116.835887
1.0,158,2121.705636
1.0,151,2126.380826
1.0,172,2131.737797
1.0,191,2137.661224
1.0,194,2143.6222
1.0,161,2148.629863
1.0,351,2159.675472
0.0,19,2160.261279
0.0,27,2161.085847
1.0,90,2163.821196
1.0,106,2166.995102
1.0,208,2173.210054
1.0,155,2177.94257
1.0,184,2183.535853
1.0,87,2186.186888
1.0,282,2194.798341
1.0,319,2204.511267
0.0,43,2205.809176
0.0,46,2207.212714
1.0,43,2208.518372
1.0,159,2213.35678
1.0,74,2215.604494
1.0,168,2220.722174
1.0,269,2228.983986
1.0,183,2234.57387
1.0,300,2243.601453
1.0,409,2255.747765
0.0,75,2258.003755
0.0,42,2259.271867
1.0,62,2261.142843
1.0,48,2262.59884
1.0,116,2266.120947
1.0,224,2272.956928
1.0,108,2276.249848
1.0,115,2279.755342
1.0,301,2288.886947
1.0,486,2303.639106
0.0,36,2304.733236
0.0,67,2306.78266
1.0,82,2309.274396
1.0,103,2312.427591
1.0,267,2320.454448
1.0,290,2329.031527
1.0,138,2333.15945
1.0,208,2339.478876
1.0,330,2349.679773
1.0,465,2364.135086
0.0,40,2365.378274
1.0,185,2371.142176
1.0,100,2374.248997
1.0,145,2378.744682
1.0,207,2385.24723
1.0,350,2396.110979
1.0,410,2408.540412
1.0,109,2411.871579
1.0,165,2416.950763
1.0,175,2422.275453
0.0,14,2422.697996
0.0,65,2424.667953
1.0,76,2426.975405
1.0,43,2428.293171
1.0,139,2432.541126
1.0,250,2440.163268
1.0,204,2446.286892
1.0,245,2453.669286
1.0,289,2462.466678
0.0,600,2480.187785
0.0,118,2483.648654
0.0,19,2484.206389
1.0,255,2491.814969
1.0,155,2496.446877
1.0,102,2499.49235
1.0,149,2503.935412
1.0,267,2511.897421
1.0,86,2514.456462
1.0,398,2526.313975
1.0,499,2541.244444
0.0,84,2543.749049
0.0,46,2545.119172
1.0,72,2547.240344
1.0,158,2551.829582
1.0,99,2554.68824
1.0,227,2561.26095
1.0,137,2565.266673
1.0,167,2570.198404
1.0,159,2574.974644
1.0,253,2582.584995
0.0,15,2583.029859
0.0,24,2583.737979
1.0,70,2585.818175
1.0,47,2587.203945
1.0,93,2589.961776
1.0,519,2605.334151
1.0,189,2610.962828
1.0,346,2621.298254
1.0,248,2628.557584
1.0,520,2643.748033
0.0,17,2644.250125
0.0,52,2645.780131
1.0,114,2649.166466
1.0,87,2651.748686
1.0,162,2656.588521
1.0,221,2663.169331
1.0,166,2668.181663
1.0,168,2673.286751
1.0,163,2678.249606
0.0,600,2696.680275
0.0,30,2697.584567
0.0,11,2697.938889
1.0,57,2699.688117
1.0,56,2701.388305
1.0,136,2705.451015
1.0,154,2710.001589
1.0,240,2717.174947
1.0,120,2720.799977
1.0,265,2728.847987
1.0,562,2745.950784
0.0,14,2746.38083
0.0,22,2747.054516
1.0,185,2752.684672
1.0,149,2757.219639
1.0,338,2767.436748
1.0,118,2771.051027
1.0,101,2774.160929
1.0,193,2779.9931
1.0,175,2785.145148
1.0,236,2792.163242
0.0,47,2793.574124
0.0,16,2794.061248
1.0,64,2795.980933
1.0,109,2799.289145
1.0,48,2800.749835
1.0,150,2805.313638
1.0,156,2810.043748
1.0,251,2817.652963
1.0,173,2822.86699
1.0,483,2837.365821
0.0,114,2840.777847
0.0,9,2841.049055
1.0,76,2843.362475
1.0,109,2846.675581
1.0,68,2848.731162
1.0,120,2852.35537
1.0,267,2860.22281
1.0,145,2864.404684
1.0,247,2871.563008
1.0,322,2881.008091
0.0,64,2882.897231
0.0,42,2884.143187
1.0,265,2891.967245
1.0,140,2896.102037
1.0,56,2897.763729
1.0,256,2905.325457
1.0,429,2917.993356
1.0,269,2926.082946
1.0,279,2934.389866
1.0,181,2939.626677
0.0,22,2940.25962
0.0,85,2942.721141
1.0,138,2946.744065
1.0,39,2947.884726
1.0,56,2949.537936
1.0,45,2950.861636
1.0,166,2955.781578
1.0,152,2960.305398
1.0,329,2970.1127
1.0,478,2984.327629
0.0,10,2984.626704
0.0,16,2985.102911
1.0,70,2987.174066
1.0,41,2988.401217
1.0,65,2990.3267
1.0,188,2995.893925
1.0,158,3000.579445
1.0,91,3003.293834
1.0,483,3017.45153
1.0,389,3028.846253
0.0,29,3029.71625
0.0,11,3030.047149
1.0,61,3031.884958
1.0,38,3033.032079
1.0,47,3034.452213
1.0,168,3039.566455
1.0,156,3044.309725
1.0,231,3051.319387
1.0,188,3057.021673
1.0,209,3063.320007
0.0,75,3065.582586
0.0,26,3066.370456
1.0,79,3068.764958
1.0,37,3069.889118
1.0,51,3071.434086
1.0,130,3075.409337
1.0,152,3080.063352
1.0,137,3084.233287
1.0,298,3093.191265
1.0,104,3096.264932
0.0,39,3097.418055
0.0,16,3097.891468
1.0,69,3099.896895
1.0,37,3100.977332
1.0,148,3105.363074
1.0,49,3106.830167
1.0,155,3111.440192
1.0,114,3114.886776
1.0,186,3120.436266
1.0,489,3135.167066
0.0,17,3135.677021
0.0,71,3137.80877
1.0,71,3139.919874
1.0,157,3144.630764
1.0,53,3146.248109
1.0,186,3151.907464
1.0,131,3155.925149
1.0,121,3159.631854
1.0,280,3168.099567
1.0,467,3181.74018
0.0,32,3182.678825
0.0,12,3183.037477
1.0,52,3184.580522
1.0,64,3186.462418
1.0,68,3188.473887
1.0,169,3193.566919
1.0,125,3197.346062
1.0,77,3199.681014
1.0,214,3206.201849
1.0,351,3216.8652
0.0,19,3217.441815
0.0,46,3218.831687
1.0,57,3220.571777
1.0,104,3223.719112
1.0,90,3226.455853
1.0,108,3229.758315
1.0,159,3234.63622
1.0,86,3237.276855
1.0,217,3243.869915
1.0,312,3252.97298
0.0,27,3253.75367
0.0,33,3254.703797
1.0,65,3256.607584
1.0,42,3257.828801
1.0,80,3260.187294
1.0,207,3266.408097
1.0,147,3270.806298
1.0,93,3273.622249
1.0,179,3279.029573
1.0,198,3285.055004
0.0,36,3286.151185
0.0,14,3286.579129
1.0,76,3288.890292
1.0,23,3289.58454
1.0,137,3293.744325
1.0,58,3295.506005
1.0,140,3299.681078
1.0,161,3304.461501
1.0,110,3307.758018
1.0,263,3315.677069
0.0,23,3316.353192
0.0,46,3317.781241
1.0,83,3320.296542
1.0,77,3322.599885
1.0,88,3325.151743
1.0,75,3327.319538
1.0,128,3331.070832
1.0,178,3336.369791
1.0,204,3342.47619
1.0,175,3347.768073
0.0,42,3349.05514
0.0,38,3350.205391
1.0,68,3352.271587
1.0,65,3354.255725
1.0,66,3356.274144
1.0,330,3366.178881
1.0,170,3371.274734
1.0,136,3375.381338
1.0,340,3385.712614
1.0,144,3390.421998
0.0,44,3391.783017
0.0,36,3392.893816
1.0,47,3394.31739
1.0,67,3396.314539
1.0,72,3398.467344
1.0,157,3403.086256
1.0,105,3406.138295
1.0,151,3410.585122
1.0,343,3420.922156
1.0,286,3429.466826
0.0,11,3429.794928
0.0,13,3430.186789
1.0,57,3431.889036
1.0,88,3434.512473
1.0,53,3436.091214
1.0,286,3444.754316
1.0,161,3449.664344
1.0,277,3458.109854
1.0,154,3462.818538
1.0,534,3478.897158
0.0,41,3480.114823
0.0,65,3482.033155
1.0,44,3483.337685
1.0,21,3483.961755
1.0,119,3487.504147
1.0,154,3492.588494
1.0,171,3497.767164
1.0,273,3506.068655
1.0,265,3514.095392
1.0,197,3520.081296
0.0,70,3522.209351
1.0,46,3523.604879
1.0,84,3526.107875
1.0,64,3528.011955
1.0,131,3531.997509
1.0,74,3534.238967
1.0,168,3539.320469
1.0,82,3541.809853
1.0,497,3556.673001
1.0,296,3565.35532
0.0,41,3566.570505
0.0,27,3567.373888
1.0,80,3569.793199
1.0,71,3571.949188
1.0,52,3573.52574
1.0,94,3576.336122
1.0,122,3579.952509
1.0,287,3588.643621
1.0,388,3600.198955
1.0,145,3604.500656
0.0,34,3605.513492
0.0,12,3605.872025
1.0,80,3608.227602
1.0,126,3611.958383
1.0,55,3613.584419
1.0,160,3618.344105
1.0,63,3620.249573
1.0,87,3622.852102
1.0,194,3628.613939
1.0,221,3635.003093
0.0,18,3635.518515
0.0,98,3638.341021
1.0,69,3640.322821
1.0,23,3640.988359
1.0,123,3644.576424
1.0,251,3652.030479
1.0,62,3653.893775
1.0,75,3656.151232
1.0,256,3663.919903
1.0,447,3677.533631
0.0,29,3678.415926
0.0,12,3678.781573
1.0,54,3680.434554
1.0,23,3681.137387
1.0,179,3686.586175
1.0,256,3694.390691
1.0,156,3699.118838
1.0,88,3701.82803
1.0,159,3706.673996
1.0,447,3719.832403
0.0,10,3720.125167
0.0,28,3720.938112
1.0,67,3722.917492
1.0,43,3724.179985
1.0,91,3726.923221
1.0,154,3731.547716
1.0,68,3733.606197
1.0,146,3738.047128
1.0,153,3742.700198
1.0,437,3755.805136
0.0,26,3756.574859
0.0,17,3757.081895
1.0,74,3759.271286
1.0,21,3759.896807
1.0,136,3764.013614
1.0,216,3770.609802
1.0,157,3775.389889
1.0,199,3781.368508
1.0,234,3788.337134
1.0,454,3801.844784
0.0,19,3802.422476
0.0,11,3802.757895
1.0,94,3805.600915
1.0,37,3806.716476
1.0,96,3809.625655
1.0,328,3819.427369
1.0,127,3823.233223
1.0,156,3827.88461
0.0,600,3846.008392
0.0,600,3864.231876
0.0,20,3864.825075
0.0,39,3865.971441
1.0,47,3867.360681
1.0,41,3868.572724
1.0,157,3873.247341
1.0,120,3876.857504
1.0,160,3881.671264
1.0,148,3886.147728
1.0,138,3890.299145
0.0,600,3908.251624
0.0,36,3909.340959
0.0,16,3909.815689
1.0,38,3910.951969
1.0,43,3912.271388
1.0,73,3914.503886
1.0,327,3924.557005
1.0,181,3930.12075
1.0,200,3936.140553
1.0,121,3939.752245
1.0,361,3950.430612
0.0,29,3951.284677
0.0,12,3951.637194
1.0,32,3952.585171
1.0,40,3953.770176
1.0,57,3955.491717
1.0,151,3960.106224
1.0,161,3965.034524
1.0,150,3969.634276
1.0,305,3978.947814
1.0,298,3987.87947
0.0,32,3988.839735
0.0,50,3990.33016
1.0,37,3991.439446
1.0,22,3992.094506
1.0,77,3994.411497
1.0,392,4006.310765
1.0,150,4010.911264
1.0,322,4020.574136
1.0,149,4025.010375
1.0,264,4032.804771
0.0,99,4035.816386
0.0,24,4036.553174
1.0,38,4037.709067
1.0,78,4040.061894
1.0,138,4044.280066
1.0,44,4045.625196
1.0,154,4050.333971
1.0,322,4060.147062
1.0,333,4070.222393
1.0,447,4083.688757
0.0,18,4084.231271
0.0,19,4084.827045
1.0,55,4086.510895
1.0,32,4087.451214
1.0,130,4091.35943
0.0,600,4109.023137
1.0,65,4110.947025
0.0,600,4129.030912
1.0,282,4137.592355
1.0,467,4151.459581
0.0,17,4151.973808
0.0,19,4152.557316
1.0,40,4153.754781
1.0,38,4154.876984
1.0,53,4156.483344
1.0,167,4161.460079
1.0,55,4163.121506
1.0,149,4167.548709
1.0,147,4171.838948
1.0,237,4178.658933
0.0,27,4179.438033
0.0,13,4179.813705
1.0,34,4180.790468
1.0,23,4181.458579
1.0,71,4183.525199
1.0,365,4194.257434
1.0,87,4196.814924
1.0,118,4200.308025
1.0,64,4202.206243
1.0,107,4205.371078
0.0,57,4207.051429
0.0,11,4207.37704
1.0,45,4208.705975
1.0,41,4209.906734
1.0,121,4213.486191
1.0,155,4218.066647
1.0,58,4219.76916
1.0,67,4221.758835
1.0,200,4227.656494
1.0,577,4245.065543
0.0,28,4245.896579
0.0,17,4246.411129
1.0,31,4247.350168
1.0,19,4247.918684
1.0,98,4250.826988
1.0,278,4259.088202
1.0,57,4260.797081
1.0,284,4269.336679
1.0,159,4274.156614
1.0,254,4281.852937
0.0,52,4283.423231
1.0,120,4287.015609
1.0,35,4288.080486
1.0,18,4288.625859
1.0,66,4290.613507
1.0,236,4297.671417
1.0,54,4299.314985
1.0,268,4307.413881
1.0,248,4314.999955
1.0,271,4323.227834
0.0,13,4323.615362
0.0,46,4325.016762
1.0,72,4327.12873
1.0,39,4328.258056
1.0,108,4331.429719
1.0,277,4339.596815
1.0,130,4343.51608
1.0,212,4349.905912
1.0,346,4360.17248
1.0,472,4374.354445
0.0,23,4375.055724
0.0,36,4376.161887
1.0,48,4377.624577
1.0,40,4378.851064
1.0,104,4382.035149
1.0,131,4386.042387
1.0,64,4387.978605
1.0,150,4392.539297
1.0,267,4400.737706
1.0,211,4407.046166
0.0,9,4407.307634
0.0,23,4407.981564
1.0,28,4408.79357
1.0,45,4410.09829
1.0,148,4414.515265
1.0,163,4419.416138
1.0,71,4421.525614
1.0,113,4424.919012
1.0,198,4430.961491
1.0,253,4438.559541
