# {"t_start": 1614349456.4120584, "env_id": "Half-Cheetah-RM1-v0"} 
r,l,t
-566.935889,1000,10.836473
-559.775732,1000,15.755706
-557.967541,1000,20.673861
-574.51295,1000,25.606549
-599.609007,1000,30.524889
-591.470873,1000,35.467817
-573.837171,1000,40.315153
-599.99991,1000,45.194648
-591.725253,1000,50.16043
-595.85613,1000,55.05869
-592.406659,1000,59.892134
-599.782128,1000,64.772224
-599.97404,1000,69.729233
-595.843128,1000,74.633134
-597.962859,1000,79.522175
-599.998145,1000,84.446388
-599.99757,1000,89.339168
-597.420067,1000,94.28564
-599.629761,1000,99.163998
-599.999856,1000,104.041805
-599.880988,1000,108.992792
-599.015166,1000,113.881944
-580.801011,1000,118.794106
-599.815971,1000,123.667009
-599.998333,1000,128.556548
-599.98669,1000,133.505063
-599.779105,1000,138.399705
-599.999758,1000,143.347131
-596.349884,1000,148.225614
-599.710039,1000,153.138583
-600.0,1000,158.123371
-599.99903,1000,163.040004
-599.999986,1000,167.973129
-581.459144,1000,172.948034
-598.683242,1000,177.939575
-597.147301,1000,182.875885
-596.807815,1000,187.813028
-599.929859,1000,192.83087
-599.971568,1000,197.755799
-592.455592,1000,202.715266
-592.986296,1000,207.686026
-598.03515,1000,212.651286
-599.729734,1000,217.651211
-599.996536,1000,222.604745
-599.894317,1000,227.645078
-599.999997,1000,232.606644
-599.98926,1000,237.598225
-599.999317,1000,242.622546
-600.0,1000,247.581925
-600.0,1000,252.615516
-599.944218,1000,257.606731
-599.997976,1000,262.588362
-599.30196,1000,267.634932
-599.999027,1000,272.580527
-599.81654,1000,277.543945
-599.999949,1000,282.519447
-594.156111,1000,287.557112
-599.703399,1000,292.549655
-594.785489,1000,297.567082
-599.998288,1000,302.569504
-582.292906,1000,307.576529
-599.999995,1000,312.694135
-599.893141,1000,317.731745
-600.0,1000,323.38154
-598.853156,1000,328.993556
-599.999999,1000,334.611528
-599.86467,1000,339.779006
-599.945617,1000,345.06516
-597.737354,1000,350.843507
-600.0,1000,355.928664
-599.999939,1000,361.870778
-599.997111,1000,367.873301
-599.993077,1000,373.279974
-598.670167,1000,379.260972
-577.27812,1000,385.253827
-599.964818,1000,391.23231
-582.17387,1000,397.235867
-599.999998,1000,403.214808
-599.999975,1000,409.286561
-600.0,1000,415.284199
-599.999998,1000,421.327216
-599.992873,1000,427.331901
-600.0,1000,433.405414
-599.780825,1000,439.4196
-599.984769,1000,445.514909
-598.008422,1000,451.481356
-581.556703,1000,457.539846
-593.686588,1000,463.512038
-591.109583,1000,469.499704
-599.894616,1000,475.509078
-599.999993,1000,481.59812
-599.985586,1000,487.695228
-599.534379,1000,493.751888
-590.72355,1000,499.717058
-599.662726,1000,505.785883
-599.967498,1000,511.792363
-600.0,1000,517.886155
-599.919384,1000,523.893816
-599.902688,1000,529.960338
-599.729961,1000,535.950366
-599.829516,1000,542.084527
-585.624612,1000,548.047994
-587.796537,1000,554.119556
-581.869502,1000,560.09614
-599.589783,1000,566.185322
-563.917135,1000,572.193011
-562.889531,1000,578.294191
-596.568925,1000,584.298248
-596.989565,1000,590.386235
-598.272057,1000,596.439733
-598.481201,1000,602.454753
-597.965274,1000,608.417263
-584.070638,1000,614.553862
-569.924264,1000,620.519742
-600.0,1000,626.614652
-599.921944,1000,631.974521
-599.893923,1000,637.726468
-594.229097,1000,643.740556
-599.989478,1000,649.465941
-595.089612,1000,655.097446
-595.629626,1000,661.128038
-599.999958,1000,667.140616
-599.998693,1000,672.839885
-599.999982,1000,678.414653
-600.0,1000,683.873469
-599.999704,1000,689.753765
-600.0,1000,695.513956
-599.999995,1000,701.118516
-600.0,1000,707.172352
-599.901173,1000,713.18313
-599.986837,1000,718.957887
-567.107566,1000,723.985805
-573.27045,1000,729.057659
-599.999962,1000,734.171594
-599.999981,1000,739.244574
-599.999895,1000,744.340776
-600.0,1000,749.37634
-599.999308,1000,754.450614
-598.089947,1000,759.452558
-599.818271,1000,764.514118
-599.999999,1000,769.857798
-587.448432,1000,775.039576
-590.952312,1000,780.363932
-600.0,1000,785.400318
-589.017648,1000,790.509679
-599.926675,1000,795.563237
-593.99164,1000,800.568299
-599.999998,1000,805.784944
-599.946732,1000,810.927829
-599.81337,1000,817.181136
-599.987376,1000,823.25233
-593.922913,1000,828.711558
-600.0,1000,834.105447
-571.478201,1000,839.951679
-588.947378,1000,846.027165
-599.999654,1000,851.264616
-582.316832,1000,856.291959
-599.997242,1000,861.498792
-598.794547,1000,866.708925
-595.453174,1000,872.143824
-599.994602,1000,877.474874
-599.999905,1000,882.80722
-599.969159,1000,888.606887
-599.995736,1000,894.715804
-599.828317,1000,900.044508
-600.0,1000,905.303089
-581.884697,1000,910.577166
-599.922529,1000,915.921361
-599.910582,1000,921.028404
-594.702647,1000,926.21962
-599.999999,1000,931.305067
-597.476524,1000,936.356364
-598.695952,1000,941.596353
-600.0,1000,946.690783
-598.881,1000,951.752494
-599.056749,1000,956.832305
-594.82129,1000,961.980068
-599.993841,1000,967.03481
-567.311565,1000,972.146976
-599.824817,1000,977.225024
-600.0,1000,982.330629
-599.999997,1000,987.500252
-597.987967,1000,992.608569
-599.999999,1000,997.776458
-599.999296,1000,1002.890064
-596.382222,1000,1007.983687
-599.999999,1000,1013.13431
-591.603997,1000,1018.216842
-588.533286,1000,1023.35807
-599.82943,1000,1028.485212
-599.962297,1000,1033.634085
-599.999015,1000,1038.806241
-596.105224,1000,1043.915466
-599.899532,1000,1049.395973
-599.517548,1000,1055.575635
-599.999998,1000,1061.688889
-599.848451,1000,1067.706444
-578.527039,1000,1073.080513
-588.559071,1000,1078.785965
-599.999998,1000,1084.03515
-599.982294,1000,1089.80918
-599.718596,1000,1095.049258
-599.999973,1000,1100.152947
-600.0,1000,1105.303374
-599.712504,1000,1110.510136
-599.163041,1000,1115.661773
-599.999971,1000,1121.788206
-598.804185,1000,1127.880535
-600.0,1000,1134.022201
-599.967423,1000,1140.110339
-598.30962,1000,1146.234621
-577.111989,1000,1152.362129
-592.968907,1000,1158.565279
-599.656023,1000,1164.674419
-589.93993,1000,1170.773044
