episodes,mean 100 episode reward,steps
100,-595.0,98999
200,-597.8,198999
300,-598.1,298999
400,-597.5,398999
500,-598.2,498999
600,-598.0,598999
700,-587.7,698999
800,-597.0,798999
900,-589.0,898999
1000,-594.6,998999
1100,-570.8,1098999
1200,-589.1,1198999
1300,-582.8,1298999
1400,-586.9,1398999
1500,-579.7,1498999
1600,-581.5,1598999
1700,-570.9,1698999
1800,-561.0,1798999
1900,-575.6,1898999
2000,-571.4,1998999
2100,-582.0,2098999
2200,-570.9,2198999
2300,-563.5,2298999
2400,-575.2,2398999
2500,-565.5,2498999
2600,-576.7,2598999
2700,-583.8,2698999
2800,-585.2,2798999
2900,-581.6,2898999
3000,-572.3,2998999
