# {"t_start": 1614886341.0961032, "env_id": "Craft-single-M1-v0"} 
r,l,t
0.0,1000,0.28307
0.0,1000,0.556822
0.0,1000,0.83189
0.0,1000,1.106344
0.0,1000,1.379881
0.0,1000,1.65266
0.0,1000,1.926997
0.0,1000,2.19968
0.0,1000,2.474587
0.0,1000,2.748789
0.0,1000,3.022274
0.0,1000,3.295339
0.0,1000,3.567246
0.0,1000,3.839399
0.0,1000,4.113423
0.0,1000,4.386261
0.0,1000,4.657312
0.0,1000,4.93149
0.0,1000,5.205159
0.0,1000,5.480167
0.0,1000,5.754764
0.0,1000,6.027829
0.0,1000,6.300688
0.0,1000,6.570751
0.0,1000,6.841613
0.0,1000,7.112849
0.0,1000,7.384951
0.0,1000,7.658291
0.0,1000,7.933533
0.0,1000,8.207568
0.0,1000,8.484368
0.0,1000,8.759346
0.0,1000,9.032991
0.0,1000,9.306285
0.0,1000,9.578048
0.0,1000,9.851504
0.0,1000,10.125067
0.0,1000,10.397677
0.0,1000,10.670482
0.0,1000,10.947265
0.0,1000,11.219864
0.0,1000,11.493918
0.0,1000,11.766397
0.0,1000,12.040284
0.0,1000,12.313348
0.0,1000,12.586321
0.0,1000,12.862677
0.0,1000,13.136907
0.0,1000,13.411936
0.0,1000,13.686203
0.0,1000,13.960082
0.0,1000,14.23244
0.0,1000,14.504966
0.0,1000,14.777259
0.0,1000,15.049551
0.0,1000,15.322204
0.0,1000,15.595955
0.0,1000,15.867757
0.0,1000,16.142871
0.0,1000,16.416783
0.0,1000,16.68988
0.0,1000,16.962343
0.0,1000,17.237776
0.0,1000,17.512335
0.0,1000,17.78643
0.0,1000,18.060251
0.0,1000,18.333239
0.0,1000,18.61032
0.0,1000,18.884155
0.0,1000,19.158173
0.0,1000,19.431628
0.0,1000,19.705769
0.0,1000,19.978319
0.0,1000,20.251784
0.0,1000,20.524612
0.0,1000,20.796378
0.0,1000,21.069779
0.0,1000,21.343272
0.0,1000,21.616237
0.0,1000,21.889278
0.0,1000,22.163007
0.0,1000,22.434124
0.0,1000,22.706053
0.0,1000,22.979042
0.0,1000,23.251784
0.0,1000,23.525184
0.0,1000,23.798344
0.0,1000,24.07313
0.0,1000,24.347307
0.0,1000,24.620432
0.0,1000,24.894018
0.0,1000,25.166755
0.0,1000,25.436981
0.0,1000,25.708728
0.0,1000,25.983349
0.0,1000,26.257599
0.0,1000,26.5315
0.0,1000,26.804895
0.0,1000,27.078846
0.0,1000,27.355263
0.0,1000,27.629361
0.0,1000,27.90417
0.0,1000,28.174959
0.0,1000,28.446922
0.0,1000,28.718664
0.0,1000,28.991694
0.0,1000,29.264993
0.0,1000,29.537623
0.0,1000,29.810786
0.0,1000,30.082524
0.0,1000,30.35508
0.0,1000,30.627295
0.0,1000,30.90066
0.0,1000,31.173528
0.0,1000,31.446584
0.0,1000,31.720542
0.0,1000,31.992987
0.0,1000,32.263901
0.0,1000,32.538385
0.0,1000,32.812908
0.0,1000,33.087136
0.0,1000,33.362157
0.0,1000,33.634163
0.0,1000,33.90406
0.0,1000,34.177083
0.0,1000,34.447467
0.0,1000,34.720067
0.0,1000,34.989385
0.0,1000,35.261561
0.0,1000,35.535436
0.0,1000,35.810809
0.0,1000,36.084998
0.0,1000,36.358343
0.0,1000,36.631776
0.0,1000,36.905408
0.0,1000,37.178221
0.0,1000,37.450381
0.0,1000,37.721464
0.0,1000,37.994311
0.0,1000,38.266834
0.0,1000,38.539713
0.0,1000,38.812072
0.0,1000,39.082766
0.0,1000,39.356519
0.0,1000,39.630793
0.0,1000,39.904495
0.0,1000,40.177663
0.0,1000,40.449129
0.0,1000,40.722862
0.0,1000,40.99621
0.0,1000,41.27015
0.0,1000,41.542609
0.0,1000,41.820653
0.0,1000,42.094699
0.0,1000,42.368964
0.0,1000,42.643735
0.0,1000,42.917426
0.0,1000,43.190781
0.0,1000,43.464093
0.0,1000,43.737428
0.0,1000,44.011304
0.0,1000,44.284532
0.0,1000,44.557435
0.0,1000,44.831272
0.0,1000,45.10578
0.0,1000,45.379552
0.0,1000,45.651955
0.0,1000,45.923908
0.0,1000,46.197019
0.0,1000,46.470337
0.0,1000,46.743482
0.0,1000,47.014655
0.0,1000,47.288703
0.0,1000,47.561967
0.0,1000,47.835668
0.0,1000,48.11233
0.0,1000,48.386535
0.0,1000,48.660169
0.0,1000,48.933768
0.0,1000,49.206004
0.0,1000,49.480128
0.0,1000,49.752693
0.0,1000,50.026222
0.0,1000,50.300306
0.0,1000,50.571903
0.0,1000,50.845906
0.0,1000,51.118928
0.0,1000,51.393457
0.0,1000,51.666188
0.0,1000,51.943477
0.0,1000,52.216184
0.0,1000,52.487581
0.0,1000,52.761179
0.0,1000,53.035577
0.0,1000,53.30986
0.0,1000,53.583418
0.0,1000,53.856643
0.0,1000,54.130179
0.0,1000,54.405838
0.0,1000,54.679535
0.0,1000,54.953746
0.0,1000,55.22615
0.0,1000,55.498789
0.0,1000,55.772174
0.0,1000,56.045199
0.0,1000,56.318788
0.0,1000,56.592195
0.0,1000,56.865854
0.0,1000,57.139692
0.0,1000,57.412686
0.0,1000,57.685695
0.0,1000,57.961157
0.0,1000,58.234473
0.0,1000,58.508281
0.0,1000,58.781883
0.0,1000,59.055777
0.0,1000,59.33054
0.0,1000,59.600784
0.0,1000,59.873994
0.0,1000,60.14755
0.0,1000,60.420687
0.0,1000,60.691825
0.0,1000,60.964356
0.0,1000,61.234031
