episodes,steps,total reward
9,10000,0.0
19,20000,0.0
29,30000,0.0
39,40000,0.0
49,50000,0.0
59,60000,0.0
69,70000,0.0
79,80000,0.0
89,90000,0.0
99,100000,0.0
109,110000,0.0
119,120000,0.0
129,130000,0.0
139,140000,0.0
149,150000,0.0
159,160000,0.0
169,170000,0.0
179,180000,0.0
189,190000,0.0
199,200000,0.0
209,210000,0.0
219,220000,0.0
229,230000,0.0
239,240000,0.0
249,250000,0.0
259,260000,0.0
269,270000,0.0
279,280000,0.0
289,290000,0.0
299,300000,0.0
311,310000,3.0
323,320000,4.0
335,330000,4.0
348,340000,6.0
361,350000,5.0
383,360000,17.0
402,370000,14.0
441,380000,36.0
481,390000,38.0
511,400000,26.0
551,410000,38.0
604,420000,48.0
655,430000,49.0
746,440000,91.0
847,450000,99.0
956,460000,108.0
1068,470000,111.0
1174,480000,106.0
1277,490000,101.0
1377,500000,98.0
1489,510000,111.0
1613,520000,124.0
1723,530000,109.0
1844,540000,121.0
1937,550000,90.0
2069,560000,132.0
2197,570000,128.0
2295,580000,97.0
2423,590000,128.0
2547,600000,124.0
2658,610000,110.0
2791,620000,133.0
2914,630000,122.0
3033,640000,118.0
3166,650000,133.0
3284,660000,118.0
3406,670000,122.0
3540,680000,134.0
3677,690000,137.0
3797,700000,120.0
3925,710000,128.0
4046,720000,121.0
4165,730000,119.0
4287,740000,121.0
4420,750000,133.0
4555,760000,135.0
4685,770000,130.0
4807,780000,122.0
4933,790000,126.0
5070,800000,137.0
5204,810000,134.0
5336,820000,132.0
5445,830000,108.0
5580,840000,135.0
5718,850000,138.0
5840,860000,122.0
5964,870000,124.0
6101,880000,137.0
6238,890000,137.0
6374,900000,136.0
6507,910000,133.0
6644,920000,137.0
6774,930000,130.0
6909,940000,135.0
7048,950000,139.0
7183,960000,135.0
7321,970000,138.0
7437,980000,115.0
7573,990000,136.0
7704,1000000,131.0
7841,1010000,137.0
7976,1020000,135.0
8113,1030000,137.0
8247,1040000,134.0
8385,1050000,138.0
8510,1060000,125.0
8647,1070000,137.0
8780,1080000,133.0
8911,1090000,131.0
9043,1100000,132.0
9179,1110000,136.0
9317,1120000,138.0
9446,1130000,129.0
9576,1140000,130.0
9714,1150000,138.0
9848,1160000,134.0
9987,1170000,139.0
10122,1180000,135.0
10251,1190000,129.0
10379,1200000,128.0
10515,1210000,136.0
10649,1220000,134.0
10787,1230000,138.0
10924,1240000,137.0
11063,1250000,139.0
11201,1260000,138.0
11339,1270000,138.0
11474,1280000,135.0
11605,1290000,131.0
11741,1300000,136.0
11871,1310000,130.0
12008,1320000,137.0
12146,1330000,138.0
12283,1340000,137.0
12419,1350000,136.0
12556,1360000,137.0
12693,1370000,137.0
12825,1380000,132.0
12962,1390000,137.0
13100,1400000,138.0
13226,1410000,126.0
13365,1420000,139.0
13502,1430000,137.0
13640,1440000,138.0
13778,1450000,138.0
13916,1460000,138.0
14054,1470000,138.0
14193,1480000,139.0
14332,1490000,139.0
14469,1500000,137.0
14602,1510000,133.0
14739,1520000,137.0
14875,1530000,136.0
15012,1540000,137.0
15147,1550000,135.0
15285,1560000,138.0
15424,1570000,139.0
15563,1580000,139.0
15701,1590000,138.0
15840,1600000,139.0
15978,1610000,138.0
16117,1620000,139.0
16255,1630000,138.0
16394,1640000,140.0
16534,1650000,139.0
16666,1660000,132.0
16803,1670000,137.0
16941,1680000,138.0
17073,1690000,132.0
17212,1700000,139.0
17352,1710000,140.0
17489,1720000,137.0
17626,1730000,137.0
17765,1740000,139.0
17897,1750000,132.0
18032,1760000,135.0
18170,1770000,138.0
18309,1780000,139.0
18447,1790000,138.0
18584,1800000,137.0
18718,1810000,134.0
18857,1820000,139.0
18991,1830000,134.0
19129,1840000,138.0
19267,1850000,138.0
19405,1860000,138.0
19542,1870000,137.0
19680,1880000,138.0
19819,1890000,139.0
19957,1900000,138.0
20086,1910000,129.0
20224,1920000,138.0
20363,1930000,139.0
20502,1940000,139.0
20638,1950000,136.0
20777,1960000,139.0
20915,1970000,138.0
21054,1980000,139.0
21193,1990000,139.0
21333,2000000,140.0
