episodes,steps,total reward
10,10000,1.0
21,20000,2.0
31,30000,1.0
43,40000,2.0
53,50000,0.0
63,60000,1.0
73,70000,0.0
83,80000,0.0
93,90000,0.0
104,100000,1.0
114,110000,1.0
124,120000,0.0
134,130000,0.0
144,140000,0.0
155,150000,2.0
165,160000,0.0
176,170000,1.0
186,180000,1.0
196,190000,0.0
206,200000,0.0
218,210000,3.0
228,220000,0.0
239,230000,1.0
251,240000,3.0
261,250000,0.0
271,260000,1.0
282,270000,1.0
293,280000,2.0
304,290000,1.0
315,300000,2.0
329,310000,7.0
348,320000,12.0
366,330000,12.0
387,340000,17.0
402,350000,8.0
429,360000,21.0
460,370000,24.0
496,380000,30.0
546,390000,45.0
594,400000,41.0
631,410000,31.0
686,420000,49.0
727,430000,35.0
771,440000,38.0
856,450000,83.0
956,460000,99.0
1117,470000,161.0
1277,480000,158.0
1489,490000,212.0
1708,500000,219.0
1854,510000,144.0
1986,520000,130.0
2169,530000,182.0
2376,540000,207.0
2596,550000,220.0
2802,560000,206.0
3019,570000,217.0
3206,580000,186.0
3396,590000,189.0
3596,600000,200.0
3794,610000,198.0
4002,620000,208.0
4154,630000,150.0
4310,640000,155.0
4534,650000,224.0
4717,660000,183.0
4896,670000,179.0
5109,680000,213.0
5325,690000,216.0
5547,700000,222.0
5758,710000,211.0
5968,720000,209.0
6190,730000,223.0
6423,740000,232.0
6636,750000,213.0
6833,760000,196.0
7064,770000,231.0
7296,780000,232.0
7510,790000,214.0
7716,800000,205.0
7947,810000,231.0
8178,820000,231.0
8409,830000,231.0
8639,840000,230.0
8858,850000,219.0
9087,860000,229.0
9319,870000,232.0
9549,880000,230.0
9759,890000,209.0
9992,900000,233.0
10202,910000,209.0
10409,920000,206.0
10618,930000,208.0
10849,940000,231.0
11082,950000,233.0
11316,960000,234.0
11547,970000,231.0
11778,980000,231.0
12002,990000,224.0
12236,1000000,234.0
12468,1010000,232.0
12698,1020000,230.0
12930,1030000,232.0
13162,1040000,232.0
13393,1050000,231.0
13624,1060000,231.0
13859,1070000,235.0
14092,1080000,233.0
14323,1090000,231.0
14556,1100000,233.0
14786,1110000,230.0
15015,1120000,229.0
15245,1130000,230.0
15477,1140000,232.0
15704,1150000,227.0
15937,1160000,233.0
16166,1170000,229.0
16393,1180000,227.0
16627,1190000,234.0
16858,1200000,231.0
17086,1210000,228.0
17318,1220000,232.0
17548,1230000,230.0
17779,1240000,231.0
18011,1250000,232.0
18246,1260000,235.0
18479,1270000,233.0
18709,1280000,230.0
18939,1290000,230.0
19172,1300000,234.0
19405,1310000,232.0
19614,1320000,208.0
19829,1330000,215.0
20059,1340000,230.0
20293,1350000,234.0
20527,1360000,234.0
20758,1370000,231.0
20988,1380000,230.0
21219,1390000,231.0
21449,1400000,230.0
21678,1410000,229.0
21910,1420000,232.0
22140,1430000,230.0
22373,1440000,233.0
22606,1450000,233.0
22836,1460000,230.0
23066,1470000,230.0
23296,1480000,230.0
23524,1490000,228.0
23756,1500000,232.0
23986,1510000,230.0
24216,1520000,230.0
24449,1530000,233.0
24681,1540000,232.0
24912,1550000,231.0
25145,1560000,233.0
25374,1570000,229.0
25605,1580000,231.0
25836,1590000,231.0
26046,1600000,209.0
26277,1610000,231.0
26509,1620000,232.0
26739,1630000,230.0
26971,1640000,232.0
27203,1650000,232.0
27435,1660000,232.0
27667,1670000,232.0
27900,1680000,233.0
28129,1690000,229.0
28359,1700000,230.0
28594,1710000,235.0
28826,1720000,232.0
29058,1730000,232.0
29290,1740000,232.0
29522,1750000,232.0
29749,1760000,227.0
29979,1770000,230.0
30209,1780000,230.0
30440,1790000,231.0
30674,1800000,234.0
30905,1810000,231.0
31128,1820000,223.0
31358,1830000,230.0
31589,1840000,231.0
31816,1850000,227.0
32043,1860000,227.0
32276,1870000,233.0
32507,1880000,231.0
32739,1890000,232.0
32969,1900000,230.0
33202,1910000,233.0
33435,1920000,233.0
33666,1930000,231.0
33896,1940000,230.0
34128,1950000,232.0
34358,1960000,230.0
34592,1970000,234.0
34825,1980000,233.0
35032,1990000,206.0
35263,2000000,231.0
