# {"t_start": 1614861677.4996367, "env_id": "Craft-M7-v0"} 
r,l,t
1.0,468,0.888167
0.0,1000,2.755302
0.0,1000,4.604903
0.0,1000,6.539557
0.0,1000,8.558918
0.0,1000,10.487111
0.0,1000,12.415585
0.0,1000,14.315597
0.0,1000,16.216059
0.0,1000,18.126387
0.0,1000,20.015368
0.0,1000,22.001287
1.0,423,22.81176
0.0,1000,24.694232
0.0,1000,26.603941
0.0,1000,28.563705
0.0,1000,30.50905
0.0,1000,32.399341
0.0,1000,34.300552
0.0,1000,36.258301
0.0,1000,38.164025
0.0,1000,40.071593
0.0,1000,41.999629
0.0,1000,43.905793
0.0,1000,45.79179
0.0,1000,47.735573
0.0,1000,49.65708
0.0,1000,51.585111
0.0,1000,53.478804
0.0,1000,55.386348
0.0,1000,57.313936
0.0,1000,59.204264
1.0,293,59.758699
0.0,1000,61.68747
1.0,549,62.733397
0.0,1000,64.699524
0.0,1000,66.682822
0.0,1000,68.647268
0.0,1000,70.635989
0.0,1000,72.568712
0.0,1000,74.485865
0.0,1000,76.549206
0.0,1000,78.457858
0.0,1000,80.360408
0.0,1000,82.277389
0.0,1000,84.176517
0.0,1000,86.079247
0.0,1000,87.994825
0.0,1000,89.918363
0.0,1000,91.851973
0.0,1000,93.760597
0.0,1000,95.702007
0.0,1000,97.824378
1.0,833,99.449755
0.0,1000,101.684544
0.0,1000,103.876586
0.0,1000,105.889733
0.0,1000,107.899192
0.0,1000,109.808091
0.0,1000,111.705661
0.0,1000,113.69656
0.0,1000,115.621691
0.0,1000,117.561479
0.0,1000,119.517098
0.0,1000,121.410988
0.0,1000,123.313718
0.0,1000,125.217406
0.0,1000,127.123357
0.0,1000,129.069412
0.0,1000,130.975331
0.0,1000,132.909534
0.0,1000,134.855959
0.0,1000,136.814052
1.0,359,137.517616
0.0,1000,139.483909
0.0,1000,141.504186
0.0,1000,143.504596
1.0,595,144.686321
0.0,1000,146.627484
0.0,1000,148.578767
0.0,1000,150.517287
0.0,1000,152.432699
1.0,298,153.001018
0.0,1000,154.91517
1.0,516,155.904397
0.0,1000,157.801651
0.0,1000,159.801086
0.0,1000,161.954142
0.0,1000,163.863893
0.0,1000,165.770743
0.0,1000,167.713927
0.0,1000,169.664406
1.0,287,170.225856
0.0,1000,172.177295
0.0,1000,174.134859
0.0,1000,176.162461
0.0,1000,178.189166
0.0,1000,180.195535
1.0,883,181.943171
0.0,1000,183.889461
0.0,1000,185.830367
0.0,1000,187.786795
0.0,1000,189.684705
0.0,1000,191.57817
0.0,1000,193.471768
0.0,1000,195.381862
0.0,1000,197.293306
1.0,928,199.07547
0.0,1000,200.982927
0.0,1000,202.91755
0.0,1000,204.855908
0.0,1000,206.828011
