# {"t_start": 1614835827.7781136, "env_id": "Office-single-v0"} 
r,l,t
0.0,2,0.001636
0.0,25,0.006418
0.0,50,0.015227
0.0,22,0.019087
0.0,14,0.021555
0.0,74,0.034501
0.0,8,0.035951
0.0,18,0.039148
0.0,17,0.042199
0.0,69,0.054544
0.0,14,0.057079
0.0,109,0.07659
0.0,22,0.080603
0.0,30,0.086022
0.0,44,0.093896
0.0,26,0.098565
0.0,127,0.121516
0.0,90,0.137042
0.0,86,0.152275
0.0,78,0.166133
0.0,57,0.176169
0.0,120,0.197573
0.0,48,0.206381
0.0,155,0.23671
0.0,57,0.246603
0.0,41,0.253722
0.0,17,0.256716
0.0,142,0.281341
0.0,68,0.293654
0.0,78,0.307488
0.0,19,0.311039
0.0,128,0.334229
0.0,7,0.335598
0.0,192,0.369773
0.0,105,0.388902
0.0,102,0.407377
0.0,54,0.417251
0.0,101,0.435107
0.0,628,0.546726
0.0,133,0.570967
0.0,10,0.572906
0.0,27,0.577945
0.0,25,0.582602
0.0,117,0.60408
0.0,20,0.60784
0.0,46,0.616195
0.0,252,0.66083
0.0,70,0.67347
0.0,11,0.675521
0.0,11,0.677587
0.0,389,0.748053
0.0,380,0.817829
0.0,577,0.923332
0.0,325,0.983341
0.0,66,0.99587
0.0,18,0.999412
0.0,426,1.077565
0.0,122,1.100035
0.0,49,1.109138
0.0,26,1.114115
0.0,23,1.118407
0.0,55,1.12863
0.0,33,1.13469
0.0,304,1.188019
0.0,155,1.216576
0.0,44,1.224744
0.0,31,1.230459
0.0,139,1.255932
0.0,45,1.264191
0.0,391,1.334088
0.0,21,1.338038
0.0,315,1.394415
0.0,289,1.447581
0.0,33,1.453719
0.0,51,1.463106
0.0,526,1.558259
0.0,70,1.571201
0.0,24,1.575634
0.0,257,1.623197
0.0,31,1.628981
0.0,529,1.72377
0.0,199,1.760183
0.0,432,1.838334
0.0,407,1.912791
0.0,27,1.917823
0.0,105,1.937037
0.0,223,1.977509
0.0,38,1.984519
0.0,145,2.011139
0.0,87,2.027208
1.0,856,2.181514
0.0,102,2.200114
0.0,155,2.228518
0.0,374,2.298431
0.0,28,2.303725
0.0,200,2.339672
0.0,95,2.357058
0.0,454,2.436362
0.0,343,2.49566
0.0,57,2.505944
0.0,106,2.525018
0.0,22,2.529039
0.0,354,2.592388
0.0,568,2.69337
0.0,73,2.706724
0.0,30,2.712134
0.0,277,2.760434
0.0,29,2.765749
0.0,119,2.7869
0.0,260,2.833224
0.0,71,2.846136
0.0,197,2.881845
0.0,210,2.91906
0.0,179,2.950609
0.0,18,2.953963
0.0,158,2.983102
0.0,12,3.154315
0.0,201,3.198232
0.0,228,3.2386
0.0,264,3.284823
0.0,90,3.300148
0.0,75,3.312919
0.0,118,3.332924
0.0,986,3.501648
0.0,117,3.521987
0.0,51,3.530774
1.0,113,3.550028
0.0,87,3.564927
0.0,139,3.588725
0.0,184,3.620368
0.0,611,3.726979
0.0,42,3.734498
0.0,173,3.765124
0.0,142,3.790844
0.0,397,3.860393
1.0,344,3.920413
1.0,157,3.947507
0.0,72,3.959715
0.0,269,4.006067
1.0,243,4.048531
0.0,100,4.065884
0.0,134,4.088983
1.0,246,4.131712
0.0,188,4.163966
0.0,115,4.183983
0.0,64,4.195141
0.0,116,4.215446
0.0,2,4.215875
0.0,39,4.222486
1.0,133,4.246045
0.0,162,4.274618
0.0,282,4.324407
0.0,7,4.325804
1.0,326,4.382401
0.0,23,4.386441
0.0,97,4.403321
1.0,151,4.430355
1.0,281,4.480597
0.0,264,4.529463
0.0,18,4.532728
0.0,53,4.542427
1.0,132,4.566742
0.0,21,4.570908
0.0,15,4.573737
0.0,142,4.5996
0.0,2,4.600017
1.0,306,4.65589
0.0,73,4.669983
1.0,190,4.70626
1.0,145,4.732776
0.0,153,4.7606
0.0,145,4.786665
0.0,6,4.787875
0.0,6,4.788964
1.0,327,4.846613
0.0,34,4.85246
0.0,18,4.855619
1.0,86,4.870705
0.0,550,4.96765
0.0,8,4.969304
0.0,42,4.977244
1.0,112,4.997163
0.0,213,5.037174
1.0,203,5.074134
0.0,34,5.080229
1.0,147,5.106756
1.0,82,5.121319
0.0,178,5.151787
1.0,141,5.177271
0.0,18,5.180627
1.0,86,5.196205
1.0,81,5.210547
1.0,70,5.223184
1.0,97,5.240547
0.0,34,5.246731
1.0,102,5.264896
0.0,38,5.271845
0.0,5,5.272801
0.0,58,5.283441
0.0,122,5.305282
0.0,2,5.305718
0.0,27,5.310736
0.0,95,5.328455
1.0,127,5.352259
0.0,463,5.439278
0.0,39,5.446653
0.0,19,5.450289
1.0,59,5.461268
1.0,36,5.467851
0.0,9,5.469571
0.0,11,5.471653
0.0,13,5.474063
1.0,97,5.491399
0.0,36,5.498103
1.0,58,5.508869
0.0,4,5.509655
1.0,81,5.524812
1.0,45,5.533152
1.0,112,5.553775
0.0,18,5.557111
1.0,40,5.564475
1.0,73,5.577904
1.0,85,5.593559
1.0,332,5.652323
0.0,11,5.654405
0.0,49,5.663326
1.0,33,5.669428
1.0,44,5.677529
1.0,55,5.68786
1.0,39,5.69516
1.0,32,5.701103
1.0,35,5.707583
1.0,46,5.7159
0.0,16,5.718866
0.0,21,5.722745
0.0,9,5.724366
0.0,16,5.727232
0.0,23,5.731446
1.0,33,5.737205
1.0,67,5.748973
0.0,38,5.755712
0.0,115,5.776346
0.0,4,5.777183
1.0,34,5.783322
1.0,30,5.788763
1.0,32,5.794553
1.0,52,5.803994
1.0,32,5.809801
1.0,35,5.816124
1.0,47,5.824637
0.0,12,5.826738
0.0,8,5.828175
1.0,33,5.834096
1.0,35,5.84029
