# {"t_start": 1614833752.6282578, "env_id": "Office-v0"} 
r,l,t
0.0,64,0.027691
0.0,25,0.03762
0.0,20,0.045561
0.0,12,0.050365
0.0,34,0.064255
0.0,53,0.085572
0.0,27,0.096298
0.0,23,0.105488
0.0,33,0.118953
0.0,37,0.134892
0.0,6,0.137474
0.0,8,0.140907
0.0,63,0.16676
0.0,80,0.199332
0.0,76,0.229726
0.0,33,0.24264
0.0,113,0.287117
0.0,23,0.296075
0.0,150,0.359073
0.0,24,0.368934
0.0,53,0.390185
0.0,75,0.419878
0.0,82,0.453036
0.0,67,0.479741
0.0,96,0.517552
0.0,59,0.540923
0.0,113,0.586151
0.0,100,0.625599
1.0,66,0.652775
1.0,263,0.756995
0.0,7,0.759851
0.0,88,0.795405
0.0,109,0.839554
0.0,52,0.860177
0.0,79,0.891562
0.0,82,0.923748
0.0,43,0.940898
0.0,85,0.974521
0.0,202,1.054165
0.0,13,1.059458
0.0,34,1.072996
0.0,56,1.095059
0.0,533,1.30648
0.0,224,1.394311
0.0,511,1.597028
0.0,77,1.626628
0.0,38,1.641895
0.0,132,1.694618
0.0,240,1.789404
0.0,22,1.798123
0.0,362,1.940583
0.0,951,2.32434
0.0,58,2.348523
0.0,18,2.356
0.0,17,2.363194
0.0,72,2.39303
0.0,212,2.480406
0.0,99,2.521929
0.0,20,2.530202
0.0,32,2.543463
0.0,76,2.575056
0.0,56,2.597794
0.0,93,2.636253
0.0,222,2.727485
0.0,519,2.941222
0.0,2,2.942195
0.0,271,3.054531
0.0,645,3.31638
0.0,34,3.33064
0.0,582,3.569988
0.0,44,3.588376
0.0,76,3.619812
0.0,131,3.673953
1.0,265,3.782308
0.0,19,3.790202
0.0,152,3.852498
0.0,355,3.998407
1.0,461,4.189295
0.0,50,4.210162
0.0,106,4.254147
0.0,222,4.345917
0.0,65,4.372897
0.0,46,4.391903
0.0,13,4.39725
0.0,108,4.441459
0.0,35,4.45451
0.0,243,4.553465
0.0,25,4.563704
0.0,46,4.582433
0.0,267,4.689729
0.0,78,4.722361
0.0,84,4.757454
0.0,59,4.781819
0.0,216,4.870546
0.0,250,4.975972
0.0,91,5.013592
0.0,222,5.103317
0.0,175,5.17514
0.0,105,5.218279
0.0,189,5.295183
0.0,1000,5.690865
0.0,87,5.725829
0.0,63,5.751294
0.0,567,5.974524
0.0,43,5.992541
0.0,126,6.04451
0.0,721,6.329032
0.0,399,6.486483
0.0,105,6.528091
1.0,250,6.626387
0.0,88,6.661272
0.0,22,6.67005
0.0,47,6.688601
0.0,40,6.70445
0.0,24,6.714297
0.0,172,6.782488
0.0,34,6.796364
0.0,387,6.949168
0.0,45,6.967188
0.0,63,6.992192
0.0,2,6.993021
0.0,8,6.996156
0.0,230,7.085779
0.0,60,7.109322
0.0,67,7.135759
1.0,233,7.226932
0.0,103,7.267377
0.0,244,7.362686
0.0,48,7.381852
0.0,188,7.45496
0.0,111,7.498329
0.0,170,7.56449
0.0,52,7.584997
0.0,95,7.621773
1.0,219,7.708786
0.0,59,7.732454
0.0,414,7.899066
0.0,45,7.917739
