episodes,mean 100 episode reward,steps
100,0.0,5737
200,0.0,12166
300,0.0,17931
400,0.0,23523
500,0.0,29764
600,0.0,36121
700,0.0,41859
800,0.0,47629
900,0.0,54552
1000,0.0,60662
1100,0.0,67019
1200,0.0,73866
1300,0.0,80614
1400,0.0,86726
1500,0.1,93896
1600,0.1,101065
1700,0.0,107716
1800,0.1,114592
1900,0.1,121292
2000,0.0,127309
2100,0.1,133352
2200,0.1,139358
2300,0.0,145144
2400,0.1,151269
2500,0.1,157648
2600,0.1,163617
2700,0.1,169432
2800,0.1,176252
2900,0.1,182218
3000,0.1,188481
3100,0.1,194638
3200,0.1,200438
3300,0.0,205706
3400,0.1,212107
3500,0.0,217326
3600,0.1,223550
3700,0.1,229917
3800,0.1,237125
3900,0.1,242255
4000,0.1,248196
4100,0.0,253624
4200,0.1,260827
4300,0.1,266733
4400,0.1,272808
4500,0.0,278619
4600,0.1,283804
4700,0.1,288869
4800,0.0,294360
4900,0.1,299614
5000,0.1,305024
5100,0.1,311454
5200,0.1,317745
5300,0.2,325098
5400,0.1,331330
5500,0.1,337423
5600,0.1,344219
5700,0.1,350865
5800,0.1,355807
5900,0.0,360847
6000,0.0,366264
6100,0.1,371417
6200,0.1,376705
6300,0.2,383523
6400,0.1,389445
6500,0.1,394892
6600,0.1,400696
6700,0.0,406059
6800,0.1,411883
6900,0.2,417808
7000,0.1,424201
7100,0.2,430530
7200,0.1,436489
7300,0.2,442938
7400,0.1,450051
7500,0.1,456427
7600,0.1,462000
7700,0.1,468685
7800,0.1,475354
7900,0.2,482605
8000,0.1,488592
8100,0.1,493989
8200,0.2,499771
8300,0.2,506177
8400,0.3,512780
8500,0.1,517927
8600,0.1,524383
8700,0.2,529799
8800,0.1,536177
8900,0.1,539956
9000,0.2,546072
9100,0.2,551593
9200,0.1,557308
9300,0.1,561777
9400,0.2,567252
9500,0.2,571582
9600,0.2,577476
9700,0.2,582870
9800,0.2,587794
9900,0.2,593216
10000,0.1,597746
10100,0.2,603670
10200,0.2,609884
10300,0.1,614265
10400,0.2,620207
10500,0.2,625099
10600,0.2,630717
10700,0.2,636426
10800,0.2,642505
10900,0.2,648495
11000,0.3,653722
11100,0.2,659388
11200,0.3,665273
11300,0.3,673234
11400,0.3,678758
11500,0.5,684954
11600,0.4,691213
11700,0.3,696561
11800,0.3,703503
11900,0.5,709120
12000,0.5,715184
12100,0.6,720611
12200,0.4,725885
12300,0.4,731094
12400,0.5,736669
12500,0.4,742489
12600,0.5,748078
12700,0.5,753823
12800,0.4,758552
12900,0.5,764296
13000,0.4,769503
13100,0.3,775696
13200,0.4,781075
13300,0.3,786369
13400,0.4,792532
13500,0.4,799204
13600,0.4,805099
13700,0.5,810272
13800,0.6,815097
13900,0.4,821166
14000,0.4,827454
14100,0.4,834011
14200,0.4,840085
14300,0.4,846740
14400,0.5,852853
14500,0.5,858172
14600,0.5,864285
14700,0.5,869758
14800,0.5,875762
14900,0.5,880968
15000,0.4,886351
15100,0.5,891512
15200,0.5,896666
15300,0.3,901514
15400,0.4,907203
15500,0.5,912357
15600,0.5,917574
15700,0.5,923464
15800,0.6,929039
15900,0.7,935159
16000,0.5,941202
16100,0.5,946080
16200,0.5,952185
16300,0.5,956699
16400,0.8,962532
16500,0.6,968101
16600,0.4,972207
16700,0.5,977233
16800,0.8,982967
16900,0.7,988351
17000,0.8,994077
17100,0.7,1000084
17200,0.7,1005700
17300,0.7,1011398
17400,0.7,1016869
17500,0.7,1022607
17600,0.5,1028755
17700,0.5,1034496
17800,0.6,1039501
17900,0.6,1045253
18000,0.7,1051007
18100,0.7,1056517
18200,0.7,1062001
18300,0.6,1067534
18400,0.5,1072955
18500,0.7,1078559
18600,0.7,1084338
18700,0.5,1090277
18800,0.6,1095625
18900,0.4,1100573
19000,0.6,1105907
19100,0.8,1111631
19200,0.7,1117089
19300,0.7,1122639
19400,0.6,1128538
19500,0.8,1134173
19600,0.8,1139591
19700,0.7,1145062
19800,0.6,1150114
19900,0.8,1155617
20000,0.8,1160891
20100,0.6,1166301
20200,0.6,1172838
20300,0.4,1177994
20400,0.5,1182750
20500,0.6,1187658
20600,0.5,1192802
20700,0.6,1198130
20800,0.4,1202787
20900,0.6,1208137
21000,0.7,1214437
21100,0.7,1220231
21200,0.7,1226368
21300,0.6,1231485
21400,0.7,1237010
21500,0.9,1242634
21600,0.8,1248059
21700,0.8,1253371
21800,0.9,1258745
21900,0.8,1264567
22000,0.7,1269959
22100,0.6,1275030
22200,0.4,1279682
22300,0.7,1284892
22400,0.4,1289456
22500,0.6,1294774
22600,0.8,1300527
22700,0.6,1306138
22800,0.7,1311348
22900,0.8,1317374
23000,0.8,1322831
23100,0.8,1328287
23200,0.7,1334068
23300,0.8,1339791
23400,0.9,1345484
23500,0.8,1350967
23600,0.7,1356278
23700,0.6,1360972
23800,0.8,1366205
23900,0.8,1371514
24000,0.8,1376861
24100,0.7,1382142
24200,0.7,1387351
24300,0.6,1392728
24400,0.7,1397998
24500,0.7,1402825
24600,0.8,1408298
24700,0.8,1413576
24800,0.7,1418893
24900,0.7,1424251
25000,0.8,1429789
25100,0.9,1435223
25200,0.8,1440695
25300,0.7,1446122
25400,0.8,1451383
25500,0.8,1457244
25600,0.8,1462686
25700,0.6,1467625
25800,0.6,1472755
25900,0.7,1478379
26000,0.8,1483731
26100,0.8,1489013
26200,0.7,1494059
26300,0.7,1499662
26400,0.8,1504853
26500,0.6,1510106
26600,0.8,1515537
26700,0.8,1520875
26800,0.9,1526311
26900,0.7,1531800
27000,0.8,1537043
27100,0.8,1542420
27200,0.8,1547599
27300,0.8,1553095
27400,0.8,1558709
27500,0.9,1564143
27600,0.7,1569201
27700,0.9,1574702
27800,0.9,1580723
27900,0.9,1586267
28000,0.8,1591667
28100,0.9,1597085
28200,0.8,1602709
28300,0.8,1608048
28400,0.9,1613317
28500,0.9,1618642
28600,0.9,1624256
28700,0.9,1629800
28800,0.9,1635200
28900,0.8,1640454
29000,0.8,1645839
29100,0.8,1651271
29200,0.7,1656281
29300,0.8,1661446
29400,0.8,1666762
29500,0.8,1672136
29600,0.8,1677530
29700,0.7,1682951
29800,0.7,1688336
29900,0.7,1693969
30000,0.7,1699281
30100,0.6,1704324
30200,0.6,1709869
30300,0.7,1715202
30400,0.8,1721048
30500,0.7,1726563
30600,0.8,1731924
30700,0.8,1737241
30800,0.8,1742475
30900,0.8,1747571
31000,0.9,1752989
31100,0.9,1758831
31200,0.7,1763961
31300,0.9,1769770
31400,0.8,1775250
31500,0.7,1780616
31600,0.8,1786046
31700,0.9,1791350
31800,0.8,1796426
31900,0.8,1801544
32000,0.7,1806329
32100,0.7,1811348
32200,0.7,1816460
32300,0.8,1821622
32400,0.8,1826794
32500,0.8,1831926
32600,0.9,1837364
32700,0.9,1842644
32800,0.8,1848028
32900,0.8,1853521
33000,0.8,1859318
33100,0.8,1864891
33200,0.7,1870067
33300,0.8,1875309
33400,0.8,1880528
33500,0.8,1886006
33600,0.8,1891206
33700,0.8,1896501
33800,0.8,1901759
33900,0.7,1907022
34000,0.7,1912662
34100,0.8,1917768
34200,0.7,1922488
34300,0.8,1927594
34400,0.7,1932612
34500,0.7,1937698
34600,0.9,1943457
34700,0.8,1948803
34800,0.8,1954761
34900,0.8,1960061
35000,0.8,1965153
35100,0.8,1970326
35200,0.8,1975461
35300,0.8,1980677
35400,0.8,1985775
35500,0.8,1990852
35600,0.8,1995905
