# {"t_start": 1614331658.6171021, "env_id": "Water-single-M6-v0"} 
r,l,t
0.0,95,9.36815
0.0,43,9.4368
0.0,74,9.553214
0.0,27,9.596696
0.0,65,9.70063
0.0,55,9.785876
0.0,18,9.815899
0.0,136,10.028848
0.0,49,10.104362
0.0,55,10.190964
0.0,66,10.293755
0.0,53,10.378662
0.0,36,10.436145
0.0,30,10.485438
0.0,86,10.620505
0.0,56,10.708379
0.0,94,11.140896
0.0,52,11.471598
0.0,125,12.268344
0.0,34,12.488094
0.0,37,12.725364
0.0,21,12.858814
0.0,170,13.923177
0.0,67,14.356956
0.0,23,14.504731
0.0,54,14.845577
0.0,72,15.300334
0.0,21,15.434243
0.0,69,15.878928
0.0,30,16.065355
0.0,43,16.337396
1.0,99,16.978755
0.0,35,17.204217
0.0,29,17.388368
0.0,60,17.775539
0.0,46,18.068998
0.0,91,18.652035
0.0,30,18.841974
0.0,70,19.273298
0.0,53,19.609574
0.0,21,19.74193
0.0,96,20.36304
0.0,52,20.688341
0.0,28,20.872515
0.0,107,21.554045
0.0,69,21.995825
1.0,110,22.693756
0.0,35,22.922109
0.0,56,23.279081
0.0,28,23.461191
0.0,70,23.908036
0.0,75,24.384189
0.0,74,24.862759
1.0,75,25.335394
0.0,82,25.872214
0.0,56,26.236432
0.0,50,26.550732
0.0,29,26.743615
0.0,69,27.183444
0.0,66,27.604676
0.0,50,27.92377
0.0,66,28.34181
0.0,52,28.666604
0.0,57,29.028062
0.0,50,29.350259
0.0,73,29.81649
0.0,54,30.157972
0.0,25,30.318952
0.0,23,30.466561
0.0,45,30.754936
0.0,42,31.153374
0.0,53,31.502675
0.0,39,31.759892
0.0,48,32.071901
0.0,60,32.468424
0.0,55,32.820825
0.0,48,33.125865
0.0,47,33.428907
0.0,105,34.128372
0.0,45,34.420082
0.0,52,34.755557
0.0,62,35.161844
0.0,38,35.407155
0.0,111,36.140618
0.0,19,36.2651
0.0,53,36.602958
0.0,63,37.01407
0.0,23,37.163701
0.0,46,37.463198
0.0,37,37.701142
0.0,116,38.449848
0.0,19,38.577954
0.0,64,39.004707
