episodes,mean 100 episode reward,steps
100,0.7,29281
200,0.6,58194
300,0.7,85077
400,0.7,110342
500,0.7,134299
600,0.7,158565
700,0.7,180007
800,0.7,202134
900,0.7,223453
1000,0.7,244287
1100,0.7,263063
1200,0.7,285918
1300,0.7,306092
1400,0.7,325103
1500,0.8,344111
1600,0.7,364297
1700,0.8,385741
1800,0.8,402130
1900,0.8,420428
2000,0.8,438410
2100,0.8,458181
2200,0.8,476337
2300,0.8,494960
2400,0.7,513556
2500,0.7,533979
2600,0.7,552446
2700,0.8,570708
2800,0.8,587720
2900,0.8,603834
3000,0.8,619307
3100,0.8,636063
3200,0.8,656228
3300,0.7,674692
3400,0.8,692497
3500,0.8,708946
3600,0.8,725641
3700,0.7,745107
3800,0.8,760030
3900,0.8,775993
4000,0.8,791195
4100,0.8,809226
4200,0.7,827451
4300,0.8,841737
4400,0.8,857336
4500,0.8,872531
4600,0.8,888061
4700,0.8,905382
4800,0.7,922744
4900,0.7,940259
5000,0.8,955528
5100,0.8,973734
5200,0.8,988383
5300,0.8,1004412
5400,0.8,1024341
5500,0.7,1040707
5600,0.8,1056581
5700,0.8,1071658
5800,0.8,1087551
5900,0.7,1106547
6000,0.7,1123865
6100,0.8,1139653
6200,0.7,1156452
6300,0.7,1173995
6400,0.8,1187597
6500,0.8,1201876
6600,0.8,1215492
6700,0.8,1232692
6800,0.8,1246847
6900,0.8,1260085
7000,0.8,1275329
7100,0.8,1287620
7200,0.8,1298491
7300,0.7,1313413
7400,0.8,1329062
7500,0.8,1345096
7600,0.8,1360257
7700,0.8,1373350
7800,0.7,1389069
7900,0.8,1404105
8000,0.8,1418558
8100,0.8,1431248
8200,0.8,1445329
8300,0.8,1460801
8400,0.8,1476127
8500,0.8,1490506
8600,0.8,1507518
8700,0.7,1523242
8800,0.8,1538543
8900,0.8,1553794
9000,0.8,1568400
9100,0.8,1583688
9200,0.8,1597720
9300,0.8,1612622
9400,0.8,1628600
9500,0.8,1644294
9600,0.8,1659282
9700,0.8,1673860
9800,0.8,1688399
9900,0.8,1703480
10000,0.7,1720120
10100,0.8,1734004
10200,0.8,1749516
10300,0.7,1765557
10400,0.7,1780420
10500,0.8,1795351
10600,0.7,1809895
10700,0.7,1826323
10800,0.8,1840483
10900,0.8,1855458
11000,0.7,1870585
11100,0.8,1884880
11200,0.8,1900805
11300,0.8,1916625
11400,0.8,1931717
11500,0.8,1946944
11600,0.8,1960508
11700,0.8,1974844
11800,0.7,1989676
