# {"t_start": 1614331534.4197116, "env_id": "Water-M9-v0"} 
r,l,t
1.0,58,9.900848
1.0,101,10.456274
1.0,209,11.598398
1.0,130,12.308626
1.0,373,14.338389
1.0,488,35.368795
1.0,292,51.916463
1.0,554,83.428237
0.0,21,84.627445
0.0,35,86.61644
1.0,117,93.313753
1.0,234,106.902241
1.0,68,110.828887
1.0,398,133.68857
1.0,557,165.54796
0.0,600,200.168467
1.0,389,222.656885
1.0,440,248.202536
0.0,30,249.953127
1.0,132,257.638787
1.0,24,259.045848
1.0,487,287.837445
1.0,299,305.153062
1.0,475,333.150558
0.0,600,368.24967
1.0,359,389.184767
0.0,600,424.302397
1.0,564,457.363134
0.0,51,460.382598
0.0,64,464.258641
1.0,290,481.326756
0.0,600,516.824151
1.0,253,531.671479
1.0,154,540.928502
1.0,264,556.59816
1.0,350,577.093727
1.0,260,592.475994
1.0,569,626.09676
1.0,74,630.514108
0.0,62,634.117089
1.0,250,648.750744
1.0,462,675.947807
1.0,136,684.053641
1.0,112,690.766614
0.0,600,726.411429
1.0,307,744.637543
1.0,315,763.520717
0.0,600,799.377704
0.0,16,800.332472
0.0,9,800.874489
1.0,280,817.871483
1.0,55,821.362119
1.0,167,831.237422
1.0,541,863.811191
1.0,224,876.992035
1.0,540,909.107668
1.0,490,938.444497
1.0,468,966.309496
0.0,171,976.642523
0.0,18,977.723754
1.0,268,993.871475
1.0,416,1018.831001
1.0,98,1024.66918
1.0,577,1059.231741
1.0,581,1094.436286
1.0,189,1105.830048
1.0,568,1140.529482
1.0,491,1170.075431
0.0,28,1171.782819
0.0,165,1181.788353
1.0,126,1189.532931
1.0,342,1210.274413
1.0,281,1227.320091
1.0,501,1257.237935
0.0,600,1293.690153
0.0,600,1329.398099
1.0,395,1353.413871
1.0,571,1388.506782
0.0,64,1392.336434
0.0,11,1392.987621
1.0,281,1409.719481
1.0,149,1418.653084
1.0,50,1421.671796
1.0,417,1446.900757
1.0,406,1471.537735
1.0,359,1493.100285
1.0,581,1527.984326
1.0,467,1556.253013
0.0,82,1561.206034
0.0,12,1561.951497
1.0,239,1576.467708
1.0,531,1608.056106
1.0,399,1632.054238
1.0,318,1651.228854
1.0,484,1680.575078
1.0,450,1707.686369
0.0,600,1744.006967
1.0,463,1772.220925
0.0,35,1774.316767
0.0,10,1774.910779
1.0,74,1779.291787
1.0,223,1792.733109
1.0,252,1807.930325
1.0,293,1825.559541
1.0,465,1853.852172
1.0,330,1873.717165
1.0,542,1906.502479
0.0,600,1943.229282
0.0,59,1946.858708
0.0,14,1947.718786
1.0,113,1954.525898
1.0,168,1964.678591
1.0,50,1967.723507
0.0,600,2004.078712
1.0,461,2032.311847
0.0,600,2069.081286
1.0,246,2084.126115
0.0,600,2120.519937
0.0,14,2121.359773
0.0,75,2125.891165
1.0,37,2128.135677
1.0,227,2142.058817
1.0,59,2145.637928
1.0,262,2161.872705
1.0,401,2186.207961
1.0,253,2201.718482
0.0,600,2238.374488
0.0,600,2275.058193
1.0,71,2279.384449
0.0,25,2280.890244
1.0,77,2285.577658
1.0,354,2307.182835
1.0,154,2316.642482
0.0,600,2353.753305
1.0,187,2364.876997
1.0,314,2383.755574
0.0,600,2421.550969
1.0,552,2456.794438
0.0,89,2462.236583
0.0,26,2463.832783
1.0,239,2478.599151
1.0,84,2483.847388
1.0,542,2517.730951
1.0,558,2552.014331
1.0,404,2577.336954
1.0,357,2599.413706
1.0,318,2618.961759
1.0,592,2655.906216
0.0,40,2658.442368
0.0,82,2663.489829
1.0,127,2671.173093
1.0,574,2706.460876
1.0,55,2709.852024
1.0,323,2729.857099
1.0,480,2759.560513
1.0,114,2766.54153
1.0,338,2787.390789
1.0,415,2813.086919
0.0,11,2813.806042
0.0,11,2814.506751
1.0,39,2816.992732
1.0,173,2827.767499
1.0,180,2838.680474
1.0,386,2862.383017
1.0,165,2872.570325
1.0,449,2900.150026
0.0,600,2937.161586
0.0,600,2973.872032
0.0,18,2974.995597
0.0,91,2980.630244
1.0,194,2992.820092
1.0,205,3005.802274
1.0,240,3020.563844
1.0,221,3033.981723
1.0,236,3048.37861
1.0,224,3062.171416
1.0,566,3097.105086
1.0,549,3130.505525
0.0,69,3134.725213
0.0,19,3135.876493
1.0,119,3143.123755
1.0,91,3148.751763
1.0,257,3164.653867
1.0,446,3192.507838
1.0,351,3214.170944
1.0,104,3220.577301
1.0,498,3251.328959
1.0,538,3285.279892
0.0,36,3287.590205
0.0,10,3288.228226
0.0,600,3325.509009
1.0,216,3339.059294
1.0,536,3372.997106
1.0,323,3393.100795
1.0,539,3426.265374
1.0,197,3438.47545
0.0,600,3475.980775
1.0,527,3508.284837
0.0,38,3510.62423
0.0,16,3511.632696
1.0,323,3531.726182
1.0,267,3548.543518
1.0,310,3568.08591
1.0,470,3596.916101
1.0,467,3626.075069
1.0,200,3638.68664
1.0,175,3649.913649
0.0,600,3687.535082
0.0,20,3688.791299
0.0,29,3690.611209
1.0,64,3694.611415
0.0,600,3732.31862
1.0,166,3742.988864
1.0,471,3772.410558
1.0,133,3780.604243
1.0,375,3803.811181
1.0,292,3821.920157
0.0,600,3859.21452
0.0,13,3860.014901
0.0,11,3860.686059
1.0,83,3865.780144
1.0,108,3872.443305
1.0,173,3883.11618
1.0,349,3904.685665
1.0,510,3936.667025
1.0,506,3967.671027
1.0,506,3998.97261
1.0,579,4035.088538
0.0,69,4039.298291
0.0,20,4040.534987
1.0,188,4052.064476
1.0,90,4057.595829
1.0,247,4072.974284
0.0,600,4111.020969
1.0,211,4124.42626
1.0,370,4147.287802
0.0,600,4184.691309
1.0,463,4213.968143
0.0,16,4214.9532
0.0,94,4220.731792
1.0,114,4227.750794
0.0,600,4265.29076
1.0,175,4276.311279
0.0,600,4314.270187
1.0,208,4327.211958
1.0,410,4352.934365
1.0,553,4387.978956
1.0,469,4417.032623
0.0,33,4419.056777
0.0,9,4419.626647
1.0,50,4422.71458
1.0,409,4447.991571
1.0,225,4461.924677
1.0,340,4483.302763
1.0,365,4505.788002
1.0,151,4515.112442
0.0,600,4552.290473
1.0,524,4585.088769
0.0,19,4586.25344
0.0,18,4587.357913
1.0,93,4593.067017
1.0,73,4597.568434
1.0,59,4601.193434
1.0,357,4623.727762
1.0,457,4652.416745
1.0,477,4682.222946
1.0,319,4701.881679
1.0,493,4732.745392
0.0,38,4735.138231
0.0,11,4735.839976
1.0,92,4741.62687
1.0,182,4753.232148
1.0,81,4758.474489
1.0,208,4771.482354
1.0,276,4788.666779
0.0,600,4826.2458
1.0,248,4841.855561
0.0,600,4879.166144
0.0,26,4880.774125
0.0,28,4882.506809
1.0,172,4893.111439
1.0,391,4917.332983
1.0,208,4930.249682
1.0,352,4952.371373
1.0,539,4985.474663
1.0,498,5016.371772
0.0,600,5054.342483
1.0,235,5069.051292
1.0,67,5073.285213
0.0,17,5074.355458
1.0,173,5085.25536
1.0,129,5093.376346
1.0,57,5096.992134
1.0,224,5111.130371
1.0,170,5121.994446
0.0,600,5159.778447
1.0,401,5185.29654
1.0,277,5202.75951
0.0,52,5206.047073
0.0,9,5206.618483
1.0,102,5213.170293
1.0,74,5217.953377
1.0,151,5227.535178
1.0,168,5237.959093
1.0,440,5265.433115
1.0,348,5287.299216
1.0,504,5319.45446
1.0,599,5356.95309
0.0,14,5357.844145
0.0,17,5358.920291
1.0,119,5366.42082
1.0,133,5374.834213
1.0,79,5379.833195
1.0,360,5402.934391
0.0,600,5440.457878
1.0,133,5448.847574
1.0,343,5470.513717
1.0,237,5485.672718
0.0,28,5487.490315
0.0,22,5488.931581
1.0,98,5495.139659
1.0,195,5507.069505
1.0,139,5515.644698
1.0,214,5528.885412
1.0,444,5556.464161
1.0,355,5578.820031
1.0,394,5603.206565
1.0,572,5638.694626
0.0,22,5640.067843
0.0,106,5646.676212
1.0,24,5648.189567
1.0,101,5654.494303
1.0,236,5669.478331
0.0,600,5707.176932
1.0,191,5719.251642
1.0,204,5732.279507
1.0,421,5759.44661
1.0,229,5773.936148
0.0,43,5776.633863
0.0,46,5779.5073
1.0,20,5780.764472
1.0,115,5787.971177
1.0,167,5798.492433
1.0,420,5825.443672
