episodes,mean 100 episode reward,steps
100,-573.4,98999
200,-506.2,198999
300,42.1,298999
400,1164.2,398999
500,1781.2,498999
600,3017.8,598999
700,3419.1,698999
800,1827.7,798999
900,2627.2,898999
1000,2620.6,998999
1100,2898.1,1098999
1200,3900.8,1198999
1300,4199.2,1298999
1400,3986.7,1398999
1500,4350.5,1498999
1600,4918.7,1598999
1700,5220.8,1698999
1800,5450.4,1798999
1900,5483.7,1898999
2000,5714.0,1998999
2100,5816.6,2098999
2200,5919.1,2198999
2300,5907.3,2298999
2400,5766.4,2398999
2500,5473.7,2498999
2600,5867.3,2598999
2700,5912.5,2698999
2800,5931.3,2798999
2900,5983.9,2898999
3000,5922.7,2998999
