# {"t_start": 1614237684.4024122, "env_id": "Half-Cheetah-RM2-v0"} 
r,l,t
-557.297911,1000,11.181393
-583.881636,1000,16.175024
-579.452772,1000,21.312697
-579.278952,1000,26.592897
-559.452235,1000,31.904378
-511.023591,1000,37.229897
-487.825506,1000,42.608782
-587.923715,1000,48.033514
-599.252967,1000,53.424132
-558.069407,1000,58.828192
-542.276803,1000,64.259012
-566.83778,1000,69.699308
-587.879756,1000,75.109724
-596.478166,1000,80.544319
-597.560363,1000,85.993317
-559.7965,1000,91.49854
-555.221714,1000,97.013484
-589.217487,1000,102.535428
-580.1666,1000,108.043055
829.481171,309,110.113166
-560.381844,1000,115.611081
761.025417,409,117.830848
-583.399885,1000,123.384362
-580.513411,1000,128.844942
-574.84398,1000,134.325034
-582.048498,1000,139.83519
854.301983,254,141.028113
848.547068,264,142.639013
-590.806117,1000,148.137295
846.668755,263,149.333983
-596.18696,1000,154.834662
870.52631,223,156.362755
815.423255,314,158.045542
795.117046,355,159.76698
881.527382,199,160.862745
668.798254,577,164.113522
559.414411,760,168.426984
900.433672,167,169.078806
814.307875,315,171.156173
768.935454,391,172.938842
-597.604863,1000,178.48202
888.447652,193,179.57373
859.320905,238,181.130924
866.272474,227,182.284287
882.056953,198,183.375233
857.637677,249,184.952287
865.431799,229,186.106668
879.636418,202,187.206977
882.355542,202,188.315534
849.791078,259,189.509612
886.028869,193,190.607684
883.9841,198,191.861317
681.960857,540,195.074906
777.196649,385,197.282903
849.887394,256,198.507666
877.852752,209,199.641359
812.092045,325,201.758322
890.397162,185,202.464716
-598.541716,1000,207.954663
889.348153,191,209.058303
866.277974,227,210.622123
883.008494,196,211.746275
884.417958,194,212.464414
858.865282,241,214.043642
885.431987,192,215.13173
856.352629,244,216.314483
847.601636,260,217.952517
866.666235,227,219.123701
879.356422,204,220.258447
882.562717,197,221.362525
855.662903,245,222.950038
886.865685,191,223.664487
884.300168,194,224.77249
811.902725,320,226.87833
881.918586,198,227.992437
883.712076,195,229.110186
883.1404,196,229.828274
886.5683,192,230.944329
885.930084,192,232.063829
888.243758,188,233.16894
886.789848,191,234.303644
646.640398,604,237.631071
879.055876,203,238.764953
874.467693,212,239.907281
883.580332,197,241.044603
636.719471,625,244.815846
881.315189,199,245.94793
878.800922,203,247.072382
881.293474,199,248.176518
877.753971,205,249.301264
879.382227,205,250.448251
881.083608,201,251.586128
880.482031,201,252.705438
882.403686,197,253.828296
883.436536,196,254.948642
880.601881,200,256.071024
880.95482,200,257.207669
881.694589,199,258.335376
889.565765,186,259.045695
884.26209,194,260.175799
875.683669,209,261.33056
887.998274,188,262.445447
883.432928,196,263.570323
886.460734,191,264.686482
871.389141,217,265.836797
887.382047,189,267.002107
883.649512,195,268.144384
878.819784,203,269.297156
876.403522,208,270.460572
899.785403,169,271.543879
876.997808,207,272.689687
879.332482,203,273.827122
882.176109,198,274.963196
879.65392,202,276.10311
876.686635,207,277.269306
859.254893,238,278.874359
882.250415,198,280.016789
878.55361,204,281.249172
879.709659,202,282.380436
880.29966,201,283.50559
875.542597,211,284.678115
867.497641,223,285.848228
881.340184,199,286.992949
-587.852481,1000,292.560551
880.710676,200,293.67659
880.933614,200,294.813852
881.838122,199,295.950351
861.032751,234,297.13742
879.417245,204,298.281368
880.01301,202,299.440032
870.503391,218,301.020687
876.146231,209,302.170139
820.983337,303,303.864174
878.830648,203,305.003159
871.586814,216,306.17103
-599.021133,1000,311.790262
-598.037837,1000,317.435421
844.683893,265,318.667131
-598.00782,1000,324.308243
-596.249708,1000,329.959662
879.676806,202,331.524399
886.102023,191,332.238905
-591.619643,1000,337.889515
882.696703,197,339.031914
878.232939,204,340.19206
873.480207,213,341.779278
887.633253,189,342.505256
881.95243,199,343.657387
881.95088,199,344.816698
866.672141,224,346.416318
879.082622,206,347.586563
880.110478,201,348.752652
881.362915,199,349.910671
843.629036,264,351.198374
878.032835,207,352.361976
881.630245,199,353.519078
895.57767,177,354.6488
879.051166,203,355.840021
880.093485,202,357.010634
889.022348,189,358.147726
801.150571,337,360.31689
886.870986,190,361.041089
879.604936,202,362.185252
881.821327,198,363.339445
876.089851,208,364.506439
883.932605,196,365.661725
865.471776,227,367.289482
883.626692,196,368.439502
866.49088,225,369.639779
871.6426,218,370.844029
884.381092,194,371.996858
881.878807,198,373.156526
885.248211,193,374.312114
878.299618,204,375.484234
868.919894,221,376.688473
885.980238,192,377.841018
884.843136,195,378.986059
882.098736,198,380.143276
871.383702,216,381.34098
872.70206,215,382.512457
882.565551,197,383.676948
883.423115,197,384.838428
876.146989,208,386.013029
876.256077,208,387.19201
889.245711,187,388.340144
873.993815,213,389.529162
876.710685,208,391.108546
883.881255,196,392.271968
881.454702,199,393.020748
890.98238,185,394.166555
881.499725,199,395.331777
881.879153,198,396.510702
866.283486,225,398.129603
889.701049,186,398.856588
881.500147,201,400.029759
888.71772,187,401.173274
878.252265,206,402.333904
891.898944,182,403.472755
879.248452,204,404.632405
887.357721,190,405.781529
868.093994,222,406.987135
886.609628,190,408.128241
860.910109,234,409.771012
886.390994,191,410.519375
898.158372,173,411.651322
884.509851,195,412.814987
885.837882,192,413.96547
883.665208,195,415.120954
896.368095,175,416.250128
891.757355,182,417.393434
914.919608,143,418.045787
887.963884,189,419.192293
879.701212,203,420.357692
893.169091,180,421.49212
866.969018,224,422.690527
881.516499,199,423.883272
887.766645,189,425.035607
883.278315,196,426.188691
895.982525,176,427.302943
890.788798,184,428.026282
853.906181,247,429.703377
891.175092,185,430.851281
893.5461,179,431.992944
890.405588,185,432.717007
842.341541,265,434.400735
883.777227,196,435.567862
866.42731,225,436.773673
900.723791,167,437.885398
858.17384,240,439.119128
821.580762,299,440.840995
881.584463,200,442.009959
846.558026,259,443.685951
871.344865,218,444.874625
891.1288,183,446.003941
889.864565,185,447.153371
895.304753,176,448.292852
892.597411,181,449.009887
890.026115,185,450.150721
881.684806,199,451.299735
889.872231,185,452.449908
896.966583,173,453.58446
867.996873,223,454.815355
889.357667,186,455.956412
893.524136,179,457.096959
885.766125,193,458.248274
906.082407,159,458.930437
902.603971,165,460.071536
891.634858,182,461.261553
887.195767,190,462.46478
894.549078,177,463.206593
897.441199,173,464.371822
897.573255,173,465.504057
867.158135,224,466.70733
897.012811,174,467.826935
899.144754,170,468.529546
892.605988,180,469.66261
869.21751,220,470.871287
883.923516,195,472.030996
867.688863,222,473.670844
897.063262,174,474.376002
906.766113,157,475.487112
905.573506,160,476.597345
898.736195,171,477.297256
895.865567,175,478.421384
886.996977,190,479.580821
887.990241,188,480.726907
891.020391,184,481.878323
891.782239,182,482.590963
892.164858,181,483.727382
861.070749,233,485.361284
877.399558,206,486.533883
903.12344,163,487.230489
865.872848,226,488.864252
882.699167,197,489.622125
892.357909,181,490.775237
888.005058,188,491.935492
901.006828,167,493.063506
886.712098,191,494.211407
906.777776,157,494.89257
893.359968,179,496.033282
898.709597,171,497.160167
896.865934,173,498.343546
897.094508,173,499.065337
901.113624,167,500.179822
897.551798,172,501.307233
897.591876,172,502.017637
901.018276,166,503.137742
891.422271,183,504.290757
897.069191,173,505.406271
906.521607,158,506.112778
893.497626,179,507.262117
900.393951,168,508.390786
886.349621,191,509.550763
892.785792,180,510.269579
893.563166,179,511.409648
898.319215,171,512.534844
899.806119,169,513.674456
903.3618,163,514.374784
896.519593,174,515.504743
907.412738,156,516.191178
891.145633,183,517.344099
896.835436,174,518.494611
895.657511,175,519.641191
904.981058,160,520.331379
893.789644,179,521.478236
894.999727,177,522.622604
896.239124,174,523.762359
895.078421,176,524.474873
909.966763,152,525.585942
903.838848,162,526.709808
898.881098,170,527.399832
898.959689,170,528.534234
891.510374,183,529.690145
910.508,151,530.365469
911.878511,148,531.466994
901.65055,165,532.165465
892.336245,181,533.311009
844.633437,262,535.00217
899.608492,169,536.155048
901.906082,165,536.863228
884.580301,195,538.038408
893.49324,179,539.165367
894.583193,177,540.309427
887.69077,189,541.473241
901.408174,166,542.16698
896.307491,174,543.316804
871.114291,217,544.516204
901.604792,165,545.623296
897.573364,173,546.772324
894.681998,177,547.498643
906.035859,158,548.620409
894.087601,178,549.768908
894.166405,178,550.92802
894.169247,178,551.656474
904.184843,161,552.774988
888.250183,189,553.939743
896.480783,174,555.092316
848.014391,255,556.361077
894.391941,178,557.515105
898.90266,170,558.655966
907.508128,156,559.331112
885.810845,192,560.500799
907.712878,155,561.611152
898.472076,171,562.323088
898.689371,171,563.459736
906.465933,157,564.577743
896.327011,174,565.293582
910.096515,151,566.398483
902.459318,164,567.093577
900.722936,167,568.231752
894.578175,177,569.372849
894.539869,177,570.519558
909.998346,152,571.202722
894.889103,177,572.429753
887.411923,189,573.599982
910.368582,151,574.273086
895.671323,175,575.405778
909.938654,152,576.523451
896.229024,174,577.252676
896.902492,173,578.394324
894.744547,177,579.558254
885.72364,192,580.707011
899.132418,170,581.829684
901.871336,165,582.53572
895.820185,175,583.695177
906.341966,158,584.402558
891.647572,184,585.566401
895.84777,175,586.708668
896.357769,174,587.857587
893.524049,179,589.008877
897.521043,172,589.715464
895.36345,176,590.848053
895.096725,176,591.998065
901.211255,166,593.129825
885.403401,192,593.884621
902.054235,165,595.000395
891.466721,183,596.157499
896.911175,173,597.313525
898.144293,171,598.032828
894.520465,177,599.179653
899.289018,169,600.325927
907.580496,156,601.029937
883.253078,197,602.208093
897.011329,173,603.360714
886.063974,192,604.528563
896.880065,173,605.676903
897.072225,173,606.400679
903.76078,162,607.521249
900.463764,167,608.653089
890.494393,184,609.807959
896.745028,174,610.526928
897.469515,173,611.663831
897.113622,173,612.800656
898.81887,170,613.508529
894.205641,179,614.664136
893.891453,178,615.819954
891.084079,183,616.981989
894.514776,177,618.143589
900.887756,167,618.85202
893.511198,179,620.00904
898.151433,171,621.162541
896.296437,174,622.305831
903.436781,163,623.022748
907.305547,156,624.137123
908.990678,153,624.826997
893.295002,179,625.984626
898.095093,171,627.124268
894.039205,178,628.251921
896.46159,174,628.968503
870.372331,218,630.169338
908.259857,154,631.270892
906.179073,158,632.409989
899.256055,169,633.112309
906.435088,157,634.228017
897.406964,172,635.379007
889.891226,185,636.104862
894.907641,177,637.251643
898.259434,172,638.38247
909.557696,152,639.06559
900.765457,167,640.189329
891.69402,182,641.341693
899.343127,169,642.48225
899.439504,169,643.19048
889.800925,185,644.348108
896.210129,174,645.500674
899.207496,169,646.632353
894.420899,177,647.354831
906.665946,157,648.497173
908.327615,154,649.18842
