episodes,steps,total reward
9,10000,0.0
19,20000,0.0
29,30000,0.0
40,40000,1.0
50,50000,3.0
61,60000,1.0
72,70000,2.0
83,80000,3.0
96,90000,8.0
108,100000,4.0
122,110000,10.0
136,120000,9.0
166,130000,28.0
192,140000,21.0
240,150000,47.0
288,160000,47.0
351,170000,62.0
416,180000,65.0
494,190000,78.0
583,200000,89.0
707,210000,124.0
812,220000,105.0
912,230000,100.0
1040,240000,128.0
1154,250000,114.0
1276,260000,122.0
1405,270000,129.0
1542,280000,137.0
1672,290000,130.0
1816,300000,144.0
1959,310000,143.0
2105,320000,146.0
2235,330000,130.0
2383,340000,148.0
2531,350000,148.0
2665,360000,134.0
2805,370000,140.0
2947,380000,142.0
3089,390000,142.0
3235,400000,146.0
3382,410000,147.0
3516,420000,134.0
3656,430000,140.0
3799,440000,143.0
3946,450000,147.0
4086,460000,140.0
4232,470000,146.0
4380,480000,148.0
4520,490000,140.0
4663,500000,143.0
4801,510000,138.0
4947,520000,146.0
5090,530000,143.0
5237,540000,147.0
5380,550000,143.0
5522,560000,142.0
5664,570000,142.0
5803,580000,139.0
5948,590000,145.0
6094,600000,146.0
6240,610000,146.0
6386,620000,146.0
6533,630000,147.0
6681,640000,148.0
6822,650000,141.0
6967,660000,145.0
7115,670000,148.0
7261,680000,146.0
7404,690000,143.0
7537,700000,133.0
7679,710000,142.0
7819,720000,140.0
7947,730000,128.0
8093,740000,146.0
8238,750000,145.0
8385,760000,147.0
8528,770000,143.0
8674,780000,146.0
8808,790000,134.0
8955,800000,147.0
9101,810000,146.0
9247,820000,146.0
9393,830000,146.0
9534,840000,141.0
9677,850000,143.0
9823,860000,146.0
9968,870000,145.0
10113,880000,145.0
10259,890000,146.0
10403,900000,144.0
10548,910000,145.0
10693,920000,145.0
10837,930000,144.0
10974,940000,137.0
11120,950000,146.0
11268,960000,148.0
11409,970000,141.0
11552,980000,143.0
11698,990000,146.0
11838,1000000,140.0
11984,1010000,146.0
12127,1020000,143.0
12270,1030000,143.0
12416,1040000,146.0
12562,1050000,146.0
12705,1060000,144.0
12853,1070000,147.0
12997,1080000,144.0
13143,1090000,146.0
13288,1100000,145.0
13436,1110000,148.0
13583,1120000,147.0
13728,1130000,145.0
13875,1140000,147.0
14021,1150000,146.0
14169,1160000,148.0
14309,1170000,140.0
14454,1180000,145.0
14600,1190000,146.0
14745,1200000,145.0
14891,1210000,146.0
15035,1220000,144.0
15181,1230000,146.0
15327,1240000,146.0
15475,1250000,148.0
15622,1260000,147.0
15766,1270000,144.0
15904,1280000,138.0
16049,1290000,145.0
16195,1300000,146.0
16340,1310000,145.0
16484,1320000,144.0
16631,1330000,147.0
16776,1340000,145.0
16921,1350000,145.0
17066,1360000,145.0
17213,1370000,147.0
17356,1380000,143.0
17500,1390000,144.0
17648,1400000,148.0
17791,1410000,143.0
17940,1420000,149.0
18087,1430000,147.0
18231,1440000,145.0
18377,1450000,145.0
18521,1460000,144.0
18666,1470000,145.0
18814,1480000,148.0
18961,1490000,147.0
19107,1500000,146.0
19253,1510000,146.0
19398,1520000,145.0
19543,1530000,145.0
19688,1540000,145.0
19835,1550000,147.0
19981,1560000,146.0
20121,1570000,140.0
20267,1580000,146.0
20413,1590000,146.0
20557,1600000,144.0
20703,1610000,146.0
20848,1620000,146.0
20994,1630000,146.0
21140,1640000,145.0
21285,1650000,145.0
21432,1660000,147.0
21580,1670000,148.0
21726,1680000,147.0
21873,1690000,146.0
22018,1700000,145.0
22164,1710000,146.0
22308,1720000,144.0
22456,1730000,148.0
22601,1740000,145.0
22746,1750000,145.0
22888,1760000,142.0
23028,1770000,140.0
23174,1780000,146.0
23321,1790000,147.0
23466,1800000,145.0
23614,1810000,148.0
23760,1820000,146.0
23901,1830000,141.0
24046,1840000,145.0
24192,1850000,146.0
24339,1860000,147.0
24484,1870000,145.0
24630,1880000,146.0
24776,1890000,146.0
24922,1900000,146.0
25070,1910000,148.0
25211,1920000,141.0
25358,1930000,147.0
25506,1940000,148.0
25654,1950000,148.0
25799,1960000,145.0
25947,1970000,148.0
26092,1980000,145.0
26238,1990000,146.0
26384,2000000,146.0
