# {"t_start": 1614914261.493176, "env_id": "Craft-single-M8-v0"} 
r,l,t
0.0,1000,0.268995
0.0,1000,0.530268
0.0,1000,0.791628
0.0,1000,1.048411
0.0,1000,1.302977
0.0,1000,1.558271
0.0,1000,1.816975
0.0,1000,2.075966
0.0,1000,2.337842
0.0,1000,2.598899
0.0,1000,2.857703
0.0,1000,3.115991
0.0,1000,3.373424
0.0,1000,3.631634
0.0,1000,3.88818
0.0,1000,4.145129
0.0,1000,4.403195
0.0,1000,4.661103
0.0,1000,4.921379
0.0,1000,5.179213
0.0,1000,5.435346
0.0,1000,5.688958
0.0,1000,5.943098
0.0,1000,6.199862
0.0,1000,6.460684
0.0,1000,6.719262
0.0,1000,6.977793
0.0,1000,7.236306
0.0,1000,7.494303
0.0,1000,7.753625
0.0,1000,8.012566
0.0,1000,8.273259
0.0,1000,8.52842
0.0,1000,8.781356
0.0,1000,9.037028
0.0,1000,9.295638
0.0,1000,9.55493
0.0,1000,9.813269
0.0,1000,10.072813
0.0,1000,10.332002
0.0,1000,10.591524
0.0,1000,10.849964
0.0,1000,11.109439
0.0,1000,11.368579
0.0,1000,11.628839
0.0,1000,11.887773
0.0,1000,12.146406
0.0,1000,12.407505
0.0,1000,12.666307
0.0,1000,12.923434
0.0,1000,13.184806
0.0,1000,13.444388
0.0,1000,13.704814
0.0,1000,13.965613
0.0,1000,14.226057
0.0,1000,14.485718
0.0,1000,14.745309
0.0,1000,15.005007
0.0,1000,15.265208
0.0,1000,15.524714
0.0,1000,15.783822
0.0,1000,16.043331
0.0,1000,16.302052
0.0,1000,16.563257
0.0,1000,16.823645
0.0,1000,17.084064
0.0,1000,17.34371
0.0,1000,17.60366
0.0,1000,17.864686
0.0,1000,18.125429
0.0,1000,18.387515
0.0,1000,18.648366
0.0,1000,18.909416
0.0,1000,19.170073
0.0,1000,19.430263
0.0,1000,19.691513
0.0,1000,19.951245
0.0,1000,20.209768
0.0,1000,20.468295
0.0,1000,20.72925
0.0,1000,20.988399
0.0,1000,21.248592
0.0,1000,21.509092
0.0,1000,21.769032
0.0,1000,22.030293
0.0,1000,22.291199
0.0,1000,22.550967
0.0,1000,22.810254
0.0,1000,23.069373
0.0,1000,23.328911
0.0,1000,23.589088
0.0,1000,23.848943
0.0,1000,24.108903
0.0,1000,24.369693
0.0,1000,24.630092
0.0,1000,24.890566
0.0,1000,25.150564
0.0,1000,25.410092
0.0,1000,25.669576
0.0,1000,25.93273
