# {"t_start": 1614895801.3962345, "env_id": "Craft-M6-v0"} 
r,l,t
0.0,1000,1.834134
0.0,1000,3.668211
0.0,1000,5.522087
0.0,1000,7.381116
0.0,1000,9.253661
0.0,1000,11.101039
0.0,1000,13.043508
0.0,1000,14.91505
0.0,1000,16.775286
0.0,1000,18.653217
0.0,1000,20.505352
0.0,1000,22.345086
0.0,1000,24.203936
0.0,1000,26.073233
0.0,1000,27.927365
0.0,1000,29.77226
0.0,1000,31.620502
0.0,1000,33.475941
0.0,1000,35.335078
0.0,1000,37.202921
0.0,1000,39.065463
0.0,1000,40.923295
0.0,1000,42.784039
0.0,1000,44.696028
0.0,1000,46.606938
0.0,1000,48.567853
0.0,1000,50.417615
0.0,1000,52.258363
0.0,1000,54.117494
0.0,1000,55.972246
0.0,1000,57.832092
0.0,1000,59.708638
0.0,1000,61.642334
0.0,1000,63.497233
0.0,1000,65.372376
0.0,1000,67.243422
0.0,1000,69.108694
0.0,1000,70.986037
0.0,1000,72.852024
0.0,1000,74.715202
0.0,1000,76.585574
0.0,1000,78.445288
0.0,1000,80.304565
0.0,1000,82.152312
0.0,1000,83.99395
0.0,1000,85.850906
0.0,1000,87.720739
0.0,1000,89.577079
0.0,1000,91.427079
0.0,1000,93.281687
0.0,1000,95.13693
0.0,1000,96.983455
0.0,1000,98.829667
1.0,771,100.256485
0.0,1000,102.112609
0.0,1000,103.964816
0.0,1000,105.822401
1.0,969,107.618521
0.0,1000,109.482769
0.0,1000,111.342177
1.0,965,113.124948
0.0,1000,115.039983
0.0,1000,116.945648
0.0,1000,118.844838
0.0,1000,120.769008
0.0,1000,122.810317
0.0,1000,124.691218
0.0,1000,126.560703
0.0,1000,128.506196
0.0,1000,130.386254
0.0,1000,132.302707
1.0,886,133.966843
0.0,1000,135.838837
0.0,1000,137.714787
0.0,1000,139.587892
0.0,1000,141.55436
0.0,1000,143.435873
1.0,428,144.256523
0.0,1000,146.177332
0.0,1000,148.07021
0.0,1000,149.959605
0.0,1000,151.844104
0.0,1000,153.727885
0.0,1000,155.617307
0.0,1000,157.503397
0.0,1000,159.376399
0.0,1000,161.242921
0.0,1000,163.108639
0.0,1000,164.988087
0.0,1000,166.85212
0.0,1000,168.720083
0.0,1000,170.592121
0.0,1000,172.460366
0.0,1000,174.343296
0.0,1000,176.236548
0.0,1000,178.141653
0.0,1000,180.108857
0.0,1000,182.050994
0.0,1000,183.937915
0.0,1000,185.830849
1.0,963,187.670633
1.0,393,188.408494
0.0,1000,190.302433
0.0,1000,192.316937
1.0,731,193.70872
0.0,1000,195.623423
0.0,1000,197.506066
1.0,413,198.284333
0.0,1000,200.161579
0.0,1000,202.043788
