episodes,steps,total reward
10,10000,1.0
20,20000,1.0
30,30000,0.0
40,40000,0.0
50,50000,0.0
60,60000,2.0
70,70000,0.0
81,80000,1.0
92,90000,3.0
103,100000,1.0
115,110000,5.0
126,120000,2.0
138,130000,3.0
151,140000,5.0
168,150000,12.0
184,160000,11.0
204,170000,15.0
224,180000,14.0
242,190000,13.0
266,200000,22.0
291,210000,20.0
329,220000,37.0
374,230000,42.0
419,240000,45.0
484,250000,64.0
558,260000,74.0
636,270000,78.0
710,280000,72.0
791,290000,80.0
879,300000,88.0
974,310000,95.0
1084,320000,110.0
1204,330000,120.0
1338,340000,134.0
1454,350000,116.0
1596,360000,142.0
1734,370000,138.0
1858,380000,124.0
2014,390000,156.0
2161,400000,147.0
2311,410000,150.0
2468,420000,157.0
2616,430000,148.0
2768,440000,152.0
2905,450000,137.0
3048,460000,143.0
3207,470000,159.0
3358,480000,151.0
3508,490000,150.0
3666,500000,158.0
3815,510000,149.0
3970,520000,155.0
4118,530000,148.0
4278,540000,160.0
4427,550000,149.0
4587,560000,160.0
4743,570000,156.0
4899,580000,156.0
5052,590000,154.0
5199,600000,146.0
5358,610000,159.0
5516,620000,158.0
5669,630000,153.0
5829,640000,160.0
5996,650000,167.0
6149,660000,153.0
6313,670000,164.0
6464,680000,151.0
6625,690000,161.0
6786,700000,161.0
6948,710000,162.0
7114,720000,166.0
7279,730000,165.0
7444,740000,165.0
7601,750000,157.0
7767,760000,166.0
7926,770000,159.0
8092,780000,166.0
8258,790000,166.0
8418,800000,160.0
8579,810000,161.0
8745,820000,166.0
8908,830000,163.0
9075,840000,167.0
9239,850000,164.0
9406,860000,167.0
9568,870000,162.0
9735,880000,167.0
9903,890000,168.0
10068,900000,165.0
10234,910000,166.0
10396,920000,163.0
10560,930000,163.0
10718,940000,158.0
10882,950000,165.0
11046,960000,163.0
11210,970000,164.0
11376,980000,166.0
11539,990000,163.0
11706,1000000,167.0
11872,1010000,166.0
12036,1020000,164.0
12199,1030000,163.0
12364,1040000,165.0
12527,1050000,163.0
12688,1060000,161.0
12854,1070000,166.0
13019,1080000,165.0
13160,1090000,140.0
13328,1100000,168.0
13494,1110000,166.0
13658,1120000,164.0
13824,1130000,166.0
13988,1140000,164.0
14154,1150000,166.0
14318,1160000,164.0
14484,1170000,166.0
14647,1180000,163.0
14814,1190000,167.0
14978,1200000,164.0
15139,1210000,161.0
15307,1220000,168.0
15469,1230000,162.0
15636,1240000,167.0
15798,1250000,162.0
15959,1260000,161.0
16125,1270000,166.0
16288,1280000,163.0
16455,1290000,167.0
16619,1300000,164.0
16786,1310000,167.0
16949,1320000,163.0
17116,1330000,167.0
17279,1340000,163.0
17448,1350000,169.0
17614,1360000,166.0
17782,1370000,168.0
17946,1380000,164.0
18113,1390000,167.0
18276,1400000,163.0
18441,1410000,165.0
18607,1420000,166.0
18773,1430000,166.0
18938,1440000,165.0
19103,1450000,165.0
19267,1460000,164.0
19430,1470000,163.0
19596,1480000,166.0
19757,1490000,161.0
19920,1500000,163.0
20085,1510000,165.0
20235,1520000,149.0
20401,1530000,166.0
20568,1540000,167.0
20736,1550000,168.0
20900,1560000,164.0
21066,1570000,166.0
21230,1580000,164.0
21398,1590000,168.0
21564,1600000,166.0
21728,1610000,164.0
21894,1620000,166.0
22061,1630000,167.0
22226,1640000,165.0
22391,1650000,165.0
22557,1660000,166.0
22719,1670000,162.0
22885,1680000,167.0
23049,1690000,163.0
23217,1700000,168.0
23379,1710000,162.0
23546,1720000,167.0
23713,1730000,167.0
23877,1740000,164.0
24039,1750000,162.0
24206,1760000,167.0
24371,1770000,165.0
24538,1780000,167.0
24699,1790000,161.0
24866,1800000,167.0
25029,1810000,163.0
25196,1820000,167.0
25359,1830000,163.0
25524,1840000,165.0
25689,1850000,165.0
25855,1860000,166.0
26019,1870000,164.0
26185,1880000,166.0
26351,1890000,166.0
26516,1900000,165.0
26681,1910000,165.0
26846,1920000,166.0
27013,1930000,166.0
27177,1940000,164.0
27342,1950000,165.0
27506,1960000,164.0
27670,1970000,164.0
27836,1980000,166.0
27999,1990000,163.0
28166,2000000,167.0
