# {"t_start": 1614835705.8898065, "env_id": "Office-single-v0"} 
r,l,t
0.0,43,0.009486
0.0,26,0.013713
0.0,37,0.019547
0.0,16,0.022085
0.0,28,0.026515
0.0,11,0.028265
0.0,4,0.028936
0.0,36,0.034621
0.0,13,0.036683
0.0,15,0.039051
0.0,78,0.05128
0.0,64,0.061437
0.0,15,0.063806
0.0,21,0.067137
0.0,155,0.091313
0.0,104,0.107613
0.0,103,0.123907
0.0,89,0.137971
0.0,47,0.145353
0.0,48,0.152907
0.0,97,0.168024
0.0,42,0.174607
0.0,10,0.176192
0.0,106,0.192677
0.0,101,0.208485
0.0,47,0.215841
0.0,106,0.232433
0.0,106,0.249044
0.0,159,0.273165
0.0,42,0.279725
0.0,132,0.303116
0.0,116,0.321375
0.0,89,0.335296
0.0,58,0.344432
0.0,171,0.370768
0.0,369,0.428142
0.0,20,0.431326
0.0,299,0.477828
0.0,8,0.479173
0.0,72,0.490409
0.0,50,0.498323
0.0,353,0.552826
0.0,16,0.555434
0.0,13,0.55746
0.0,146,0.578851
0.0,70,0.589797
0.0,217,0.623568
0.0,27,0.627872
0.0,460,0.69884
0.0,15,0.701249
0.0,245,0.739751
0.0,384,0.799738
0.0,17,0.80252
0.0,16,0.805073
0.0,381,0.863971
0.0,427,0.92824
0.0,53,0.936605
0.0,106,0.952073
0.0,511,1.030512
0.0,34,1.035943
0.0,188,1.064822
0.0,83,1.077923
0.0,46,1.085123
0.0,53,1.093395
1.0,209,1.126144
0.0,4,1.126811
0.0,118,1.144857
0.0,213,1.17741
0.0,118,1.195443
0.0,155,1.219696
1.0,163,1.245002
0.0,17,1.247423
0.0,234,1.28381
0.0,161,1.309039
0.0,35,1.314505
1.0,75,1.326363
1.0,262,1.3669
0.0,44,1.373821
1.0,111,1.39099
1.0,200,1.421909
0.0,155,1.446046
0.0,50,1.453884
1.0,164,1.479396
1.0,215,1.512875
0.0,108,1.529616
1.0,261,1.569875
0.0,9,1.571307
0.0,70,1.581995
1.0,39,1.587928
0.0,24,1.591564
0.0,69,1.602347
1.0,139,1.623897
0.0,46,1.630971
0.0,71,1.641893
1.0,81,1.654459
1.0,122,1.67328
1.0,361,1.728078
0.0,70,1.738816
0.0,41,1.745164
0.0,183,1.773356
0.0,15,1.775547
0.0,11,1.777263
0.0,2,1.777603
1.0,95,1.792359
1.0,124,1.81163
1.0,95,1.826423
1.0,121,1.845308
1.0,122,1.864081
1.0,142,1.886153
0.0,130,1.90643
0.0,72,1.917683
1.0,150,1.941064
1.0,107,1.957625
0.0,61,1.967144
1.0,115,1.98493
0.0,13,1.986892
0.0,43,1.993635
1.0,76,2.005294
0.0,2,2.005644
0.0,67,2.015976
0.0,56,2.024649
1.0,128,2.04451
0.0,81,2.056893
0.0,41,2.063154
0.0,9,2.064595
1.0,56,2.073273
0.0,10,2.07486
0.0,103,2.090935
0.0,46,2.097967
1.0,115,2.11579
1.0,35,2.121259
0.0,20,2.124341
0.0,67,2.134901
1.0,127,2.15441
1.0,45,2.161514
0.0,17,2.16405
1.0,110,2.180882
1.0,44,2.187743
0.0,2,2.188076
1.0,54,2.196479
1.0,157,2.220582
