# {"t_start": 1614831707.8512046, "env_id": "Office-v0"} 
r,l,t
0.0,14,0.007093
0.0,8,0.010521
0.0,66,0.03643
0.0,17,0.043165
0.0,23,0.052034
0.0,13,0.057167
0.0,15,0.06305
0.0,61,0.086942
1.0,112,0.132797
0.0,23,0.141816
0.0,51,0.161553
0.0,23,0.170547
0.0,77,0.200421
0.0,62,0.225873
0.0,20,0.233667
0.0,31,0.245981
1.0,32,0.258353
0.0,74,0.286735
0.0,20,0.294419
0.0,59,0.316808
0.0,113,0.360456
0.0,48,0.378894
0.0,84,0.411654
0.0,9,0.415194
0.0,154,0.475404
0.0,155,0.535234
0.0,214,0.618589
0.0,125,0.667153
0.0,111,0.71059
0.0,125,0.759427
0.0,39,0.774767
0.0,10,0.778765
0.0,28,0.789786
0.0,61,0.813628
0.0,135,0.86531
0.0,338,0.994698
0.0,207,1.074003
0.0,192,1.149436
0.0,30,1.161475
0.0,56,1.182973
0.0,24,1.192373
0.0,78,1.222611
0.0,289,1.335803
0.0,21,1.344201
0.0,637,1.591106
0.0,43,1.607693
0.0,276,1.713382
0.0,78,1.742283
0.0,318,1.864419
0.0,703,2.132245
0.0,126,2.180617
0.0,31,2.192521
1.0,58,2.2147
0.0,7,2.217372
0.0,17,2.223899
0.0,92,2.25855
1.0,56,2.279969
0.0,290,2.388784
0.0,258,2.487589
0.0,298,2.602556
0.0,28,2.614268
0.0,28,2.625806
0.0,48,2.64551
0.0,223,2.732746
1.0,81,2.763943
0.0,25,2.773405
0.0,35,2.787003
0.0,62,2.810608
1.0,64,2.835074
0.0,82,2.866645
0.0,242,2.958752
0.0,74,2.987735
1.0,28,2.998765
1.0,255,3.096477
0.0,224,3.182485
0.0,65,3.207415
1.0,46,3.225286
1.0,145,3.280804
0.0,95,3.316977
0.0,24,3.326271
1.0,13,3.331301
1.0,216,3.415154
1.0,144,3.469914
1.0,126,3.51851
1.0,31,3.530488
1.0,132,3.581501
0.0,23,3.590378
1.0,161,3.651836
1.0,31,3.663713
0.0,112,3.706527
0.0,48,3.725126
0.0,61,3.748756
1.0,11,3.753028
0.0,2,3.753823
1.0,145,3.809216
1.0,50,3.828016
1.0,12,3.832683
1.0,213,3.915592
1.0,167,3.979017
0.0,30,3.990646
1.0,15,3.996392
0.0,39,4.011415
1.0,120,4.057586
1.0,129,4.107426
1.0,13,4.112481
0.0,50,4.131737
0.0,18,4.138518
0.0,18,4.14552
1.0,12,4.150135
0.0,26,4.16014
0.0,4,4.161735
1.0,175,4.228449
0.0,2,4.229281
1.0,66,4.254748
0.0,77,4.28421
1.0,83,4.315913
1.0,11,4.320079
0.0,66,4.345528
1.0,141,4.399687
1.0,75,4.428037
1.0,12,4.432615
0.0,121,4.479233
0.0,7,4.482048
1.0,79,4.514839
1.0,11,4.519176
1.0,84,4.551221
1.0,102,4.590348
1.0,36,4.604133
1.0,13,4.609028
1.0,96,4.645599
1.0,156,4.704721
1.0,98,4.742085
1.0,13,4.747058
1.0,82,4.778437
0.0,14,4.784004
1.0,45,4.801068
1.0,11,4.80529
0.0,125,4.853338
1.0,76,4.882728
0.0,8,4.88579
1.0,15,4.891481
1.0,52,4.911442
0.0,59,4.933921
1.0,190,5.005401
1.0,11,5.009693
0.0,42,5.025835
1.0,61,5.048799
1.0,38,5.063423
1.0,12,5.067999
1.0,99,5.105748
0.0,41,5.121416
1.0,83,5.15289
1.0,11,5.15728
1.0,81,5.188445
1.0,85,5.220813
1.0,44,5.237682
1.0,11,5.241913
1.0,73,5.269612
1.0,79,5.299656
1.0,66,5.324949
1.0,14,5.330388
1.0,109,5.372513
0.0,7,5.375382
1.0,47,5.393965
1.0,13,5.399087
0.0,83,5.431566
1.0,65,5.456932
1.0,33,5.469887
1.0,13,5.47499
1.0,60,5.498277
1.0,49,5.517052
0.0,8,5.520138
1.0,11,5.52437
0.0,43,5.54153
0.0,234,5.634272
1.0,40,5.650432
1.0,11,5.654774
1.0,111,5.697103
1.0,169,5.762808
0.0,20,5.770849
1.0,12,5.77563
1.0,69,5.803405
1.0,92,5.840198
0.0,23,5.849242
1.0,11,5.85382
1.0,36,5.867862
1.0,117,5.914987
1.0,37,5.929949
1.0,11,5.934383
0.0,73,5.964072
0.0,41,5.980663
1.0,27,5.991742
1.0,14,5.997387
1.0,61,6.02206
0.0,65,6.047984
0.0,34,6.06197
1.0,11,6.066438
0.0,25,6.076555
1.0,71,6.104995
0.0,4,6.106668
0.0,7,6.109516
0.0,46,6.128131
1.0,41,6.14451
1.0,51,6.164844
1.0,13,6.169832
0.0,24,6.179296
0.0,20,6.187404
1.0,28,6.198775
1.0,13,6.203988
1.0,59,6.227774
1.0,63,6.252759
1.0,30,6.264708
1.0,12,6.269581
1.0,45,6.287556
1.0,49,6.307054
1.0,25,6.316872
1.0,13,6.322085
0.0,35,6.33644
1.0,54,6.358325
1.0,41,6.374889
1.0,13,6.380058
1.0,25,6.3901
0.0,7,6.392981
1.0,27,6.404046
0.0,9,6.407792
0.0,9,6.411501
0.0,19,6.419281
1.0,27,6.43031
1.0,11,6.434761
1.0,27,6.445534
1.0,39,6.461313
0.0,23,6.470691
1.0,11,6.475184
1.0,28,6.486371
1.0,32,6.499248
1.0,25,6.509505
0.0,2,6.510347
1.0,23,6.519605
1.0,23,6.528992
1.0,29,6.540877
1.0,17,6.547744
0.0,16,6.554211
1.0,61,6.578367
1.0,25,6.588601
1.0,11,6.593043
1.0,25,6.602993
1.0,42,6.619835
1.0,41,6.636053
1.0,11,6.640311
1.0,27,6.650796
1.0,37,6.665486
1.0,43,6.68282
1.0,11,6.687301
1.0,27,6.698009
1.0,33,6.711057
1.0,27,6.721987
1.0,11,6.726474
1.0,25,6.736276
1.0,39,6.751636
0.0,12,6.756502
1.0,12,6.761232
0.0,14,6.766865
1.0,33,6.780121
1.0,29,6.792051
0.0,6,6.794513
1.0,29,6.806451
1.0,32,6.819182
1.0,32,6.832238
1.0,14,6.838036
1.0,25,6.847807
1.0,30,6.85996
0.0,16,6.866389
1.0,20,6.874517
0.0,14,6.880086
0.0,22,6.888964
1.0,25,6.89907
1.0,11,6.903542
1.0,24,6.91331
1.0,31,6.925972
1.0,25,6.936102
1.0,11,6.940553
1.0,27,6.951382
0.0,26,6.961903
0.0,20,6.969874
1.0,13,6.975162
0.0,13,6.980344
1.0,65,7.006036
1.0,27,7.016714
1.0,11,7.021099
1.0,28,7.031997
1.0,32,7.044852
1.0,30,7.057053
1.0,12,7.061866
0.0,6,7.064309
1.0,37,7.079114
1.0,30,7.091079
0.0,4,7.092727
0.0,9,7.096367
1.0,30,7.108527
1.0,29,7.120315
1.0,13,7.125534
0.0,12,7.130415
1.0,23,7.13962
0.0,23,7.149009
1.0,14,7.154677
1.0,24,7.164282
1.0,30,7.176486
0.0,4,7.178182
1.0,11,7.182657
1.0,32,7.195336
1.0,30,7.207684
1.0,39,7.223171
1.0,15,7.229181
0.0,6,7.231636
1.0,37,7.246536
1.0,27,7.257578
1.0,11,7.262047
0.0,19,7.269665
1.0,37,7.284665
1.0,30,7.29686
1.0,14,7.302382
1.0,26,7.31302
1.0,35,7.327166
1.0,28,7.33858
1.0,11,7.343029
1.0,23,7.352322
0.0,18,7.359488
1.0,25,7.369585
1.0,12,7.37436
1.0,24,7.38401
1.0,32,7.397
1.0,29,7.408836
1.0,11,7.413345
1.0,23,7.422687
1.0,72,7.451897
1.0,27,7.462908
1.0,13,7.468006
1.0,29,7.479776
1.0,31,7.492379
1.0,25,7.502649
1.0,17,7.509479
1.0,23,7.518811
1.0,32,7.531616
0.0,6,7.534075
1.0,12,7.538809
1.0,23,7.548015
0.0,23,7.557429
1.0,27,7.568344
1.0,11,7.572851
1.0,25,7.583005
1.0,33,7.596331
1.0,33,7.609704
1.0,13,7.614846
0.0,21,7.623053
1.0,33,7.638487
1.0,25,7.648713
1.0,11,7.653079
1.0,24,7.662739
0.0,26,7.673253
1.0,27,7.684184
1.0,11,7.688636
1.0,25,7.698767
1.0,35,7.712817
1.0,31,7.725363
1.0,11,7.729799
1.0,24,7.739178
1.0,32,7.751576
0.0,24,7.760997
1.0,11,7.765355
1.0,25,7.775059
1.0,30,7.786814
1.0,27,7.797674
1.0,11,7.802227
1.0,28,7.813068
0.0,4,7.814683
1.0,28,7.825494
1.0,11,7.829905
1.0,24,7.839088
1.0,34,7.852381
1.0,25,7.862372
1.0,13,7.867481
0.0,10,7.871395
0.0,19,7.878913
1.0,28,7.889669
1.0,11,7.893969
0.0,10,7.897869
1.0,36,7.911849
1.0,26,7.922065
1.0,11,7.926423
1.0,23,7.935299
1.0,35,7.948897
0.0,19,7.956454
1.0,12,7.961232
1.0,25,7.971061
1.0,46,7.989191
1.0,25,7.998837
1.0,11,8.00306
1.0,27,8.01341
1.0,36,8.027493
0.0,18,8.034621
0.0,6,8.037044
1.0,26,8.047118
1.0,35,8.060742
1.0,25,8.070576
1.0,11,8.074886
1.0,30,8.086504
1.0,36,8.100422
1.0,29,8.111801
1.0,11,8.116047
1.0,26,8.126016
0.0,32,8.138448
1.0,29,8.149798
1.0,14,8.155278
1.0,25,8.164999
0.0,33,8.177794
1.0,30,8.189487
1.0,11,8.193735
