episodes,mean 100 episode reward,steps
100,0.0,4672
200,0.0,9163
300,0.0,13234
400,0.0,17646
500,0.0,21820
600,0.0,26410
700,0.0,30367
800,0.0,34978
900,0.0,39273
1000,0.0,43955
1100,0.0,48690
1200,0.0,53224
1300,0.1,58116
1400,0.0,63154
1500,0.0,67981
1600,0.0,72476
1700,0.1,77265
1800,0.2,82429
1900,0.2,87456
2000,0.2,92490
2100,0.2,97745
2200,0.4,103041
2300,0.4,108192
2400,0.4,113274
2500,0.5,118666
2600,0.5,123883
2700,0.6,128997
2800,0.5,134075
2900,0.7,138981
3000,0.6,143717
3100,0.7,148429
3200,0.8,153150
3300,0.8,157882
3400,0.8,162715
3500,0.8,167219
3600,0.9,171750
3700,0.8,176209
3800,0.9,180577
3900,0.9,185030
4000,0.9,189415
4100,0.8,193540
4200,0.8,197696
4300,0.8,201902
4400,0.9,206178
4500,0.9,210312
4600,0.9,214427
4700,0.9,218602
4800,0.9,222701
4900,0.9,226808
5000,0.9,231191
5100,0.9,235383
5200,0.9,239358
5300,0.9,243453
5400,0.9,247472
5500,0.9,251481
5600,0.9,255440
5700,0.9,259429
5800,0.9,263361
5900,0.9,267356
6000,0.9,271363
6100,0.8,275281
6200,0.9,279350
6300,0.9,283347
6400,0.9,287393
6500,0.9,291353
6600,0.9,295302
6700,0.9,299327
6800,0.9,303264
6900,0.9,307323
7000,1.0,311384
7100,0.9,315641
7200,0.9,319724
7300,0.9,323638
7400,0.9,327585
7500,1.0,331571
7600,0.9,335450
7700,0.9,339258
7800,0.9,343308
7900,0.9,347304
8000,0.9,351099
8100,1.0,355072
8200,0.9,358924
8300,0.9,362755
8400,0.9,366631
8500,0.9,370482
8600,1.0,374436
8700,0.9,378328
8800,0.9,382162
8900,0.9,386173
9000,0.9,390123
9100,0.9,393964
9200,0.9,397803
9300,0.9,401682
9400,0.9,405459
9500,0.9,409219
9600,0.9,413130
9700,1.0,417091
9800,1.0,421010
9900,0.9,424907
10000,0.9,428690
10100,0.9,432422
10200,0.9,436287
10300,0.9,440137
10400,0.9,443926
10500,0.9,447780
10600,0.9,451803
10700,0.9,455574
10800,0.9,459403
10900,0.9,463253
11000,0.9,467040
11100,1.0,470838
11200,0.9,474578
11300,0.9,478337
11400,0.9,482231
11500,0.9,485903
11600,0.9,489794
11700,0.9,493611
11800,0.9,497347
11900,0.9,501097
12000,0.9,504860
12100,0.9,508683
12200,0.9,512579
12300,0.9,516349
12400,0.9,520205
12500,0.9,523966
12600,0.9,527677
12700,0.9,531513
12800,0.9,535336
12900,0.9,539291
13000,0.9,543062
13100,0.9,546991
13200,1.0,550902
13300,0.9,554749
13400,0.9,558482
13500,0.9,562201
13600,0.9,565991
13700,0.9,569863
13800,0.9,573670
13900,0.9,577453
14000,0.9,581234
14100,0.9,585016
14200,1.0,588880
14300,0.9,592599
14400,0.9,596412
14500,0.9,600223
14600,0.9,604110
14700,0.9,608013
14800,0.9,611841
14900,0.9,615769
15000,0.9,619750
15100,0.9,623830
15200,0.9,627882
15300,0.9,631901
15400,0.9,635998
15500,0.9,640184
15600,0.9,644106
15700,0.9,648033
15800,0.9,651954
15900,0.9,656085
16000,0.9,660054
16100,0.9,664193
16200,1.0,668422
16300,0.9,672599
16400,0.9,676551
16500,0.9,680547
16600,1.0,684619
16700,0.9,688579
16800,0.9,692565
16900,0.9,696825
17000,0.9,700835
17100,0.9,704883
17200,0.9,708903
17300,1.0,713045
17400,0.9,717009
17500,0.9,721085
17600,0.9,725118
17700,0.9,728950
17800,0.9,733132
17900,0.9,737063
18000,0.9,741002
18100,0.8,744791
18200,0.9,748704
18300,0.9,752660
18400,0.9,756491
18500,0.9,760544
18600,0.9,764634
18700,0.9,768666
18800,0.9,772564
18900,0.9,776332
19000,0.9,780263
19100,0.9,784401
19200,0.9,788339
19300,0.9,792302
19400,0.9,796234
19500,0.9,800236
19600,1.0,804050
19700,1.0,808054
19800,0.9,811901
19900,0.9,815933
20000,0.9,819860
20100,0.9,823792
20200,0.9,827687
20300,0.9,831743
20400,0.9,835858
20500,0.9,839715
20600,0.9,843731
20700,0.9,847703
20800,0.9,851725
20900,1.0,855811
21000,0.9,859860
21100,1.0,863941
21200,0.9,867954
21300,0.9,871848
21400,1.0,875776
21500,0.9,879726
21600,0.9,883651
21700,0.9,887751
21800,0.9,891788
21900,0.9,895875
22000,1.0,900018
22100,0.9,903979
22200,0.9,908070
22300,0.9,912052
22400,0.9,916062
22500,0.9,919996
22600,0.9,923967
22700,1.0,927931
22800,0.9,931891
22900,0.9,935877
23000,0.9,939712
23100,0.9,943563
23200,0.9,947446
23300,0.9,951237
23400,1.0,955259
23500,0.9,959056
23600,1.0,963121
23700,0.9,967038
23800,0.9,970930
23900,0.9,974832
24000,0.9,978642
24100,0.9,982556
24200,0.8,986360
24300,0.9,990510
24400,0.9,994433
24500,0.9,998388
24600,0.9,1002320
24700,0.9,1006313
24800,0.9,1010176
24900,0.9,1014053
25000,0.9,1017948
25100,0.9,1021980
25200,0.9,1025912
25300,0.9,1029829
25400,0.9,1033848
25500,0.9,1037755
25600,0.9,1041797
25700,0.9,1045714
25800,0.9,1049512
25900,0.9,1053378
26000,0.9,1057276
26100,0.9,1061176
26200,0.9,1064996
26300,0.9,1068927
26400,0.9,1072669
26500,0.9,1076503
26600,1.0,1080334
26700,0.9,1084109
26800,0.9,1087952
26900,1.0,1091928
27000,0.9,1096012
27100,0.9,1099807
27200,0.9,1103651
27300,0.9,1107652
27400,0.9,1111516
27500,0.9,1115376
27600,1.0,1119308
27700,0.9,1123277
27800,0.9,1127059
27900,1.0,1131048
28000,0.9,1134935
28100,0.9,1138854
28200,0.8,1142651
28300,0.9,1146529
28400,0.9,1150459
28500,1.0,1154502
28600,0.9,1158325
28700,0.9,1162220
28800,0.9,1166125
28900,1.0,1170128
29000,0.9,1174034
29100,0.9,1178070
29200,0.9,1182005
29300,1.0,1185918
29400,0.8,1189637
29500,0.9,1193610
29600,0.9,1197527
29700,0.9,1201468
29800,0.9,1205333
29900,0.9,1209349
30000,0.9,1213119
30100,0.9,1217129
30200,0.9,1220975
30300,1.0,1224828
30400,0.9,1228603
30500,0.9,1232587
30600,0.9,1236518
30700,0.9,1240363
30800,0.9,1244188
30900,0.9,1248099
31000,0.9,1252123
31100,0.9,1255894
31200,0.9,1259883
31300,0.9,1263658
31400,0.9,1267706
31500,0.9,1271533
31600,0.9,1275782
31700,0.9,1279718
31800,0.9,1283542
31900,0.9,1287430
32000,0.9,1291198
32100,0.9,1295012
32200,0.9,1298820
32300,1.0,1302679
32400,0.9,1306683
32500,0.9,1310586
32600,0.9,1314452
32700,0.9,1318224
32800,0.9,1322363
32900,0.9,1326164
33000,0.9,1330085
33100,0.9,1333918
33200,1.0,1337964
33300,0.9,1341902
33400,0.9,1345946
33500,0.8,1349851
33600,0.9,1353634
33700,0.9,1357546
33800,0.8,1361248
33900,0.9,1364962
34000,0.9,1368744
34100,0.9,1372542
34200,1.0,1376541
34300,0.9,1380323
34400,0.9,1384141
34500,0.9,1388455
34600,0.9,1392307
34700,0.9,1396325
34800,0.9,1400076
34900,0.9,1404017
35000,0.9,1407910
35100,0.9,1411666
35200,0.9,1415624
35300,0.9,1419593
35400,0.8,1423491
35500,0.9,1427255
35600,0.9,1431185
35700,0.9,1435021
35800,0.9,1438852
35900,0.8,1442541
36000,1.0,1446466
36100,0.9,1450305
36200,0.9,1454128
36300,1.0,1458121
36400,0.9,1462066
36500,0.9,1466027
36600,0.9,1469908
36700,0.9,1473744
36800,0.9,1477682
36900,0.9,1481560
37000,0.9,1485324
37100,0.9,1489033
37200,0.9,1492869
37300,0.9,1496649
37400,0.9,1500416
37500,0.9,1504170
37600,0.9,1508070
37700,0.8,1511966
37800,0.8,1515713
37900,0.9,1519509
38000,0.9,1523352
38100,0.9,1527122
38200,0.9,1530945
38300,0.9,1534675
38400,0.9,1538295
38500,0.9,1542169
38600,0.9,1546004
38700,0.9,1549838
38800,0.9,1553664
38900,0.9,1557451
39000,0.9,1561410
39100,0.8,1565277
39200,0.9,1569169
39300,0.9,1572872
39400,0.9,1576567
39500,0.9,1580327
39600,0.9,1584025
39700,0.9,1587670
39800,0.9,1591444
39900,0.9,1595252
40000,1.0,1599129
40100,0.9,1602894
40200,0.9,1606662
40300,0.9,1610631
40400,0.9,1614386
40500,0.9,1618209
40600,0.9,1622117
40700,0.9,1625895
40800,0.8,1629659
40900,0.9,1633449
41000,0.9,1637179
41100,0.9,1641000
41200,0.9,1644843
41300,0.9,1648754
41400,0.9,1652475
41500,0.9,1656436
41600,0.9,1660151
41700,0.8,1663778
41800,0.9,1667700
41900,0.9,1671575
42000,0.9,1675578
42100,0.8,1679562
42200,0.9,1683357
42300,0.9,1687173
42400,0.9,1690907
42500,0.9,1694753
42600,0.9,1698513
42700,0.9,1702221
42800,0.9,1705865
42900,0.9,1709840
43000,0.9,1713688
43100,0.9,1717554
43200,0.9,1721384
43300,0.9,1725148
43400,0.9,1728991
43500,0.9,1732813
43600,0.9,1736837
43700,0.9,1740690
43800,0.9,1744637
43900,0.9,1748493
44000,0.9,1752126
44100,0.9,1755896
44200,0.9,1759612
44300,0.9,1763438
44400,0.9,1767327
44500,0.9,1771052
44600,0.9,1774889
44700,0.9,1778636
44800,0.9,1782271
44900,0.8,1785879
45000,0.9,1789608
45100,0.9,1793322
45200,0.9,1797125
45300,0.9,1800900
45400,0.9,1804718
45500,0.9,1808477
45600,0.9,1812241
45700,0.9,1816204
45800,0.8,1819871
45900,0.9,1823579
46000,0.9,1827482
46100,0.9,1831181
46200,0.9,1834892
46300,0.9,1838624
46400,0.9,1842337
46500,0.9,1845940
46600,0.9,1849649
46700,0.9,1853387
46800,1.0,1857326
46900,1.0,1861177
47000,0.9,1864971
47100,1.0,1868817
47200,0.8,1872597
47300,0.9,1876334
47400,0.9,1880107
47500,1.0,1883944
47600,0.9,1887756
47700,0.9,1891605
47800,1.0,1895442
47900,0.9,1899192
48000,0.9,1903132
48100,0.9,1906932
48200,0.9,1910778
48300,0.9,1914612
48400,1.0,1918609
48500,0.9,1922531
48600,1.0,1926411
48700,0.9,1930190
48800,0.9,1933979
48900,1.0,1937750
49000,0.9,1941469
49100,0.9,1945320
49200,0.8,1948927
49300,0.9,1952731
49400,0.9,1956500
49500,0.9,1960198
49600,0.9,1963985
49700,0.9,1967648
49800,0.9,1971404
49900,0.9,1975230
50000,0.9,1979054
50100,0.9,1982786
50200,0.9,1986521
50300,0.9,1990288
50400,0.9,1994006
50500,0.9,1997755
