# {"t_start": 1599875574.5037656, "env_id": "Water-single-M4-v0"} 
r,l,t
0.0,37,36.825888
0.0,9,36.840944
0.0,42,36.905148
0.0,67,37.007157
0.0,25,37.045626
0.0,21,37.078343
0.0,18,37.106177
0.0,11,37.124631
0.0,12,37.143594
0.0,61,37.234741
0.0,15,37.257746
0.0,41,37.319041
0.0,8,37.331919
0.0,16,37.356337
0.0,11,37.373948
0.0,101,37.522434
0.0,10,37.53882
0.0,22,37.572625
0.0,9,37.587276
0.0,23,37.623425
0.0,7,37.634827
0.0,42,37.700827
0.0,19,37.730211
0.0,16,37.75505
0.0,9,37.769895
0.0,7,37.781362
0.0,26,37.820339
0.0,37,37.875431
0.0,18,37.903247
0.0,17,37.929235
0.0,30,37.974227
1.0,76,38.089317
0.0,34,38.140038
0.0,7,38.151684
0.0,18,38.179552
0.0,10,38.195529
0.0,9,38.21007
1.0,51,38.288501
0.0,55,38.705527
0.0,28,38.881909
0.0,16,38.981981
1.0,47,39.278113
0.0,73,39.737064
0.0,157,40.723164
0.0,16,40.823708
0.0,50,41.134124
0.0,7,41.178797
0.0,23,41.32328
0.0,21,41.454931
0.0,23,41.598978
0.0,23,41.744802
0.0,35,41.964884
0.0,10,42.028179
0.0,12,42.106923
0.0,32,42.310961
0.0,23,42.455681
0.0,49,42.762472
0.0,27,42.932029
0.0,13,43.01387
0.0,11,43.082938
0.0,17,43.195127
0.0,40,43.444056
0.0,33,43.650207
0.0,47,43.945456
0.0,62,44.33874
0.0,9,44.395974
0.0,38,44.633708
0.0,38,44.870222
0.0,11,44.940019
0.0,6,44.97781
0.0,109,45.664127
0.0,45,45.948203
0.0,29,46.132069
0.0,19,46.250951
0.0,38,46.488555
0.0,23,46.633048
0.0,56,46.98279
0.0,15,47.077767
0.0,7,47.122767
0.0,44,47.404323
0.0,34,47.751748
0.0,47,48.054
0.0,17,48.163229
0.0,72,48.618845
0.0,25,48.779313
0.0,71,49.2289
0.0,12,49.30957
0.0,54,49.656423
0.0,85,50.202153
0.0,36,50.430554
0.0,21,50.567696
0.0,10,50.635005
0.0,74,51.106977
0.0,88,51.67182
0.0,42,51.942871
0.0,32,52.151392
0.0,67,52.579672
0.0,26,52.755212
0.0,9,52.81635
0.0,31,53.015483
0.0,6,53.059162
0.0,45,53.356134
0.0,20,53.490849
0.0,43,53.768666
0.0,20,53.904034
0.0,27,54.075547
0.0,76,54.564192
0.0,30,54.761535
0.0,17,54.874305
0.0,18,54.988976
0.0,111,55.673046
0.0,107,56.323112
0.0,44,56.593029
0.0,68,57.012682
0.0,146,57.910875
0.0,28,58.086166
0.0,21,58.218078
0.0,68,58.637889
0.0,155,59.587128
0.0,55,59.928215
0.0,16,60.030018
0.0,58,60.388493
0.0,9,60.447849
0.0,10,60.513509
0.0,63,60.900162
0.0,126,61.670116
0.0,96,62.295207
