episodes,mean 100 episode reward,steps
100,0.7,26423
200,0.8,46905
300,0.8,62693
400,0.9,75415
500,0.9,84532
600,0.9,93109
700,0.9,100253
800,0.9,107220
900,0.9,113774
1000,0.9,120071
1100,0.9,126307
1200,0.9,132199
1300,0.9,138111
1400,0.9,143838
1500,1.0,149749
1600,1.0,155310
1700,1.0,160757
1800,1.0,166033
1900,1.0,171442
2000,0.9,176550
2100,1.0,181715
2200,1.0,186584
2300,1.0,191469
2400,1.0,196488
2500,1.0,202058
2600,1.0,206852
2700,1.0,211842
2800,1.0,216774
2900,1.0,221632
3000,1.0,226435
3100,1.0,231349
3200,0.9,236013
3300,0.9,240628
3400,0.9,245934
3500,1.0,250891
3600,0.9,255449
3700,1.0,260238
3800,1.0,264985
3900,1.0,269729
4000,1.0,274588
4100,1.0,279256
4200,1.0,284018
4300,1.0,288930
4400,1.0,294266
4500,1.0,298858
4600,1.0,304028
4700,1.0,309006
4800,1.0,313624
4900,0.9,318172
5000,0.9,322676
5100,0.9,327258
5200,1.0,331957
5300,1.0,336637
5400,1.0,341263
5500,1.0,346279
5600,1.0,351155
5700,1.0,356103
5800,1.0,360779
5900,1.0,365847
6000,0.9,371078
6100,1.0,375705
6200,1.0,380353
6300,1.0,385315
6400,1.0,389949
6500,1.0,394857
6600,1.0,399683
6700,1.0,404390
6800,1.0,409204
6900,1.0,413883
7000,1.0,418644
7100,1.0,423351
7200,1.0,428066
7300,1.0,432590
7400,1.0,437755
7500,1.0,442341
7600,1.0,447080
7700,1.0,451920
7800,1.0,456585
7900,1.0,461571
8000,1.0,466383
8100,1.0,471394
8200,1.0,476373
8300,1.0,480942
8400,1.0,486014
8500,1.0,490860
8600,1.0,495497
8700,1.0,500318
8800,1.0,505074
8900,1.0,509636
9000,1.0,514146
9100,1.0,518768
9200,1.0,523528
9300,1.0,527976
9400,0.9,533085
9500,1.0,537784
9600,1.0,542801
9700,1.0,547577
9800,1.0,552329
9900,1.0,557065
10000,1.0,561968
10100,1.0,567134
10200,1.0,571674
10300,1.0,576458
10400,1.0,581614
10500,1.0,586194
10600,1.0,590784
10700,1.0,595409
10800,1.0,600399
10900,1.0,605097
11000,0.9,609457
11100,1.0,614214
11200,1.0,618905
11300,1.0,624123
11400,1.0,628625
11500,1.0,633037
11600,1.0,637512
11700,1.0,642409
11800,1.0,646908
11900,1.0,651576
12000,1.0,655978
12100,1.0,660954
12200,1.0,665610
12300,1.0,670302
12400,1.0,674743
12500,1.0,679601
12600,1.0,684095
12700,0.9,689040
12800,1.0,693764
12900,1.0,698368
13000,1.0,702821
13100,1.0,707521
13200,1.0,712624
13300,1.0,717136
13400,1.0,721793
13500,1.0,727018
13600,1.0,731566
13700,1.0,736205
13800,1.0,740708
13900,1.0,745158
14000,1.0,749932
14100,1.0,755127
14200,1.0,759853
14300,1.0,764582
14400,1.0,769233
14500,1.0,773712
14600,1.0,778453
14700,1.0,783071
14800,1.0,787630
14900,1.0,792071
15000,1.0,796733
15100,1.0,801470
15200,1.0,806188
15300,1.0,810844
15400,1.0,815469
15500,1.0,820112
15600,1.0,824712
15700,1.0,829486
15800,1.0,834247
15900,1.0,838977
16000,1.0,843741
16100,1.0,848727
16200,1.0,853283
16300,1.0,857978
16400,1.0,862869
16500,1.0,867355
16600,0.9,871845
16700,1.0,876677
16800,1.0,881531
16900,1.0,886177
17000,1.0,890931
17100,1.0,896416
17200,1.0,900773
17300,1.0,905416
17400,1.0,910323
17500,1.0,915355
17600,1.0,919824
17700,1.0,924288
17800,1.0,928863
17900,1.0,933917
18000,1.0,938589
18100,1.0,943150
18200,1.0,948172
18300,1.0,953123
18400,1.0,957627
18500,1.0,962377
18600,1.0,967038
18700,1.0,971365
18800,1.0,975902
18900,1.0,980523
19000,1.0,985287
19100,1.0,989824
19200,1.0,994606
19300,1.0,998916
19400,1.0,1003604
19500,1.0,1008394
19600,1.0,1012994
19700,1.0,1017531
19800,1.0,1021898
19900,1.0,1026303
20000,1.0,1030879
20100,1.0,1035689
20200,1.0,1040805
20300,1.0,1045554
20400,1.0,1050352
20500,1.0,1054862
20600,1.0,1059673
20700,1.0,1064113
20800,1.0,1069443
20900,1.0,1074069
21000,1.0,1078604
21100,1.0,1083232
21200,1.0,1087641
21300,1.0,1092163
21400,1.0,1096572
21500,1.0,1101488
21600,1.0,1106829
21700,1.0,1111678
21800,1.0,1116382
21900,1.0,1121371
22000,1.0,1126412
22100,1.0,1131123
22200,1.0,1135814
22300,1.0,1140344
22400,1.0,1144879
22500,1.0,1149859
22600,1.0,1154464
22700,1.0,1159091
22800,1.0,1163686
22900,1.0,1168525
23000,1.0,1173153
23100,1.0,1177871
23200,1.0,1182989
23300,1.0,1187500
23400,1.0,1192116
23500,1.0,1196691
23600,1.0,1201293
23700,1.0,1206331
23800,1.0,1210822
23900,1.0,1215477
24000,1.0,1220187
24100,1.0,1224745
24200,1.0,1229222
24300,1.0,1234644
24400,1.0,1240056
24500,1.0,1244451
24600,1.0,1248898
24700,0.9,1253285
24800,1.0,1257602
24900,1.0,1262545
25000,1.0,1267207
25100,1.0,1272455
25200,1.0,1277004
25300,1.0,1281645
25400,0.9,1286279
25500,1.0,1290784
25600,1.0,1295558
25700,1.0,1300251
25800,1.0,1305096
25900,1.0,1309780
26000,1.0,1314703
26100,1.0,1319077
26200,1.0,1323359
26300,1.0,1327818
26400,1.0,1332629
26500,1.0,1338338
26600,1.0,1343053
26700,1.0,1347571
26800,1.0,1352775
26900,1.0,1357689
27000,1.0,1362089
27100,1.0,1366586
27200,1.0,1371088
27300,1.0,1375815
27400,1.0,1380277
27500,1.0,1385065
27600,1.0,1389737
27700,1.0,1394200
27800,1.0,1398900
