# {"t_start": 1613954872.4990387, "env_id": "Water-M5-v0"} 
r,l,t
1.0,41,12.378786
0.0,600,15.659021
1.0,384,19.115619
1.0,433,45.446874
1.0,305,64.311363
0.0,600,102.295825
1.0,337,124.516985
0.0,600,163.387338
0.0,10,164.083898
0.0,33,166.160046
1.0,138,174.787464
1.0,561,212.278362
1.0,355,234.633696
1.0,471,265.077794
0.0,600,304.922136
1.0,191,317.027969
1.0,472,348.965297
1.0,480,383.058678
0.0,12,383.827441
0.0,12,384.617919
1.0,153,394.607605
1.0,365,418.370656
1.0,123,427.426221
1.0,234,444.264105
1.0,336,466.836644
1.0,56,470.665539
1.0,222,485.365076
1.0,512,522.224848
0.0,13,523.213565
0.0,13,524.146112
1.0,311,545.762398
1.0,323,568.352161
1.0,222,584.218525
1.0,239,601.839351
1.0,394,629.806093
1.0,176,641.884147
0.0,600,684.650415
1.0,190,697.941679
0.0,25,699.547901
0.0,19,700.799918
1.0,74,706.147624
1.0,100,713.323021
1.0,52,716.963918
1.0,383,744.099444
1.0,88,750.52732
1.0,559,790.438693
0.0,600,832.531872
1.0,153,844.014099
0.0,38,846.819049
0.0,12,847.742789
1.0,129,857.481754
1.0,195,871.276831
1.0,420,901.111501
0.0,600,944.932133
1.0,530,983.215271
1.0,223,999.35417
0.0,600,1044.293994
1.0,181,1056.965394
0.0,10,1057.66817
0.0,155,1068.846711
1.0,322,1094.425803
1.0,367,1122.153536
1.0,58,1126.464443
1.0,579,1167.649451
1.0,227,1184.47837
1.0,206,1199.879787
1.0,141,1210.445203
0.0,600,1253.986349
0.0,27,1256.031797
0.0,15,1257.079611
1.0,146,1267.862848
1.0,329,1292.653863
1.0,305,1314.911085
0.0,600,1359.326684
0.0,600,1404.736652
1.0,134,1414.428569
1.0,214,1430.564258
1.0,596,1477.026785
0.0,9,1477.811409
0.0,12,1478.748595
1.0,208,1494.623758
1.0,124,1504.235915
1.0,416,1536.470582
1.0,213,1553.320983
1.0,363,1581.737642
1.0,89,1588.448715
1.0,436,1621.649326
1.0,321,1646.538254
0.0,11,1647.358987
0.0,21,1649.041786
1.0,201,1664.446744
1.0,350,1691.213682
1.0,67,1696.425114
1.0,198,1711.944309
1.0,215,1728.457256
1.0,270,1749.715645
0.0,600,1796.229857
1.0,287,1819.036978
0.0,22,1820.777137
0.0,14,1821.971492
1.0,106,1830.34695
1.0,266,1851.497993
1.0,104,1859.759568
1.0,236,1877.914947
1.0,210,1894.23853
1.0,308,1918.906614
1.0,378,1948.851145
1.0,443,1983.263579
0.0,100,1991.265168
0.0,16,1992.57881
1.0,318,2018.260207
1.0,84,2024.878146
1.0,41,2028.181332
1.0,205,2044.213994
1.0,179,2057.940876
1.0,258,2078.028564
1.0,360,2106.676061
1.0,496,2145.742136
0.0,32,2148.376619
0.0,13,2149.394148
1.0,109,2157.767761
1.0,93,2165.150711
1.0,127,2175.124669
1.0,96,2182.915182
1.0,443,2218.153041
1.0,283,2240.121346
1.0,355,2267.556546
1.0,261,2288.62511
0.0,42,2291.920754
0.0,15,2293.079337
1.0,69,2298.629688
1.0,84,2305.499665
1.0,128,2315.795331
1.0,140,2326.816737
1.0,241,2345.92514
1.0,163,2358.89224
1.0,236,2377.772534
1.0,153,2390.263803
0.0,45,2394.003436
0.0,26,2396.036695
1.0,92,2403.556317
1.0,210,2420.734498
1.0,96,2428.317872
1.0,369,2457.614779
1.0,105,2466.010654
1.0,292,2490.02982
1.0,250,2509.714166
1.0,170,2523.360673
0.0,20,2525.012502
0.0,12,2525.981113
1.0,190,2540.941546
1.0,80,2547.294507
1.0,51,2551.164957
1.0,362,2580.912416
1.0,200,2596.208358
1.0,173,2608.961989
1.0,230,2626.059235
1.0,479,2662.475027
0.0,115,2671.498683
0.0,16,2672.731334
0.0,600,2716.962911
1.0,72,2722.43273
1.0,225,2739.297149
1.0,268,2758.440582
1.0,100,2765.593904
1.0,101,2772.800192
1.0,287,2792.567431
0.0,600,2832.452495
0.0,13,2833.320359
0.0,20,2834.638044
1.0,124,2843.475338
1.0,321,2868.922224
1.0,99,2876.349322
1.0,208,2892.319866
1.0,442,2924.630708
1.0,236,2942.093676
1.0,286,2963.178251
1.0,340,2988.469869
0.0,7,2989.082283
0.0,27,2991.284917
1.0,77,2997.235495
1.0,70,3002.556674
1.0,234,3020.633177
1.0,288,3042.294804
1.0,509,3078.808073
1.0,98,3086.228154
1.0,575,3126.497198
1.0,316,3148.649825
0.0,34,3151.012075
0.0,17,3152.193142
1.0,119,3160.520552
1.0,65,3165.194357
1.0,35,3167.796678
1.0,232,3185.027466
1.0,309,3209.663109
1.0,70,3214.908512
1.0,98,3222.249436
1.0,534,3261.943235
0.0,8,3262.527574
0.0,43,3265.622948
1.0,112,3274.564172
1.0,96,3282.034064
1.0,97,3289.822504
1.0,92,3297.07081
1.0,225,3314.035323
1.0,83,3320.597947
1.0,320,3344.314654
1.0,211,3359.627023
0.0,94,3366.578816
0.0,34,3369.234789
1.0,182,3382.781374
1.0,127,3391.889765
1.0,79,3397.989974
1.0,341,3423.999156
1.0,326,3447.500058
1.0,81,3453.378062
1.0,171,3465.116081
1.0,193,3478.259016
0.0,12,3479.080815
0.0,16,3480.166617
1.0,50,3483.624398
1.0,235,3501.022641
1.0,296,3524.269759
1.0,186,3538.775744
1.0,219,3555.788176
1.0,226,3573.04267
1.0,341,3598.180969
0.0,600,3643.710489
0.0,18,3645.075788
0.0,17,3646.359883
1.0,26,3648.35833
1.0,64,3653.659502
1.0,51,3657.563175
1.0,123,3666.696193
1.0,158,3678.36219
1.0,299,3701.170705
1.0,457,3735.011135
1.0,289,3756.722112
0.0,36,3759.356914
0.0,24,3761.106444
1.0,142,3771.490523
1.0,169,3784.113458
1.0,47,3787.766822
1.0,229,3804.705529
1.0,287,3827.077628
1.0,120,3836.728136
1.0,227,3854.394681
1.0,353,3881.347383
0.0,15,3882.441942
0.0,41,3885.433438
1.0,85,3891.62077
1.0,72,3896.858764
1.0,232,3914.320758
1.0,103,3921.948633
1.0,182,3936.30546
1.0,226,3954.149697
1.0,73,3959.820885
1.0,225,3977.601108
0.0,63,3982.367345
0.0,15,3983.501874
1.0,66,3988.550903
1.0,74,3994.620435
1.0,87,4001.386292
1.0,90,4008.139045
1.0,387,4038.163896
1.0,95,4045.801094
1.0,383,4075.267254
1.0,334,4100.643289
1.0,57,4104.812597
0.0,15,4105.916926
1.0,371,4133.873262
1.0,46,4137.335426
1.0,36,4140.054319
1.0,164,4152.78703
1.0,227,4170.028239
1.0,146,4180.892704
1.0,529,4220.005982
1.0,250,4237.162663
0.0,52,4240.709681
0.0,24,4242.339654
1.0,196,4255.675045
1.0,320,4277.891357
1.0,48,4281.134378
1.0,97,4287.705727
1.0,355,4312.400973
1.0,81,4317.944473
1.0,246,4337.448302
1.0,168,4351.034934
0.0,42,4354.311891
0.0,15,4355.467034
1.0,86,4362.033747
1.0,33,4364.570638
1.0,34,4367.172336
1.0,114,4376.38871
1.0,150,4387.663218
1.0,267,4407.414826
1.0,381,4436.072017
1.0,177,4450.052453
0.0,10,4450.823825
0.0,16,4452.04215
1.0,50,4455.801306
1.0,121,4465.285087
1.0,132,4474.9104
1.0,152,4486.082906
1.0,72,4491.461007
1.0,98,4498.505877
1.0,321,4524.75672
1.0,283,4546.971057
0.0,32,4549.401762
0.0,9,4550.085581
1.0,31,4552.433893
1.0,56,4556.699666
1.0,53,4561.005963
1.0,156,4572.973193
1.0,89,4580.19368
1.0,156,4591.733626
1.0,107,4600.023977
1.0,293,4622.188856
0.0,70,4627.66589
0.0,33,4630.220417
1.0,80,4636.566564
1.0,175,4650.342436
1.0,97,4657.631382
1.0,79,4663.569673
1.0,108,4672.418118
1.0,152,4684.154402
1.0,164,4697.419835
1.0,177,4711.086138
1.0,46,4714.726308
0.0,37,4717.52576
1.0,154,4729.209934
1.0,61,4733.866943
1.0,84,4739.930384
1.0,114,4748.050534
1.0,192,4763.330598
1.0,93,4770.551536
1.0,198,4786.220741
1.0,320,4810.919951
0.0,24,4812.714514
0.0,30,4814.958574
1.0,67,4819.927512
1.0,47,4823.419146
1.0,31,4825.724238
1.0,92,4832.500529
1.0,148,4843.619506
1.0,241,4861.33019
1.0,232,4878.181674
1.0,331,4902.75694
1.0,84,4908.769606
0.0,44,4911.901941
1.0,26,4913.764781
1.0,55,4917.722068
1.0,50,4921.284735
1.0,76,4926.951285
1.0,79,4933.628034
1.0,129,4943.758209
1.0,171,4957.568537
1.0,188,4971.868935
0.0,77,4977.803783
0.0,26,4979.911254
1.0,69,4985.489717
1.0,60,4990.007789
1.0,45,4993.381186
1.0,78,4999.26766
1.0,42,5002.715289
1.0,72,5008.521603
1.0,267,5029.025637
1.0,178,5042.758101
0.0,19,5044.193102
0.0,37,5046.967052
1.0,36,5049.653473
1.0,50,5053.514121
1.0,38,5056.566826
1.0,155,5067.837395
1.0,249,5085.809302
1.0,165,5097.812312
1.0,178,5111.765078
1.0,381,5141.612368
1.0,88,5148.470344
0.0,18,5149.99415
1.0,121,5159.618212
1.0,63,5164.370786
1.0,82,5170.512486
1.0,73,5175.94803
1.0,174,5189.365178
1.0,70,5194.507617
1.0,176,5207.193034
1.0,290,5228.014757
0.0,39,5230.83222
0.0,37,5233.495095
1.0,97,5240.490891
1.0,47,5244.000751
1.0,44,5247.350259
1.0,178,5260.179646
1.0,73,5265.285061
1.0,109,5272.887312
1.0,295,5293.548926
1.0,128,5302.554357
1.0,34,5304.958081
0.0,55,5308.84003
1.0,65,5313.4634
1.0,51,5317.102992
1.0,43,5320.172359
1.0,190,5333.728668
1.0,187,5347.492653
1.0,152,5358.248967
1.0,190,5371.642669
1.0,160,5383.042935
1.0,75,5388.428563
0.0,38,5391.156356
1.0,76,5396.598703
1.0,64,5401.187392
1.0,38,5403.910419
1.0,118,5412.417666
1.0,150,5423.200975
1.0,89,5429.674858
1.0,413,5459.364581
1.0,120,5467.798701
1.0,65,5472.525947
0.0,19,5473.96296
1.0,40,5477.329128
1.0,47,5481.159085
1.0,41,5484.381353
1.0,103,5492.374586
1.0,87,5499.401729
1.0,131,5509.226621
1.0,261,5530.599905
1.0,259,5551.50593
0.0,12,5552.443174
0.0,34,5555.208466
1.0,159,5568.558088
1.0,130,5579.4053
1.0,62,5584.354932
1.0,107,5592.688021
1.0,70,5598.10768
1.0,213,5615.074548
1.0,118,5624.0137
1.0,261,5643.572857
1.0,47,5647.108594
0.0,8,5647.709498
1.0,28,5649.8198
1.0,59,5654.240679
1.0,30,5656.974557
1.0,90,5663.857534
1.0,77,5669.926601
1.0,68,5674.902312
1.0,100,5682.041912
1.0,351,5706.964734
1.0,48,5710.394727
0.0,49,5713.871235
1.0,30,5716.006685
1.0,52,5719.703575
1.0,60,5723.96785
1.0,117,5732.300377
1.0,129,5741.495427
1.0,83,5747.604595
1.0,161,5759.351983
1.0,263,5777.663361
0.0,28,5779.625292
0.0,46,5782.85012
1.0,62,5787.2189
1.0,49,5790.678475
1.0,36,5793.226744
1.0,66,5797.893272
1.0,72,5802.986786
1.0,61,5807.322587
1.0,177,5819.886708
1.0,108,5827.603666
1.0,37,5830.265994
0.0,39,5833.066593
1.0,61,5837.49163
1.0,46,5840.90062
1.0,73,5846.327993
1.0,114,5854.666785
1.0,40,5857.480886
1.0,105,5864.821931
1.0,112,5872.930183
1.0,134,5882.759065
0.0,24,5884.527642
0.0,32,5886.891063
1.0,24,5888.673561
1.0,38,5891.614382
1.0,35,5894.216779
1.0,153,5905.690835
1.0,162,5917.888648
1.0,121,5926.705407
1.0,268,5946.344631
1.0,114,5954.680866
1.0,49,5958.310373
0.0,39,5961.195028
1.0,28,5963.266763
1.0,54,5967.199053
1.0,32,5969.644016
1.0,98,5977.165808
1.0,42,5980.36493
1.0,74,5985.865465
1.0,125,5995.021939
1.0,165,6007.205159
0.0,27,6009.215724
0.0,47,6012.686958
1.0,110,6021.344169
