# {"t_start": 1614139248.2566369, "env_id": "Half-Cheetah-RM2-v0"} 
r,l,t
-552.477204,1000,7.043014
-587.45455,1000,11.657784
-591.722881,1000,16.166842
-596.058773,1000,20.52845
-598.723324,1000,24.870659
-568.608357,1000,29.200906
-599.988861,1000,33.643472
-587.767177,1000,37.980236
-599.999991,1000,42.314465
-599.99994,1000,46.653989
-599.999939,1000,51.102095
-598.464501,1000,55.500182
-593.184738,1000,59.829221
-599.997276,1000,64.117512
-598.763094,1000,69.07359
-599.625358,1000,73.63074
-565.481951,1000,78.14349
-599.946632,1000,82.724921
-582.736892,1000,87.498499
-592.438056,1000,92.261223
-599.997046,1000,97.016953
-599.951021,1000,101.775553
-599.999934,1000,106.434581
-599.319009,1000,111.01947
-588.434284,1000,115.683143
-590.71664,1000,120.681204
-599.984675,1000,125.944071
-576.459384,1000,130.458958
-599.999997,1000,135.138246
-599.916464,1000,139.803174
-599.336094,1000,144.518267
-600.0,1000,149.150411
-599.999987,1000,153.839117
-599.974697,1000,158.52072
-599.999953,1000,163.230781
-599.906838,1000,168.008673
-583.95272,1000,172.767383
-583.206718,1000,177.492167
-585.289711,1000,182.28862
-599.925247,1000,187.016682
-599.931037,1000,191.719914
-599.999989,1000,196.420599
-600.0,1000,201.165126
-599.977876,1000,205.825597
-599.999993,1000,210.602287
-597.033788,1000,215.304704
-599.881725,1000,220.033411
-599.771049,1000,224.675517
-599.703268,1000,229.669698
-599.925343,1000,234.464446
-599.981776,1000,239.276036
-599.900669,1000,244.052102
-590.287893,1000,248.932982
-587.803712,1000,253.930941
-587.815478,1000,258.954868
-598.034345,1000,263.827364
-599.998919,1000,268.826078
-599.905091,1000,273.617738
-591.131513,1000,279.204189
-599.991575,1000,284.879908
-597.362683,1000,290.634823
-598.890922,1000,296.262357
-599.998427,1000,301.908248
-588.938257,1000,308.039097
-600.0,1000,314.385144
-599.999917,1000,320.540619
-583.268465,1000,326.567143
-599.999674,1000,332.181068
-598.433432,1000,338.069085
-599.999999,1000,343.783242
-599.920367,1000,349.629814
-599.995868,1000,355.365004
-598.050672,1000,361.415681
-599.081338,1000,367.112415
-597.61682,1000,372.759659
-596.82668,1000,378.484001
-576.681841,1000,384.745647
-599.999875,1000,390.352666
-599.997942,1000,396.130904
-597.752008,1000,401.773519
-599.378754,1000,407.555792
-599.999968,1000,413.190995
-599.999953,1000,419.071883
711.872753,491,421.79532
-599.360044,1000,427.006622
-591.631026,1000,432.179046
-599.984081,1000,437.913596
-585.040092,1000,442.697624
-599.999998,1000,448.304841
-599.954537,1000,453.990524
-593.710919,1000,459.163096
-599.982878,1000,463.969137
-599.896969,1000,469.232078
-585.062311,1000,474.412383
-595.473252,1000,480.039385
-600.0,1000,485.598468
-581.956366,1000,490.717093
-599.999397,1000,496.546596
-599.703048,1000,502.307403
-599.455844,1000,507.882003
-596.699594,1000,513.932631
-599.920141,1000,519.670358
-599.999996,1000,525.545541
-598.869831,1000,531.259881
-598.210511,1000,537.012214
-598.698707,1000,542.605553
-600.0,1000,548.332363
-579.176585,1000,553.932607
-595.977809,1000,559.74338
-600.0,1000,565.28665
-599.89722,1000,571.138049
-580.474975,1000,576.774207
-599.814392,1000,582.637131
-599.970938,1000,588.445224
-589.887196,1000,595.021075
-599.991906,1000,600.963974
-577.749532,1000,607.021234
-599.98213,1000,612.917034
-599.744945,1000,618.870814
-599.999999,1000,624.492633
-599.8697,1000,630.490493
-592.778716,1000,636.162745
-599.999999,1000,642.014243
-598.377152,1000,647.659728
-599.999455,1000,653.547476
-588.139472,1000,659.198931
720.989357,474,661.97061
-589.517923,1000,667.952407
-586.849259,1000,673.709307
-599.662898,1000,679.75856
-599.916185,1000,685.515321
-600.0,1000,691.518373
-599.995272,1000,697.247596
-591.44266,1000,703.280509
-599.888355,1000,709.085511
-598.101126,1000,715.043859
-600.0,1000,720.728636
-599.895559,1000,726.866989
-599.85226,1000,732.695806
-599.999757,1000,738.837797
-598.900151,1000,744.596462
-600.0,1000,750.726761
-600.0,1000,756.599746
-587.404259,1000,762.834607
-599.721531,1000,768.817862
-588.458014,1000,774.997011
-575.395479,1000,780.859959
-597.144291,1000,786.98291
-599.999995,1000,792.842021
-599.913489,1000,799.074776
-599.934518,1000,804.965103
-598.768595,1000,811.11664
-600.0,1000,816.990802
-599.902152,1000,823.490462
-599.407991,1000,829.531982
-600.0,1000,835.883832
-592.362628,1000,842.09727
-599.99953,1000,848.623403
-598.940999,1000,855.052415
-599.996282,1000,861.881327
-599.999316,1000,868.26263
-600.0,1000,875.124231
-599.321363,1000,881.686714
-582.702485,1000,888.556805
-599.960599,1000,894.98409
-599.901584,1000,901.872992
-599.999837,1000,908.465189
-599.823203,1000,915.454087
-588.838173,1000,922.065715
-598.062827,1000,929.232363
-600.0,1000,935.868587
-599.999959,1000,942.760722
-599.958341,1000,949.253145
-587.431739,1000,956.156799
-600.0,1000,962.639054
-599.964517,1000,969.535939
-600.0,1000,976.175868
-599.8702,1000,983.139702
-599.955792,1000,989.71763
-599.823066,1000,996.638476
-599.896577,1000,1003.264372
-599.8502,1000,1010.363453
-599.999832,1000,1017.08443
-599.995626,1000,1024.113611
-587.420403,1000,1030.722754
-599.999645,1000,1037.691342
-570.11453,1000,1044.333007
-599.999998,1000,1051.371768
-599.792374,1000,1058.052687
-599.930572,1000,1065.080255
-597.334558,1000,1071.807701
-597.403292,1000,1078.971156
-599.84661,1000,1085.705589
-596.140453,1000,1093.26008
-599.999994,1000,1100.041418
-599.999998,1000,1107.190332
-596.605991,1000,1112.870678
-599.664241,1000,1119.345332
-597.258075,1000,1125.53167
-599.999754,1000,1132.02243
-599.931855,1000,1137.407615
-595.93622,1000,1143.876632
-595.615184,1000,1149.270401
-599.987259,1000,1155.444681
-599.925678,1000,1161.485425
-599.952033,1000,1168.20355
-599.684504,1000,1174.369065
-600.0,1000,1180.943598
-599.631523,1000,1187.067012
-597.898837,1000,1193.570137
-599.900506,1000,1199.442516
-599.999991,1000,1205.799268
-591.390245,1000,1211.828782
-598.611968,1000,1217.549501
-599.958802,1000,1223.746359
-593.53596,1000,1230.346031
-594.340044,1000,1236.572508
-600.0,1000,1243.2353
-600.0,1000,1249.436906
-588.502346,1000,1256.071156
-600.0,1000,1261.833177
-600.0,1000,1267.822919
-600.0,1000,1273.893297
-599.998192,1000,1280.492244
-584.596432,1000,1286.74544
-599.996246,1000,1293.434189
-597.886723,1000,1299.612201
-595.564364,1000,1306.26435
-592.531994,1000,1312.49294
-599.793399,1000,1318.990402
-593.805764,1000,1325.207688
-593.46199,1000,1332.138821
-596.859141,1000,1338.386977
-599.995692,1000,1345.154199
-599.998973,1000,1351.411698
-595.645193,1000,1358.241581
-599.999955,1000,1364.595128
-597.316251,1000,1371.412049
-599.993179,1000,1378.262923
-599.569737,1000,1385.645644
-599.999752,1000,1391.925356
-599.375249,1000,1398.57696
-599.921972,1000,1404.843468
-600.0,1000,1411.640924
-599.999896,1000,1417.948422
-599.821511,1000,1424.667204
-600.0,1000,1430.939544
-584.766694,1000,1437.625939
-600.0,1000,1443.910538
-599.923402,1000,1450.60619
-588.688433,1000,1456.734984
-599.918004,1000,1463.413911
-599.906145,1000,1469.636485
-600.0,1000,1476.335845
-584.919046,1000,1482.596202
-585.436658,1000,1489.50556
-600.0,1000,1495.871399
-597.602547,1000,1503.12021
-569.507977,1000,1509.544672
-595.311022,1000,1516.483785
-599.914473,1000,1523.465422
-599.993614,1000,1530.923007
-599.999997,1000,1537.25866
-599.999517,1000,1544.124628
-599.883775,1000,1550.351148
-599.999369,1000,1557.108802
-599.90065,1000,1563.4011
-599.99995,1000,1570.315956
823.122056,303,1572.2245
-599.694847,1000,1579.235102
756.033133,415,1581.771704
-600.0,1000,1588.024395
-599.995342,1000,1594.88
-600.0,1000,1601.16767
-588.216165,1000,1608.016786
-599.968677,1000,1614.355602
-598.057846,1000,1621.459123
-594.648528,1000,1627.930667
-599.261064,1000,1634.89324
-599.997683,1000,1641.268055
-599.755504,1000,1648.21525
-599.99983,1000,1654.609213
-600.0,1000,1661.762156
-599.998745,1000,1668.528463
-599.951763,1000,1676.007663
-600.0,1000,1682.709957
-598.353482,1000,1690.233735
-599.27145,1000,1697.229256
-600.0,1000,1704.782182
-599.801366,1000,1711.78183
-595.584677,1000,1719.23647
-599.999774,1000,1726.389017
-592.282566,1000,1734.187463
-599.999957,1000,1741.220316
-563.234457,1000,1748.840461
-599.968615,1000,1755.89981
-599.999998,1000,1763.524076
-600.0,1000,1770.447243
-599.396541,1000,1777.981103
683.410893,532,1782.051462
-599.999999,1000,1789.492743
-600.0,1000,1796.393963
-600.0,1000,1803.88989
-600.0,1000,1810.756187
-594.709708,1000,1818.562963
-600.0,1000,1825.542774
-599.999999,1000,1833.162888
-599.822717,1000,1840.227649
-599.851313,1000,1847.821562
-581.209631,1000,1854.76884
-599.999994,1000,1862.308662
-599.998623,1000,1869.298136
-599.992684,1000,1876.905243
-599.998999,1000,1883.842422
-597.968091,1000,1891.381866
-578.632797,1000,1898.442538
-599.99527,1000,1906.038543
-599.820307,1000,1913.117772
-599.899925,1000,1920.816999
-600.0,1000,1927.904856
-596.229213,1000,1935.453966
-599.928832,1000,1942.330138
-577.113877,1000,1950.043287
-599.985829,1000,1957.041256
-599.999741,1000,1964.623558
-599.999975,1000,1971.585038
-600.0,1000,1979.20752
-599.996733,1000,1986.202595
-597.985285,1000,1993.952114
