# {"t_start": 1614889648.8101423, "env_id": "Craft-single-M5-v0"} 
r,l,t
0.0,1000,0.034498
0.0,1000,0.06783
0.0,1000,0.100533
0.0,1000,0.133465
0.0,1000,0.166365
0.0,1000,0.199276
0.0,1000,0.232375
0.0,1000,0.268953
0.0,1000,0.302128
0.0,1000,0.335107
0.0,1000,0.368405
0.0,1000,0.401546
0.0,1000,0.434793
0.0,1000,0.467818
0.0,1000,0.500868
0.0,1000,0.533998
0.0,1000,0.567078
0.0,1000,0.599834
0.0,1000,0.632937
0.0,1000,0.665676
0.0,1000,0.698642
0.0,1000,0.731438
0.0,1000,0.7643
0.0,1000,0.797236
0.0,1000,0.830237
0.0,1000,0.863171
0.0,1000,0.896141
0.0,1000,0.929003
0.0,1000,0.962071
0.0,1000,0.994898
0.0,1000,1.027926
0.0,1000,1.060916
0.0,1000,1.093885
0.0,1000,1.126726
0.0,1000,1.159527
0.0,1000,1.192439
0.0,1000,1.22546
0.0,1000,1.258395
0.0,1000,1.291379
0.0,1000,1.324233
0.0,1000,1.357303
0.0,1000,1.390204
0.0,1000,1.423108
0.0,1000,1.456154
0.0,1000,1.489189
0.0,1000,1.522253
0.0,1000,1.555408
0.0,1000,1.588537
0.0,1000,1.621494
0.0,1000,1.654823
0.0,1000,1.688013
0.0,1000,1.721139
0.0,1000,1.754274
0.0,1000,1.787529
0.0,1000,1.820634
0.0,1000,1.853943
0.0,1000,1.887021
0.0,1000,1.92016
0.0,1000,1.953119
0.0,1000,1.986241
0.0,1000,2.019353
0.0,1000,2.052576
0.0,1000,2.085714
0.0,1000,2.118807
0.0,1000,2.151959
0.0,1000,2.185089
0.0,1000,2.218136
0.0,1000,2.254006
0.0,1000,2.287516
0.0,1000,2.320786
0.0,1000,2.354156
0.0,1000,2.387468
0.0,1000,2.420667
0.0,1000,2.453643
0.0,1000,2.486986
0.0,1000,2.520045
0.0,1000,2.553094
0.0,1000,2.586303
0.0,1000,2.619286
0.0,1000,2.652455
0.0,1000,2.686048
0.0,1000,2.719281
0.0,1000,2.752403
0.0,1000,2.785496
0.0,1000,2.818815
0.0,1000,2.851981
0.0,1000,2.885122
0.0,1000,2.918268
0.0,1000,2.951233
0.0,1000,2.984357
0.0,1000,3.017617
0.0,1000,3.050812
0.0,1000,3.084079
0.0,1000,3.11709
0.0,1000,3.150208
0.0,1000,3.18325
0.0,1000,3.216327
0.0,1000,3.249537
0.0,1000,3.282713
0.0,1000,3.315943
0.0,1000,3.349022
0.0,1000,3.382107
0.0,1000,3.41532
0.0,1000,3.448439
0.0,1000,3.481477
0.0,1000,3.514839
0.0,1000,3.54793
0.0,1000,3.580867
0.0,1000,3.613909
0.0,1000,3.646918
0.0,1000,3.680207
0.0,1000,3.713558
0.0,1000,3.746563
0.0,1000,3.779574
0.0,1000,3.812765
0.0,1000,3.845907
0.0,1000,3.878901
0.0,1000,3.912096
0.0,1000,3.945196
0.0,1000,3.978363
0.0,1000,4.011461
0.0,1000,4.044731
0.0,1000,4.077854
0.0,1000,4.111113
0.0,1000,4.144301
0.0,1000,4.177504
0.0,1000,4.210514
0.0,1000,4.243698
0.0,1000,4.27658
0.0,1000,4.309929
0.0,1000,4.343184
0.0,1000,4.376307
0.0,1000,4.409415
0.0,1000,4.442627
0.0,1000,4.47581
1.0,974,4.508367
0.0,1000,4.541394
0.0,1000,4.574184
0.0,1000,4.607072
0.0,1000,4.64009
0.0,1000,4.673199
0.0,1000,4.706144
0.0,1000,4.73941
0.0,1000,4.772321
0.0,1000,4.80533
0.0,1000,4.83834
0.0,1000,4.874365
0.0,1000,4.907699
0.0,1000,4.940813
0.0,1000,4.973795
0.0,1000,5.007144
0.0,1000,5.040152
0.0,1000,5.073075
0.0,1000,5.1062
0.0,1000,5.139402
0.0,1000,5.172325
0.0,1000,5.205225
0.0,1000,5.238107
0.0,1000,5.271114
0.0,1000,5.303966
0.0,1000,5.337273
0.0,1000,5.370268
0.0,1000,5.403207
0.0,1000,5.436321
0.0,1000,5.469203
0.0,1000,5.502131
0.0,1000,5.535159
0.0,1000,5.567931
0.0,1000,5.60089
0.0,1000,5.633982
0.0,1000,5.66697
0.0,1000,5.700021
0.0,1000,5.733327
0.0,1000,5.766632
0.0,1000,5.799837
0.0,1000,5.832865
0.0,1000,5.865856
0.0,1000,5.899098
0.0,1000,5.932187
0.0,1000,5.965328
0.0,1000,5.998517
0.0,1000,6.031682
0.0,1000,6.064794
0.0,1000,6.097976
0.0,1000,6.131024
0.0,1000,6.164308
0.0,1000,6.197427
0.0,1000,6.230479
0.0,1000,6.26364
0.0,1000,6.296734
0.0,1000,6.329985
0.0,1000,6.363221
0.0,1000,6.396349
0.0,1000,6.429318
0.0,1000,6.463044
0.0,1000,6.49614
0.0,1000,6.52927
0.0,1000,6.562539
0.0,1000,6.595606
0.0,1000,6.628628
0.0,1000,6.66195
0.0,1000,6.695093
0.0,1000,6.728219
0.0,1000,6.761494
0.0,1000,6.794477
0.0,1000,6.827596
0.0,1000,6.860736
0.0,1000,6.893795
0.0,1000,6.926928
0.0,1000,6.960265
0.0,1000,6.993445
0.0,1000,7.026688
0.0,1000,7.059812
0.0,1000,7.093089
0.0,1000,7.126468
0.0,1000,7.159786
0.0,1000,7.193033
0.0,1000,7.226023
0.0,1000,7.259213
0.0,1000,7.292319
0.0,1000,7.325572
0.0,1000,7.358717
0.0,1000,7.391968
0.0,1000,7.425266
0.0,1000,7.458308
0.0,1000,7.491359
0.0,1000,7.524704
0.0,1000,7.557917
0.0,1000,7.591229
0.0,1000,7.624568
0.0,1000,7.657706
0.0,1000,7.690902
0.0,1000,7.724061
0.0,1000,7.757208
0.0,1000,7.790634
0.0,1000,7.823751
1.0,821,7.851238
0.0,1000,7.884415
0.0,1000,7.917575
0.0,1000,7.950832
0.0,1000,7.984166
0.0,1000,8.017304
0.0,1000,8.05049
0.0,1000,8.083495
0.0,1000,8.116684
0.0,1000,8.149848
0.0,1000,8.183159
0.0,1000,8.216257
0.0,1000,8.252458
0.0,1000,8.285895
0.0,1000,8.319395
0.0,1000,8.352547
0.0,1000,8.38571
0.0,1000,8.418864
0.0,1000,8.451864
0.0,1000,8.485163
0.0,1000,8.518179
0.0,1000,8.55103
0.0,1000,8.584265
0.0,1000,8.61739
0.0,1000,8.650864
0.0,1000,8.68392
0.0,1000,8.716951
0.0,1000,8.749972
0.0,1000,8.783179
0.0,1000,8.816272
0.0,1000,8.849462
0.0,1000,8.882476
0.0,1000,8.918955
0.0,1000,8.951948
0.0,1000,8.985095
0.0,1000,9.018182
0.0,1000,9.051444
0.0,1000,9.084507
0.0,1000,9.11758
0.0,1000,9.150424
1.0,995,9.183484
0.0,1000,9.216821
0.0,1000,9.249982
0.0,1000,9.283178
0.0,1000,9.31617
0.0,1000,9.349149
0.0,1000,9.3821
0.0,1000,9.41547
0.0,1000,9.448541
0.0,1000,9.481859
0.0,1000,9.514821
0.0,1000,9.547821
0.0,1000,9.580833
0.0,1000,9.614144
0.0,1000,9.647225
0.0,1000,9.680291
0.0,1000,9.713253
0.0,1000,9.746484
0.0,1000,9.779625
0.0,1000,9.812909
0.0,1000,9.845878
0.0,1000,9.878949
0.0,1000,9.91211
0.0,1000,9.945217
0.0,1000,9.978198
0.0,1000,10.011327
0.0,1000,10.044553
0.0,1000,10.077615
0.0,1000,10.110776
0.0,1000,10.143897
0.0,1000,10.177255
0.0,1000,10.210313
0.0,1000,10.243481
0.0,1000,10.276675
0.0,1000,10.309952
0.0,1000,10.34313
0.0,1000,10.376357
0.0,1000,10.409557
0.0,1000,10.442911
0.0,1000,10.475933
0.0,1000,10.509132
0.0,1000,10.542218
0.0,1000,10.575376
0.0,1000,10.608511
0.0,1000,10.64187
0.0,1000,10.675046
0.0,1000,10.708219
0.0,1000,10.741376
0.0,1000,10.774608
0.0,1000,10.807772
0.0,1000,10.841161
0.0,1000,10.874162
0.0,1000,10.90724
0.0,1000,10.940343
0.0,1000,10.973569
0.0,1000,11.006678
0.0,1000,11.039996
0.0,1000,11.073309
0.0,1000,11.106287
0.0,1000,11.139463
0.0,1000,11.172647
0.0,1000,11.205715
0.0,1000,11.238855
0.0,1000,11.272126
0.0,1000,11.305218
0.0,1000,11.338447
0.0,1000,11.371744
0.0,1000,11.404915
0.0,1000,11.437947
0.0,1000,11.471199
0.0,1000,11.504282
0.0,1000,11.53741
0.0,1000,11.570308
0.0,1000,11.603353
0.0,1000,11.636642
0.0,1000,11.670081
0.0,1000,11.703277
0.0,1000,11.736554
0.0,1000,11.769708
0.0,1000,11.803212
0.0,1000,11.836387
0.0,1000,11.869753
0.0,1000,11.902977
0.0,1000,11.936066
0.0,1000,11.969362
0.0,1000,12.002391
0.0,1000,12.03563
