episodes,steps,total reward
10,10000,1.0
20,20000,0.0
30,30000,0.0
40,40000,0.0
50,50000,0.0
60,60000,0.0
70,70000,0.0
80,80000,0.0
90,90000,2.0
100,100000,0.0
110,110000,0.0
120,120000,0.0
130,130000,0.0
140,140000,0.0
150,150000,0.0
160,160000,0.0
170,170000,0.0
180,180000,0.0
190,190000,0.0
200,200000,0.0
210,210000,0.0
220,220000,1.0
230,230000,1.0
241,240000,1.0
251,250000,0.0
261,260000,1.0
271,270000,0.0
281,280000,0.0
291,290000,0.0
301,300000,0.0
311,310000,0.0
321,320000,0.0
331,330000,0.0
341,340000,0.0
351,350000,1.0
361,360000,0.0
371,370000,0.0
381,380000,1.0
391,390000,0.0
401,400000,1.0
411,410000,1.0
421,420000,0.0
431,430000,0.0
441,440000,0.0
451,450000,0.0
461,460000,0.0
471,470000,0.0
482,480000,1.0
492,490000,1.0
502,500000,0.0
512,510000,0.0
522,520000,1.0
533,530000,1.0
543,540000,1.0
554,550000,1.0
564,560000,0.0
574,570000,0.0
584,580000,0.0
594,590000,0.0
604,600000,0.0
614,610000,1.0
624,620000,1.0
634,630000,0.0
645,640000,1.0
655,650000,2.0
665,660000,0.0
675,670000,0.0
686,680000,1.0
696,690000,1.0
706,700000,2.0
716,710000,0.0
727,720000,1.0
737,730000,2.0
747,740000,0.0
758,750000,2.0
768,760000,0.0
778,770000,1.0
788,780000,0.0
798,790000,0.0
810,800000,4.0
821,810000,3.0
831,820000,1.0
841,830000,0.0
852,840000,1.0
862,850000,3.0
872,860000,0.0
883,870000,2.0
894,880000,3.0
904,890000,1.0
915,900000,2.0
926,910000,2.0
936,920000,1.0
946,930000,1.0
958,940000,4.0
969,950000,2.0
980,960000,1.0
990,970000,1.0
1001,980000,2.0
1012,990000,2.0
1022,1000000,1.0
1033,1010000,2.0
1043,1020000,1.0
1055,1030000,4.0
1065,1040000,2.0
1075,1050000,1.0
1086,1060000,3.0
1097,1070000,1.0
1108,1080000,3.0
1119,1090000,3.0
1130,1100000,4.0
1141,1110000,1.0
1152,1120000,4.0
1163,1130000,2.0
1173,1140000,2.0
1184,1150000,2.0
1196,1160000,4.0
1206,1170000,2.0
1218,1180000,5.0
1229,1190000,3.0
1241,1200000,4.0
1252,1210000,3.0
1262,1220000,3.0
1274,1230000,3.0
1286,1240000,5.0
1296,1250000,1.0
1309,1260000,7.0
1320,1270000,2.0
1331,1280000,2.0
1343,1290000,5.0
1355,1300000,5.0
1366,1310000,3.0
1378,1320000,4.0
1389,1330000,3.0
1400,1340000,2.0
1411,1350000,4.0
1424,1360000,6.0
1436,1370000,6.0
1447,1380000,4.0
1459,1390000,5.0
1470,1400000,2.0
1481,1410000,5.0
1494,1420000,5.0
1506,1430000,3.0
1517,1440000,4.0
1529,1450000,6.0
1541,1460000,5.0
1554,1470000,6.0
1566,1480000,5.0
1580,1490000,8.0
1592,1500000,5.0
1604,1510000,5.0
1618,1520000,7.0
1629,1530000,3.0
1640,1540000,3.0
1655,1550000,9.0
1668,1560000,7.0
1679,1570000,4.0
1692,1580000,6.0
1705,1590000,8.0
1719,1600000,6.0
1732,1610000,6.0
1742,1620000,3.0
1755,1630000,5.0
1769,1640000,8.0
1785,1650000,11.0
1797,1660000,5.0
1810,1670000,7.0
1822,1680000,5.0
1836,1690000,6.0
1852,1700000,10.0
1864,1710000,8.0
1876,1720000,4.0
1889,1730000,7.0
1903,1740000,10.0
1917,1750000,9.0
1931,1760000,11.0
1945,1770000,9.0
1959,1780000,9.0
1973,1790000,8.0
1986,1800000,8.0
1999,1810000,7.0
2011,1820000,5.0
2027,1830000,11.0
2040,1840000,7.0
2058,1850000,14.0
2074,1860000,11.0
2088,1870000,8.0
2105,1880000,11.0
2122,1890000,13.0
2137,1900000,13.0
2152,1910000,9.0
2167,1920000,11.0
2184,1930000,11.0
2199,1940000,9.0
2216,1950000,11.0
2231,1960000,9.0
2247,1970000,15.0
2265,1980000,14.0
2281,1990000,13.0
2296,2000000,11.0
