# {"t_start": 1598492854.591212, "env_id": "Craft-M2-v0"} 
r,l,t
0.0,1000,0.073103
0.0,1000,0.148818
1.0,363,0.175007
0.0,1000,0.246207
0.0,1000,0.317152
0.0,1000,0.388614
0.0,1000,0.460219
0.0,1000,0.531794
0.0,1000,0.603583
0.0,1000,0.675374
0.0,1000,0.747617
0.0,1000,0.81975
0.0,1000,0.892014
0.0,1000,0.963319
0.0,1000,1.034745
0.0,1000,1.106708
1.0,885,1.169984
0.0,1000,1.241401
0.0,1000,1.313102
0.0,1000,1.384381
1.0,969,1.453432
0.0,1000,1.524622
1.0,442,1.556203
0.0,1000,1.627555
0.0,1000,1.699286
0.0,1000,1.771068
0.0,1000,1.842446
0.0,1000,1.91431
0.0,1000,1.985681
0.0,1000,2.056944
1.0,704,2.107592
0.0,1000,2.181924
0.0,1000,2.254593
0.0,1000,2.32614
0.0,1000,2.397602
0.0,1000,2.46899
0.0,1000,2.541122
0.0,1000,2.613035
0.0,1000,2.684921
0.0,1000,2.756826
0.0,1000,2.828774
0.0,1000,2.900397
1.0,513,2.937059
1.0,786,2.993037
0.0,1000,3.064546
0.0,1000,3.136436
0.0,1000,3.208867
0.0,1000,3.280444
0.0,1000,3.352031
0.0,1000,3.423484
0.0,1000,3.495138
0.0,1000,3.566225
1.0,209,3.581259
0.0,1000,3.652473
0.0,1000,3.724351
0.0,1000,3.795801
0.0,1000,3.867567
0.0,1000,3.938932
0.0,1000,4.010312
0.0,1000,4.081504
1.0,894,4.145513
0.0,1000,4.216976
1.0,762,4.271592
1.0,640,4.317722
0.0,1000,4.389431
0.0,1000,4.461016
0.0,1000,4.532539
0.0,1000,4.60445
0.0,1000,4.676129
0.0,1000,4.751145
0.0,1000,4.823309
0.0,1000,4.895626
0.0,1000,4.967949
0.0,1000,5.040123
0.0,1000,5.112614
0.0,1000,5.184994
0.0,1000,5.257592
0.0,1000,5.330004
0.0,1000,5.404332
0.0,1000,5.476804
0.0,1000,5.549013
0.0,1000,5.620848
0.0,1000,5.692526
0.0,1000,5.764789
0.0,1000,5.837038
0.0,1000,5.909037
0.0,1000,5.981903
0.0,1000,6.05421
0.0,1000,6.126821
0.0,1000,6.198939
1.0,794,6.255944
1.0,582,6.297986
0.0,1000,6.369901
0.0,1000,6.44083
0.0,1000,6.512488
0.0,1000,6.584187
0.0,1000,6.655627
0.0,1000,6.72721
0.0,1000,6.79932
0.0,1000,6.871208
0.0,1000,6.943013
0.0,1000,7.015001
1.0,183,7.028342
0.0,1000,7.099287
0.0,1000,7.170744
0.0,1000,7.242181
0.0,1000,7.314384
0.0,1000,7.387122
0.0,1000,7.459031
0.0,1000,7.530803
0.0,1000,7.602026
0.0,1000,7.673127
0.0,1000,7.74447
0.0,1000,7.816044
1.0,663,7.863755
0.0,1000,7.935768
0.0,1000,8.007807
0.0,1000,8.079011
0.0,1000,8.154399
0.0,1000,8.226847
0.0,1000,8.298253
0.0,1000,8.370611
1.0,923,8.437446
1.0,650,8.484359
0.0,1000,8.556416
0.0,1000,8.6294
0.0,1000,8.702394
0.0,1000,8.774516
0.0,1000,8.846547
0.0,1000,8.918568
1.0,792,8.975458
0.0,1000,9.054319
0.0,1000,9.13341
0.0,1000,9.21233
0.0,1000,9.291376
0.0,1000,9.369986
0.0,1000,9.449507
0.0,1000,9.528352
0.0,1000,9.607186
0.0,1000,9.686066
0.0,1000,9.764647
0.0,1000,9.843423
0.0,1000,9.92311
1.0,203,9.939414
0.0,1000,10.019353
0.0,1000,10.102027
0.0,1000,10.185176
0.0,1000,10.264834
0.0,1000,10.343429
0.0,1000,10.421844
0.0,1000,10.500631
1.0,967,10.57623
0.0,1000,10.648772
0.0,1000,10.720406
0.0,1000,10.791845
0.0,1000,10.863586
0.0,1000,10.935331
0.0,1000,11.007176
0.0,1000,11.079718
0.0,1000,11.152381
0.0,1000,11.224725
0.0,1000,11.298865
0.0,1000,11.374298
0.0,1000,11.446119
0.0,1000,11.518416
0.0,1000,11.590537
0.0,1000,11.662564
0.0,1000,11.734712
0.0,1000,11.807312
0.0,1000,11.881494
0.0,1000,11.954057
0.0,1000,12.025719
0.0,1000,12.097442
0.0,1000,12.169653
0.0,1000,12.241857
0.0,1000,12.313732
0.0,1000,12.385392
0.0,1000,12.456991
0.0,1000,12.532183
0.0,1000,12.605152
1.0,846,12.666946
1.0,401,12.696423
0.0,1000,12.768624
0.0,1000,12.840864
0.0,1000,12.913307
0.0,1000,12.984757
0.0,1000,13.057211
0.0,1000,13.130816
0.0,1000,13.204895
0.0,1000,13.279522
0.0,1000,13.35175
0.0,1000,13.423838
0.0,1000,13.49643
0.0,1000,13.568576
1.0,808,13.627036
0.0,1000,13.699716
0.0,1000,13.773072
1.0,312,13.796099
0.0,1000,13.86848
0.0,1000,13.941259
0.0,1000,14.013896
