episodes,steps,total reward
10,10000,1.0
20,20000,0.0
31,30000,2.0
41,40000,1.0
51,50000,1.0
61,60000,1.0
72,70000,1.0
83,80000,3.0
93,90000,1.0
104,100000,1.0
114,110000,0.0
124,120000,0.0
134,130000,1.0
145,140000,3.0
156,150000,2.0
166,160000,1.0
176,170000,0.0
187,180000,2.0
198,190000,2.0
209,200000,2.0
220,210000,2.0
230,220000,0.0
241,230000,1.0
251,240000,0.0
261,250000,2.0
271,260000,0.0
281,270000,0.0
291,280000,1.0
302,290000,3.0
313,300000,3.0
324,310000,1.0
335,320000,3.0
345,330000,1.0
356,340000,3.0
367,350000,2.0
378,360000,1.0
389,370000,2.0
400,380000,2.0
410,390000,0.0
423,400000,4.0
434,410000,3.0
444,420000,0.0
454,430000,0.0
466,440000,3.0
476,450000,2.0
488,460000,3.0
498,470000,2.0
510,480000,3.0
520,490000,1.0
530,500000,0.0
541,510000,3.0
551,520000,0.0
562,530000,2.0
572,540000,2.0
583,550000,3.0
594,560000,3.0
605,570000,2.0
615,580000,2.0
626,590000,3.0
637,600000,2.0
648,610000,1.0
659,620000,5.0
670,630000,1.0
680,640000,1.0
692,650000,6.0
704,660000,4.0
715,670000,2.0
725,680000,0.0
735,690000,1.0
745,700000,3.0
757,710000,3.0
767,720000,1.0
778,730000,3.0
790,740000,3.0
800,750000,0.0
813,760000,4.0
824,770000,2.0
835,780000,4.0
846,790000,2.0
857,800000,2.0
869,810000,4.0
882,820000,6.0
894,830000,3.0
905,840000,2.0
916,850000,2.0
926,860000,1.0
937,870000,1.0
949,880000,4.0
959,890000,0.0
971,900000,3.0
983,910000,5.0
996,920000,6.0
1007,930000,3.0
1019,940000,3.0
1031,950000,2.0
1042,960000,3.0
1054,970000,4.0
1064,980000,1.0
1075,990000,4.0
1086,1000000,3.0
1097,1010000,1.0
1109,1020000,3.0
1120,1030000,4.0
1131,1040000,1.0
1144,1050000,6.0
1157,1060000,5.0
1168,1070000,1.0
1180,1080000,4.0
1191,1090000,4.0
1204,1100000,4.0
1215,1110000,2.0
1227,1120000,4.0
1239,1130000,3.0
1250,1140000,3.0
1262,1150000,4.0
1273,1160000,4.0
1284,1170000,6.0
1294,1180000,1.0
1306,1190000,3.0
1318,1200000,4.0
1330,1210000,5.0
1342,1220000,4.0
1354,1230000,5.0
1367,1240000,5.0
1379,1250000,4.0
1390,1260000,3.0
1401,1270000,4.0
1413,1280000,4.0
1425,1290000,5.0
1436,1300000,3.0
1448,1310000,4.0
1461,1320000,6.0
1472,1330000,1.0
1485,1340000,6.0
1497,1350000,4.0
1508,1360000,4.0
1522,1370000,7.0
1534,1380000,4.0
1545,1390000,3.0
1557,1400000,5.0
1568,1410000,3.0
1581,1420000,5.0
1594,1430000,5.0
1605,1440000,3.0
1617,1450000,3.0
1629,1460000,3.0
1640,1470000,2.0
1655,1480000,9.0
1668,1490000,6.0
1680,1500000,4.0
1694,1510000,7.0
1707,1520000,5.0
1718,1530000,2.0
1730,1540000,4.0
1743,1550000,4.0
1755,1560000,5.0
1766,1570000,3.0
1777,1580000,1.0
1791,1590000,7.0
1803,1600000,4.0
1815,1610000,6.0
1828,1620000,4.0
1840,1630000,5.0
1854,1640000,8.0
1866,1650000,5.0
1878,1660000,4.0
1890,1670000,5.0
1904,1680000,7.0
1915,1690000,2.0
1928,1700000,5.0
1942,1710000,7.0
1953,1720000,2.0
1965,1730000,2.0
1977,1740000,3.0
1990,1750000,4.0
2002,1760000,5.0
2013,1770000,2.0
2026,1780000,5.0
2037,1790000,5.0
2050,1800000,4.0
2064,1810000,8.0
2076,1820000,4.0
2088,1830000,5.0
2101,1840000,5.0
2114,1850000,6.0
2126,1860000,2.0
2139,1870000,5.0
2154,1880000,8.0
2167,1890000,5.0
2179,1900000,4.0
2194,1910000,8.0
2208,1920000,7.0
2224,1930000,8.0
2235,1940000,2.0
2247,1950000,4.0
2258,1960000,3.0
2271,1970000,5.0
2286,1980000,11.0
2302,1990000,8.0
2314,2000000,7.0
