# {"t_start": 1599692455.0423503, "env_id": "Office-single-v0"} 
r,l,t
0.0,4,0.002645
0.0,28,0.004431
0.0,41,0.006866
0.0,16,0.00783
0.0,6,0.008214
0.0,46,0.01094
0.0,17,0.011981
0.0,18,0.013037
0.0,6,0.013352
0.0,41,0.015351
0.0,45,0.017506
0.0,30,0.018949
0.0,34,0.020583
0.0,59,0.023425
0.0,19,0.024333
0.0,61,0.027258
0.0,35,0.028938
0.0,32,0.030509
0.0,84,0.034523
0.0,18,0.035407
0.0,12,0.036005
0.0,4,0.036223
0.0,99,0.0409
0.0,13,0.041545
0.0,39,0.043415
0.0,9,0.043867
0.0,12,0.044454
0.0,131,0.050653
0.0,107,0.055716
0.0,37,0.057502
0.0,11,0.058048
0.0,30,0.059488
0.0,94,0.063937
0.0,98,0.068599
0.0,64,0.071674
0.0,46,0.073868
0.0,116,0.079447
0.0,79,0.083225
0.0,126,0.089229
0.0,35,0.090919
0.0,33,0.0925
0.0,90,0.096944
0.0,86,0.101038
0.0,102,0.105863
0.0,151,0.113043
0.0,50,0.115426
0.0,119,0.121026
0.0,28,0.122373
0.0,266,0.134958
0.0,113,0.140318
0.0,26,0.141562
0.0,45,0.143713
0.0,59,0.146509
0.0,27,0.147808
0.0,43,0.149842
0.0,80,0.153625
0.0,29,0.155018
0.0,164,0.16279
0.0,19,0.163722
0.0,201,0.173234
0.0,123,0.179114
0.0,101,0.183886
0.0,433,0.204347
0.0,158,0.211841
0.0,14,0.212538
0.0,46,0.214767
0.0,107,0.219857
0.0,345,0.236091
0.0,244,0.250576
0.0,28,0.252025
0.0,9,0.25248
0.0,36,0.254212
0.0,255,0.26623
0.0,78,0.269961
0.0,50,0.272341
0.0,27,0.273641
0.0,63,0.27673
0.0,48,0.279003
0.0,313,0.293828
0.0,55,0.296476
0.0,154,0.303952
0.0,227,0.314661
0.0,73,0.31815
0.0,243,0.329603
0.0,57,0.332321
0.0,100,0.337073
0.0,35,0.338748
0.0,62,0.341693
1.0,111,0.346979
0.0,354,0.363626
0.0,64,0.366648
0.0,104,0.371581
0.0,218,0.381835
0.0,56,0.384522
0.0,82,0.388412
0.0,122,0.394201
0.0,22,0.39527
0.0,30,0.3967
0.0,76,0.400306
0.0,46,0.402508
0.0,5,0.402771
0.0,160,0.410275
0.0,57,0.412978
0.0,59,0.415777
0.0,39,0.417646
0.0,76,0.421261
0.0,72,0.424706
0.0,140,0.431301
0.0,41,0.433263
0.0,23,0.434371
0.0,6,0.434682
0.0,137,0.44116
0.0,132,0.447455
0.0,20,0.448435
0.0,182,0.456985
0.0,74,0.460495
0.0,248,0.472193
0.0,16,0.472978
0.0,2,0.4731
0.0,20,0.474067
0.0,46,0.476259
0.0,23,0.477368
0.0,77,0.481036
0.0,62,0.484265
0.0,108,0.489362
0.0,149,0.496416
0.0,333,0.512291
0.0,63,0.515316
1.0,185,0.52412
0.0,69,0.527397
1.0,262,0.53972
0.0,44,0.541844
0.0,107,0.546903
0.0,24,0.548066
0.0,16,0.548848
0.0,25,0.55004
1.0,343,0.566235
0.0,31,0.567731
0.0,119,0.573363
0.0,122,0.579124
0.0,12,0.579722
0.0,24,0.580878
0.0,127,0.586906
1.0,338,0.602831
0.0,33,0.604414
0.0,119,0.610024
0.0,23,0.611141
0.0,131,0.617384
1.0,175,0.625672
0.0,70,0.629021
0.0,57,0.631758
0.0,82,0.635645
1.0,267,0.648224
1.0,117,0.653752
1.0,488,0.676691
1.0,120,0.682384
0.0,72,0.685799
0.0,23,0.686918
0.0,186,0.695688
0.0,54,0.698279
1.0,164,0.706022
