# {"t_start": 1614835614.5180035, "env_id": "Office-v0"} 
r,l,t
0.0,13,0.00203
0.0,13,0.002581
0.0,51,0.004547
0.0,12,0.005052
0.0,50,0.006805
0.0,23,0.007622
0.0,2,0.007723
0.0,32,0.008844
0.0,12,0.009284
0.0,42,0.01077
0.0,30,0.011812
0.0,4,0.011977
0.0,28,0.012963
0.0,2,0.013067
0.0,16,0.013633
0.0,34,0.014808
0.0,15,0.015348
0.0,73,0.017854
0.0,32,0.018977
0.0,58,0.020979
0.0,48,0.022642
0.0,4,0.02282
0.0,9,0.023159
0.0,7,0.023427
0.0,39,0.024771
0.0,34,0.025962
0.0,50,0.027677
0.0,14,0.028185
0.0,22,0.02896
0.0,41,0.030439
0.0,20,0.03116
0.0,31,0.03223
0.0,36,0.033482
0.0,92,0.036673
0.0,30,0.037756
0.0,46,0.039402
0.0,64,0.04166
0.0,6,0.041921
0.0,28,0.042932
0.0,17,0.043561
0.0,40,0.044991
0.0,77,0.047704
0.0,9,0.048045
0.0,54,0.049906
0.0,56,0.051884
0.0,122,0.056312
0.0,23,0.05715
0.0,9,0.057501
0.0,40,0.058934
0.0,34,0.060156
0.0,27,0.061116
0.0,11,0.061518
1.0,68,0.063939
0.0,54,0.065881
0.0,55,0.067847
0.0,17,0.068469
0.0,25,0.069366
0.0,30,0.070432
0.0,92,0.073624
0.0,52,0.075424
1.0,33,0.076608
0.0,68,0.079008
0.0,21,0.07977
0.0,23,0.080583
0.0,15,0.081116
0.0,41,0.082554
0.0,107,0.08626
0.0,11,0.086682
0.0,4,0.086851
0.0,89,0.090036
0.0,32,0.09118
0.0,42,0.092656
0.0,63,0.094854
0.0,59,0.096892
0.0,30,0.097961
0.0,55,0.099894
0.0,141,0.104744
0.0,59,0.106837
0.0,43,0.108367
0.0,44,0.109915
1.0,113,0.113806
0.0,37,0.115115
0.0,31,0.116221
0.0,82,0.119068
1.0,42,0.120549
0.0,47,0.122185
0.0,88,0.1252
0.0,9,0.125539
1.0,76,0.12816
0.0,105,0.131736
0.0,41,0.133155
0.0,77,0.135792
1.0,103,0.139342
0.0,85,0.142285
0.0,79,0.144966
0.0,100,0.148355
0.0,73,0.150883
0.0,160,0.156284
0.0,37,0.157608
0.0,21,0.158413
1.0,38,0.159746
0.0,51,0.161606
0.0,35,0.162793
0.0,51,0.164572
1.0,65,0.166883
0.0,53,0.168702
0.0,55,0.170591
0.0,69,0.172964
0.0,46,0.174567
0.0,134,0.179145
0.0,86,0.182117
0.0,52,0.1839
0.0,31,0.184982
0.0,4,0.185143
0.0,5,0.185336
0.0,44,0.186869
0.0,93,0.190023
0.0,107,0.193672
0.0,26,0.194582
0.0,50,0.196307
1.0,33,0.197459
0.0,157,0.202844
0.0,65,0.205088
0.0,112,0.208908
1.0,46,0.210522
0.0,59,0.212525
0.0,138,0.217195
0.0,6,0.217434
0.0,104,0.220978
0.0,98,0.224321
0.0,35,0.225529
0.0,57,0.227463
0.0,113,0.231282
0.0,84,0.234149
0.0,36,0.235431
0.0,136,0.240022
0.0,22,0.240806
0.0,60,0.242878
0.0,77,0.245513
0.0,121,0.24961
0.0,10,0.249988
0.0,173,0.255821
0.0,26,0.256738
0.0,61,0.258977
1.0,80,0.261787
0.0,52,0.266453
0.0,36,0.267773
0.0,74,0.270298
1.0,21,0.271054
1.0,180,0.277194
0.0,14,0.277709
0.0,44,0.279218
0.0,72,0.281688
0.0,112,0.285569
0.0,102,0.289036
0.0,91,0.292219
0.0,33,0.293366
0.0,36,0.294603
0.0,82,0.297381
0.0,80,0.300119
0.0,37,0.301384
0.0,2,0.30148
0.0,209,0.308557
0.0,55,0.310459
1.0,46,0.312086
0.0,61,0.314197
0.0,29,0.315231
0.0,41,0.316668
0.0,5,0.316875
0.0,206,0.324009
0.0,84,0.326995
0.0,11,0.327415
0.0,8,0.327724
0.0,91,0.330885
0.0,23,0.331717
0.0,137,0.336467
0.0,9,0.336815
0.0,7,0.337087
0.0,7,0.337355
0.0,69,0.339717
1.0,51,0.341528
1.0,175,0.347771
0.0,50,0.349532
0.0,123,0.354103
1.0,72,0.35662
0.0,14,0.357137
0.0,124,0.361443
0.0,6,0.36169
1.0,44,0.363235
0.0,57,0.365208
0.0,53,0.367064
0.0,14,0.367579
1.0,15,0.368133
1.0,116,0.372137
0.0,62,0.374324
0.0,34,0.375502
0.0,26,0.376418
0.0,4,0.37659
0.0,45,0.378123
0.0,133,0.382653
0.0,34,0.383862
0.0,45,0.38545
0.0,87,0.388512
0.0,18,0.389157
0.0,5,0.389363
