% time spent exploring,episodes,mean 100 episode reward,steps
97,100,0.0,4195
95,200,0.0,9049
93,300,0.0,13275
90,400,0.0,18298
88,500,0.0,23549
85,600,0.0,28575
83,700,0.0,33359
80,800,0.0,38816
78,900,0.0,44253
75,1000,0.0,49014
73,1100,0.0,54228
70,1200,0.0,59497
68,1300,0.0,63880
65,1400,0.0,68761
63,1500,0.0,74328
60,1600,0.0,79917
57,1700,0.0,86233
54,1800,0.0,91885
51,1900,0.0,97948
48,2000,0.0,103959
45,2100,0.0,110507
42,2200,0.0,116651
39,2300,0.0,121588
36,2400,0.1,127641
33,2500,0.1,133667
31,2600,0.0,138717
28,2700,0.1,143578
25,2800,0.1,149807
22,2900,0.2,155974
20,3000,0.1,160563
16,3100,0.2,167732
13,3200,0.2,174726
10,3300,0.2,180857
7,3400,0.2,186120
4,3500,0.1,191938
2,3600,0.2,197577
1,3700,0.3,203609
1,3800,0.3,209507
1,3900,0.4,214386
1,4000,0.4,218695
1,4100,0.5,223694
1,4200,0.6,228327
1,4300,0.6,233061
1,4400,0.7,237398
1,4500,0.7,241573
1,4600,0.8,245976
1,4700,0.7,250222
1,4800,0.7,253973
1,4900,0.8,258275
1,5000,0.9,262225
1,5100,0.8,266157
1,5200,0.9,270071
1,5300,0.9,274120
1,5400,1.0,278140
1,5500,0.9,282234
1,5600,0.9,286648
1,5700,0.9,290653
1,5800,0.9,294717
1,5900,0.9,298605
1,6000,1.0,302496
1,6100,0.9,306752
1,6200,1.0,310771
1,6300,0.9,314563
1,6400,1.0,318470
1,6500,0.9,322491
1,6600,0.8,326341
1,6700,0.9,330409
1,6800,0.8,334466
1,6900,1.0,338281
1,7000,0.9,342295
1,7100,0.9,346269
1,7200,0.9,350355
1,7300,1.0,354175
1,7400,0.9,358055
1,7500,1.0,361919
1,7600,0.9,365855
1,7700,0.9,369710
1,7800,0.9,373629
1,7900,0.9,377510
1,8000,0.9,381381
1,8100,0.9,385501
1,8200,0.9,389478
1,8300,0.9,393307
1,8400,0.9,397112
1,8500,0.9,401071
1,8600,1.0,404809
1,8700,0.9,408577
1,8800,0.9,412549
1,8900,1.0,416451
