# {"t_start": 1599443423.4530733, "env_id": "Water-M2-v0"} 
r,l,t
1.0,74,7.118505
1.0,114,7.279703
1.0,512,7.994275
1.0,171,8.227694
0.0,600,11.036125
0.0,600,14.260015
1.0,518,17.0577
1.0,361,19.007835
0.0,28,19.158022
0.0,19,19.260097
1.0,306,20.908464
1.0,276,22.411165
1.0,269,23.870413
1.0,402,26.035978
0.0,600,29.28599
1.0,535,32.167575
1.0,167,33.065497
0.0,600,36.294611
0.0,58,36.607445
0.0,27,36.753434
1.0,115,37.374833
1.0,116,38.002352
1.0,395,40.155353
1.0,330,41.938383
1.0,129,42.636025
1.0,434,44.977454
0.0,600,48.208323
0.0,600,51.435299
0.0,26,51.575426
0.0,140,52.330875
1.0,306,53.981288
0.0,600,57.227922
1.0,179,58.195008
1.0,164,59.089115
1.0,351,60.967995
1.0,553,63.956169
1.0,489,66.601197
0.0,600,69.834063
0.0,20,69.94143
0.0,58,70.254245
1.0,219,71.436831
1.0,564,74.512707
1.0,42,74.741235
1.0,536,77.627866
1.0,554,80.621317
1.0,475,83.173754
1.0,524,86.019332
1.0,351,87.90149
0.0,36,88.094952
0.0,28,88.25018
1.0,349,90.142837
1.0,201,91.238275
1.0,116,91.868007
1.0,284,93.402986
0.0,600,96.638396
1.0,344,98.488926
1.0,444,100.887341
0.0,600,104.129944
0.0,27,104.28132
0.0,23,104.405014
0.0,600,107.654531
1.0,290,109.22396
0.0,600,112.479419
1.0,527,115.319014
1.0,598,118.536248
1.0,301,120.168149
1.0,589,123.358713
0.0,600,126.585514
0.0,50,126.853251
0.0,63,127.190824
1.0,100,127.736331
0.0,600,130.997926
1.0,519,133.821121
1.0,193,134.870361
1.0,149,135.669761
1.0,300,137.279674
1.0,435,139.630966
0.0,600,142.852983
0.0,39,143.063276
0.0,28,143.214352
1.0,109,143.809419
1.0,147,144.613646
1.0,199,145.696067
0.0,600,148.939976
1.0,343,150.79439
0.0,600,154.019089
1.0,461,156.505095
1.0,530,159.365769
0.0,38,159.570789
0.0,29,159.726068
1.0,116,160.362103
1.0,134,161.087917
0.0,600,164.334831
0.0,600,167.579436
1.0,480,170.164131
0.0,600,173.391674
0.0,600,176.640433
1.0,390,178.750367
0.0,22,178.869048
0.0,53,179.153749
1.0,233,180.422462
1.0,117,181.058425
1.0,159,181.921883
1.0,411,184.148445
1.0,590,187.341094
1.0,236,188.610501
1.0,561,191.632301
1.0,285,193.164011
0.0,21,193.277248
0.0,26,193.417251
1.0,467,195.960114
1.0,321,197.706738
1.0,429,200.025164
0.0,600,203.269213
1.0,421,205.548388
1.0,186,206.549003
1.0,318,208.25985
0.0,600,211.493204
0.0,31,211.658761
0.0,88,212.1297
1.0,359,214.080002
1.0,56,214.400345
1.0,50,214.674556
0.0,600,217.907589
1.0,383,220.129958
0.0,600,223.376716
0.0,600,226.602501
1.0,385,228.684538
0.0,31,228.849929
0.0,160,229.71137
1.0,283,231.23961
1.0,582,234.419991
0.0,600,237.687267
0.0,600,240.930449
1.0,576,244.056902
1.0,302,245.720237
0.0,600,248.99842
1.0,518,251.808414
0.0,28,251.960258
1.0,49,252.225113
1.0,245,253.570692
1.0,281,255.096379
1.0,179,256.080777
0.0,600,259.344425
1.0,173,260.285219
1.0,190,261.30787
1.0,314,263.00279
0.0,600,266.258344
0.0,31,266.425941
0.0,78,266.847062
1.0,267,268.287883
1.0,288,269.869786
1.0,159,270.729402
1.0,354,272.643476
1.0,399,274.796836
0.0,600,278.072322
0.0,600,281.315505
0.0,600,284.574612
0.0,66,284.929595
0.0,79,285.355788
1.0,415,287.622398
1.0,240,288.936196
1.0,136,289.672066
1.0,245,291.005613
1.0,240,292.306175
1.0,474,294.857344
1.0,513,297.654066
0.0,600,300.903427
0.0,33,301.080073
0.0,17,301.171666
1.0,109,301.761124
1.0,83,302.211818
1.0,37,302.412483
1.0,433,304.76282
1.0,419,307.012251
1.0,466,309.533157
1.0,330,311.316824
0.0,600,314.556829
0.0,81,314.99232
0.0,38,315.195962
1.0,158,316.059174
1.0,402,318.247912
1.0,56,318.555903
1.0,287,320.125638
1.0,127,320.825355
1.0,132,321.537698
0.0,600,324.806119
1.0,411,327.033376
0.0,63,327.375479
0.0,61,327.706124
1.0,161,328.57563
1.0,63,328.915992
1.0,57,329.225308
1.0,295,330.843569
1.0,342,332.696463
1.0,209,333.824301
1.0,534,336.747442
1.0,425,339.045565
0.0,62,339.378645
0.0,39,339.596552
1.0,285,341.138134
0.0,600,344.42327
1.0,25,344.568063
1.0,487,347.214709
1.0,146,347.999627
1.0,478,350.573037
1.0,421,352.862166
1.0,426,355.182195
0.0,22,355.302794
0.0,60,355.628656
1.0,201,356.722916
1.0,392,358.856062
1.0,58,359.170845
1.0,473,361.727163
1.0,155,362.562777
1.0,187,363.570095
1.0,350,365.47691
1.0,419,367.740412
0.0,57,368.047691
0.0,43,368.280545
1.0,81,368.721668
1.0,145,369.509635
1.0,513,372.295521
1.0,133,373.015716
1.0,464,375.519668
1.0,85,375.987427
1.0,348,377.882043
0.0,600,381.126831
0.0,59,381.4445
0.0,44,381.681409
1.0,293,383.323613
1.0,112,383.931384
1.0,423,386.241333
1.0,397,388.396338
1.0,175,389.342262
0.0,600,392.600176
1.0,362,394.568948
1.0,544,397.504229
0.0,56,397.805848
0.0,77,398.222904
1.0,278,399.737114
1.0,409,401.973186
1.0,176,402.930356
1.0,147,403.740508
1.0,149,404.554858
1.0,380,406.617271
1.0,477,409.19874
0.0,600,412.431386
0.0,60,412.755002
0.0,72,413.143873
1.0,75,413.550032
1.0,547,416.518834
1.0,150,417.335172
1.0,286,418.8747
1.0,562,421.922153
0.0,600,425.168757
0.0,600,428.408622
0.0,600,431.651128
0.0,41,431.873741
0.0,31,432.042008
1.0,251,433.401224
1.0,122,434.070813
1.0,35,434.26136
1.0,204,435.368527
1.0,291,436.937786
1.0,497,439.622389
1.0,454,442.073556
0.0,600,445.316205
0.0,134,446.041461
0.0,43,446.273973
0.0,600,449.537751
1.0,415,451.793139
1.0,25,451.927697
1.0,541,454.848444
1.0,259,456.245389
1.0,412,458.47969
1.0,360,460.418859
0.0,600,463.65807
0.0,164,464.540714
0.0,64,464.884918
0.0,600,468.171498
0.0,600,471.424462
1.0,292,473.011469
1.0,456,475.480527
0.0,600,478.720388
1.0,145,479.505125
1.0,347,481.376764
0.0,600,484.608638
0.0,82,485.05054
0.0,28,485.201323
1.0,76,485.619075
1.0,96,486.140679
1.0,44,486.380823
1.0,145,487.175053
1.0,341,489.018451
1.0,149,489.823981
