# {"t_start": 1598841070.7383602, "env_id": "Water-M2-v0"} 
r,l,t
1.0,270,2.526703
1.0,202,2.709789
1.0,114,2.814901
1.0,200,2.996085
1.0,495,4.489284
1.0,495,6.532216
1.0,208,7.383574
0.0,600,9.850561
0.0,13,9.909301
0.0,19,9.995012
1.0,207,10.870314
1.0,201,11.696806
1.0,233,12.657449
1.0,152,13.281065
1.0,471,15.215425
1.0,366,16.759562
0.0,600,19.217292
1.0,313,20.50406
0.0,37,20.655176
0.0,26,20.765421
1.0,238,21.797813
0.0,600,24.26746
1.0,347,25.695431
1.0,354,27.19203
1.0,302,28.434473
1.0,445,30.258379
1.0,469,32.21904
1.0,421,33.952485
0.0,14,34.011155
0.0,14,34.06835
1.0,86,34.421324
1.0,395,36.057393
1.0,410,37.786923
1.0,507,39.884462
1.0,537,42.09574
1.0,177,42.820584
0.0,600,45.325592
0.0,600,47.795542
0.0,102,48.210912
0.0,29,48.330264
1.0,303,49.619874
1.0,455,51.498655
1.0,497,53.54182
0.0,600,56.047649
1.0,204,56.881329
1.0,434,58.65169
1.0,440,60.497428
0.0,600,62.945861
0.0,22,63.036339
0.0,39,63.196127
1.0,101,63.605356
1.0,132,64.144435
1.0,216,65.065995
1.0,284,66.247001
0.0,600,68.699761
1.0,517,70.910627
1.0,509,73.004878
1.0,167,73.690242
0.0,100,74.101573
0.0,63,74.360901
1.0,490,76.418571
1.0,534,78.600559
1.0,58,78.837633
1.0,275,79.968973
1.0,463,81.901161
0.0,600,84.377529
1.0,401,86.018132
0.0,600,88.518773
0.0,37,88.671064
0.0,89,89.033147
1.0,401,90.679758
0.0,600,93.191884
1.0,260,94.261906
1.0,582,96.65764
1.0,432,98.478177
1.0,203,99.310315
1.0,570,101.672588
1.0,578,104.087656
0.0,25,104.190568
0.0,62,104.447281
1.0,439,106.256939
1.0,324,107.593997
1.0,262,108.675687
1.0,284,109.889418
1.0,547,112.140399
0.0,600,114.632469
1.0,166,115.329085
0.0,600,117.793545
0.0,35,117.937539
0.0,51,118.14548
1.0,201,118.978515
1.0,533,121.213775
