% time spent exploring,episodes,mean 100 episode reward,steps
84,100,0.7,30763
67,200,0.6,65494
51,300,0.7,98276
35,400,0.7,130296
21,500,0.7,158140
8,600,0.7,184571
1,700,0.7,210060
1,800,0.7,238555
1,900,0.7,264590
1,1000,0.7,291859
1,1100,0.7,316957
1,1200,0.7,343485
1,1300,0.7,368573
1,1400,0.7,396402
1,1500,0.7,425285
1,1600,0.7,452236
1,1700,0.7,480407
1,1800,0.7,506683
1,1900,0.7,530381
1,2000,0.8,555665
1,2100,0.7,580090
1,2200,0.8,603111
1,2300,0.8,626022
1,2400,0.8,648260
1,2500,0.7,671293
1,2600,0.7,695440
1,2700,0.7,719434
1,2800,0.8,741918
1,2900,0.8,763277
1,3000,0.7,786847
1,3100,0.8,806986
1,3200,0.8,829823
1,3300,0.7,853730
1,3400,0.7,876950
1,3500,0.7,901395
1,3600,0.7,922394
1,3700,0.7,944786
1,3800,0.7,966949
1,3900,0.8,987887
1,4000,0.7,1010436
1,4100,0.8,1032050
1,4200,0.7,1053391
1,4300,0.8,1075084
1,4400,0.7,1096300
1,4500,0.8,1118280
1,4600,0.7,1139579
1,4700,0.8,1160589
1,4800,0.8,1180425
1,4900,0.8,1200675
1,5000,0.8,1219757
1,5100,0.8,1239611
1,5200,0.8,1258550
1,5300,0.8,1276279
1,5400,0.7,1296011
1,5500,0.7,1315051
1,5600,0.8,1333486
1,5700,0.8,1353455
1,5800,0.8,1372016
1,5900,0.8,1389943
1,6000,0.8,1407932
1,6100,0.8,1424605
1,6200,0.8,1440569
1,6300,0.8,1457706
1,6400,0.8,1475067
1,6500,0.8,1493140
1,6600,0.8,1509055
1,6700,0.8,1526235
1,6800,0.8,1543556
1,6900,0.7,1562813
1,7000,0.7,1580581
1,7100,0.8,1597205
1,7200,0.8,1614506
1,7300,0.8,1631673
1,7400,0.8,1650034
1,7500,0.8,1666688
1,7600,0.7,1683343
1,7700,0.8,1699119
1,7800,0.8,1715580
1,7900,0.8,1730473
1,8000,0.8,1746086
1,8100,0.8,1762748
1,8200,0.8,1778517
1,8300,0.8,1795532
1,8400,0.7,1815526
1,8500,0.7,1838263
1,8600,0.7,1856481
1,8700,0.8,1874223
1,8800,0.7,1893186
1,8900,0.8,1909394
1,9000,0.8,1925224
1,9100,0.8,1943303
1,9200,0.8,1960856
1,9300,0.8,1978121
1,9400,0.7,1997156
