# {"t_start": 1614250088.4256895, "env_id": "Half-Cheetah-RM1-v0"} 
r,l,t
-574.20054,1000,6.944811
-564.078834,1000,11.325089
-568.424922,1000,16.318855
-565.120898,1000,21.176081
-580.723467,1000,26.236708
-529.317959,1000,31.422513
-508.657227,1000,36.547877
-569.206669,1000,41.635037
-533.044031,1000,46.854337
-581.361436,1000,51.938703
-599.898338,1000,57.183186
-483.096544,1000,62.852723
-546.222731,1000,68.642553
-565.840522,1000,73.867372
-523.942386,1000,79.153652
-463.11475,1000,84.517539
-553.867157,1000,89.790454
-579.697971,1000,95.061911
-586.952032,1000,100.362138
-572.743689,1000,105.850867
-573.672325,1000,111.188248
-571.106412,1000,116.525928
-597.49527,1000,121.833979
-594.160487,1000,127.162764
-585.66379,1000,132.550236
-590.085106,1000,137.989482
-550.36264,1000,143.407048
-596.511844,1000,148.873363
-554.021334,1000,154.310453
-553.533501,1000,159.665395
-599.106895,1000,165.001034
-547.560234,1000,170.365706
-534.91882,1000,175.92359
-579.708512,1000,181.270405
-570.74412,1000,186.590909
-572.13291,1000,192.076675
-580.020809,1000,197.491172
-595.436571,1000,202.763633
-593.833297,1000,208.135911
-599.701794,1000,213.547554
-599.787577,1000,219.004309
-599.960736,1000,224.316978
-595.432462,1000,229.636071
-551.462244,1000,235.269492
-599.743437,1000,240.763404
-598.996268,1000,246.133567
-596.062492,1000,251.596688
-591.908227,1000,256.959302
-580.583325,1000,262.438833
-593.813924,1000,268.019418
-547.107254,1000,273.536186
-596.364745,1000,278.875353
-599.931653,1000,284.376496
-596.433579,1000,289.762582
-598.474732,1000,295.240058
-585.863773,1000,300.613041
-595.383652,1000,306.181024
-599.869924,1000,311.617927
-564.011617,1000,317.117743
-563.941684,1000,322.514119
-596.454227,1000,328.003923
-580.029197,1000,333.398969
-555.01732,1000,338.984348
-598.782534,1000,344.222658
-599.649174,1000,349.687511
-565.396895,1000,355.032051
-599.970065,1000,360.576151
-599.97493,1000,365.922803
-599.998145,1000,371.409053
-599.999999,1000,376.950285
-593.078512,1000,382.427011
-599.999993,1000,387.783132
-599.999216,1000,393.416464
-599.999238,1000,398.811988
-599.995203,1000,404.339428
-599.999761,1000,409.765487
-599.999978,1000,415.363749
-599.67252,1000,420.791224
-599.82072,1000,426.349203
-590.485623,1000,431.701356
-600.0,1000,437.23758
-598.381217,1000,442.604085
-550.707187,1000,448.173179
-599.842586,1000,453.606128
-574.464656,1000,459.251744
-599.988368,1000,464.889845
-588.980045,1000,470.434143
-599.999905,1000,476.128456
-593.13862,1000,481.750501
-600.0,1000,487.252474
-599.902383,1000,492.899955
-599.989211,1000,498.341665
-600.0,1000,504.064471
-585.621274,1000,509.657374
-593.514459,1000,515.343418
-589.837709,1000,520.920726
-598.851426,1000,526.583181
-568.108331,1000,532.139229
-599.999902,1000,537.762726
-600.0,1000,543.151544
-562.163971,1000,548.754563
-599.999999,1000,554.127373
-599.8619,1000,559.803929
-599.999953,1000,565.256011
-599.999882,1000,570.831906
-599.999009,1000,576.233293
-568.534525,1000,582.034198
-594.057354,1000,587.398634
-569.13567,1000,593.002435
-573.35365,1000,598.484005
-586.654919,1000,604.192814
-561.41635,1000,609.534796
-599.890815,1000,615.308832
-562.415608,1000,620.757043
-569.682092,1000,626.563499
-569.313876,1000,631.997844
-558.041909,1000,637.608454
-597.761371,1000,643.224725
-573.563851,1000,648.845785
-573.978168,1000,654.247601
-579.678002,1000,660.090103
-577.042092,1000,665.816465
-570.467204,1000,671.666309
-549.75926,1000,677.069116
-573.680773,1000,682.808544
-522.774424,1000,688.281026
-546.308111,1000,693.998391
-547.215582,1000,699.348225
-540.133557,1000,705.190622
-572.64852,1000,710.744523
-594.015013,1000,717.109372
-589.024461,1000,722.537458
-599.591898,1000,728.37925
-598.773235,1000,734.093708
-586.387353,1000,740.098049
-576.097688,1000,745.788853
-588.171084,1000,751.886411
-596.89321,1000,757.812742
-555.190779,1000,763.9954
-598.107463,1000,769.848185
-598.024007,1000,776.624705
-598.696022,1000,783.134346
-599.83956,1000,789.884013
-598.774416,1000,796.423583
-599.99962,1000,803.362079
-599.85503,1000,809.82602
-599.997703,1000,816.118511
-599.987959,1000,822.133022
-600.0,1000,828.481185
-598.185334,1000,834.622401
-560.749671,1000,841.025409
-600.0,1000,847.113705
-577.325193,1000,853.44427
-599.883604,1000,859.39599
-599.475473,1000,865.79078
-599.438701,1000,871.9597
-599.0561,1000,878.406482
-599.992145,1000,884.514395
-599.479822,1000,890.94373
-599.489647,1000,897.564022
-599.950843,1000,904.689312
-599.998891,1000,911.53386
-586.777494,1000,918.734157
-599.962157,1000,924.975188
-599.892619,1000,931.879734
-597.336479,1000,938.64149
-599.729925,1000,945.358134
-596.423925,1000,951.621243
-599.489944,1000,958.15105
-599.99909,1000,964.41145
-599.782235,1000,970.977717
-599.981856,1000,977.258023
-556.758438,1000,983.849168
-599.998561,1000,990.106599
-599.999711,1000,996.69453
-599.997702,1000,1003.024663
-594.778069,1000,1009.661573
-599.992256,1000,1015.951688
-599.810765,1000,1022.509103
-599.995076,1000,1028.820229
-591.352923,1000,1035.468559
-599.957536,1000,1041.754895
-582.589992,1000,1048.390572
-599.999528,1000,1054.72686
-598.970073,1000,1061.466822
-599.501353,1000,1067.861564
-598.818802,1000,1074.521017
-598.538692,1000,1080.796044
-599.999641,1000,1087.485099
-599.906996,1000,1093.736427
-597.945246,1000,1100.372893
-599.995773,1000,1106.644648
-573.712807,1000,1113.554208
-600.0,1000,1119.774416
-595.979212,1000,1126.370904
-599.986477,1000,1132.687353
-569.925802,1000,1139.403615
-580.292296,1000,1145.648592
-580.457889,1000,1152.260034
-595.110307,1000,1158.536265
-596.469722,1000,1165.252264
-595.641757,1000,1171.623356
-599.887635,1000,1178.318879
-599.998894,1000,1184.609431
-599.737595,1000,1191.346601
-599.637106,1000,1197.613327
-599.989245,1000,1204.311967
-599.663671,1000,1210.511124
-591.246667,1000,1217.277467
-599.810828,1000,1223.541813
-589.085494,1000,1230.232164
-599.77124,1000,1236.505577
