# {"t_start": 1614917370.143499, "env_id": "Craft-single-M4-v0"} 
r,l,t
0.0,1000,0.027264
0.0,1000,0.053681
0.0,1000,0.079864
0.0,1000,0.105846
0.0,1000,0.132028
0.0,1000,0.157958
0.0,1000,0.183736
0.0,1000,0.209907
0.0,1000,0.235889
0.0,1000,0.261936
0.0,1000,0.288159
0.0,1000,0.31392
0.0,1000,0.342783
0.0,1000,0.368795
0.0,1000,0.394973
0.0,1000,0.421013
0.0,1000,0.447073
0.0,1000,0.473004
0.0,1000,0.499131
0.0,1000,0.525172
0.0,1000,0.551269
0.0,1000,0.577267
0.0,1000,0.603001
0.0,1000,0.628857
0.0,1000,0.654793
0.0,1000,0.680617
0.0,1000,0.706766
0.0,1000,0.732682
0.0,1000,0.758706
0.0,1000,0.78483
0.0,1000,0.810974
0.0,1000,0.837052
0.0,1000,0.862863
0.0,1000,0.888921
0.0,1000,0.914957
0.0,1000,0.940827
0.0,1000,0.966918
0.0,1000,0.993066
0.0,1000,1.01895
0.0,1000,1.045018
0.0,1000,1.07146
0.0,1000,1.097512
0.0,1000,1.123459
0.0,1000,1.149419
0.0,1000,1.17564
0.0,1000,1.201704
0.0,1000,1.227966
0.0,1000,1.253997
0.0,1000,1.280131
0.0,1000,1.30634
0.0,1000,1.332489
0.0,1000,1.358671
0.0,1000,1.384799
0.0,1000,1.410869
0.0,1000,1.437138
0.0,1000,1.463351
0.0,1000,1.489567
0.0,1000,1.515735
0.0,1000,1.541851
0.0,1000,1.568025
0.0,1000,1.594248
0.0,1000,1.620368
0.0,1000,1.646624
0.0,1000,1.672745
1.0,729,1.691873
0.0,1000,1.71815
0.0,1000,1.744286
0.0,1000,1.770287
0.0,1000,1.796592
0.0,1000,1.823018
0.0,1000,1.849386
0.0,1000,1.875712
0.0,1000,1.902003
0.0,1000,1.928376
0.0,1000,1.954643
0.0,1000,1.980726
0.0,1000,2.006978
0.0,1000,2.033118
0.0,1000,2.05951
0.0,1000,2.085952
0.0,1000,2.113018
0.0,1000,2.139908
0.0,1000,2.16635
0.0,1000,2.192747
0.0,1000,2.219214
0.0,1000,2.245576
0.0,1000,2.27186
0.0,1000,2.298075
0.0,1000,2.326567
0.0,1000,2.353043
0.0,1000,2.379627
0.0,1000,2.405975
0.0,1000,2.432297
0.0,1000,2.458518
0.0,1000,2.484906
0.0,1000,2.511126
0.0,1000,2.537477
0.0,1000,2.563575
0.0,1000,2.589793
0.0,1000,2.615986
0.0,1000,2.642281
0.0,1000,2.668489
0.0,1000,2.694578
0.0,1000,2.720837
0.0,1000,2.747186
0.0,1000,2.773542
0.0,1000,2.799704
0.0,1000,2.825879
0.0,1000,2.852054
0.0,1000,2.878263
0.0,1000,2.904356
0.0,1000,2.930598
0.0,1000,2.957004
0.0,1000,2.983212
0.0,1000,3.009408
0.0,1000,3.035531
0.0,1000,3.061923
0.0,1000,3.088465
0.0,1000,3.114685
0.0,1000,3.140929
0.0,1000,3.16733
0.0,1000,3.194966
0.0,1000,3.222827
0.0,1000,3.250486
0.0,1000,3.278201
0.0,1000,3.305239
0.0,1000,3.331835
0.0,1000,3.358336
0.0,1000,3.38457
0.0,1000,3.410753
0.0,1000,3.436943
0.0,1000,3.463143
0.0,1000,3.489356
0.0,1000,3.515506
0.0,1000,3.541682
0.0,1000,3.568031
0.0,1000,3.594155
0.0,1000,3.620258
0.0,1000,3.646491
0.0,1000,3.672695
0.0,1000,3.698866
0.0,1000,3.725088
0.0,1000,3.75147
0.0,1000,3.777843
0.0,1000,3.804181
0.0,1000,3.830499
0.0,1000,3.856877
0.0,1000,3.883012
0.0,1000,3.909378
0.0,1000,3.935655
0.0,1000,3.962152
0.0,1000,3.988371
