episodes,steps,total reward
9,10000,0.0
19,20000,0.0
29,30000,0.0
39,40000,0.0
49,50000,0.0
59,60000,0.0
69,70000,0.0
80,80000,1.0
90,90000,0.0
100,100000,0.0
110,110000,0.0
120,120000,0.0
130,130000,1.0
140,140000,0.0
150,150000,0.0
160,160000,0.0
170,170000,0.0
180,180000,0.0
190,190000,0.0
200,200000,0.0
210,210000,0.0
220,220000,0.0
230,230000,1.0
240,240000,0.0
250,250000,0.0
260,260000,0.0
270,270000,0.0
280,280000,0.0
290,290000,0.0
300,300000,0.0
310,310000,0.0
320,320000,0.0
330,330000,0.0
340,340000,0.0
350,350000,0.0
360,360000,0.0
370,370000,0.0
380,380000,0.0
390,390000,0.0
400,400000,0.0
410,410000,0.0
420,420000,1.0
430,430000,0.0
440,440000,0.0
450,450000,0.0
460,460000,0.0
470,470000,0.0
480,480000,0.0
490,490000,1.0
500,500000,0.0
510,510000,0.0
520,520000,0.0
530,530000,0.0
540,540000,0.0
550,550000,0.0
560,560000,0.0
570,570000,0.0
580,580000,0.0
590,590000,0.0
601,600000,2.0
611,610000,0.0
621,620000,0.0
631,630000,0.0
641,640000,0.0
651,650000,1.0
661,660000,0.0
671,670000,0.0
681,680000,0.0
691,690000,0.0
701,700000,0.0
711,710000,0.0
721,720000,0.0
731,730000,0.0
741,740000,0.0
751,750000,0.0
761,760000,0.0
771,770000,0.0
781,780000,1.0
791,790000,0.0
801,800000,0.0
812,810000,1.0
822,820000,0.0
832,830000,0.0
842,840000,0.0
852,850000,1.0
862,860000,0.0
872,870000,0.0
883,880000,1.0
893,890000,1.0
903,900000,0.0
913,910000,0.0
923,920000,0.0
933,930000,0.0
943,940000,0.0
953,950000,0.0
963,960000,0.0
973,970000,1.0
983,980000,0.0
993,990000,1.0
1003,1000000,0.0
1013,1010000,0.0
1023,1020000,0.0
1033,1030000,0.0
1043,1040000,0.0
1053,1050000,0.0
1063,1060000,0.0
1073,1070000,0.0
1083,1080000,0.0
1093,1090000,0.0
1103,1100000,0.0
1113,1110000,0.0
1124,1120000,1.0
1134,1130000,0.0
1144,1140000,2.0
1154,1150000,0.0
1165,1160000,1.0
1175,1170000,0.0
1185,1180000,1.0
1195,1190000,0.0
1205,1200000,0.0
1215,1210000,0.0
1225,1220000,1.0
1235,1230000,1.0
1245,1240000,0.0
1255,1250000,0.0
1265,1260000,0.0
1275,1270000,1.0
1285,1280000,0.0
1295,1290000,0.0
1306,1300000,1.0
1316,1310000,1.0
1326,1320000,0.0
1336,1330000,1.0
1347,1340000,2.0
1358,1350000,2.0
1368,1360000,1.0
1378,1370000,1.0
1388,1380000,1.0
1399,1390000,2.0
1411,1400000,3.0
1421,1410000,1.0
1431,1420000,1.0
1441,1430000,0.0
1451,1440000,1.0
1462,1450000,2.0
1472,1460000,1.0
1482,1470000,1.0
1493,1480000,2.0
1503,1490000,0.0
1514,1500000,4.0
1524,1510000,2.0
1534,1520000,1.0
1545,1530000,3.0
1557,1540000,3.0
1568,1550000,2.0
1580,1560000,5.0
1591,1570000,2.0
1601,1580000,2.0
1612,1590000,3.0
1623,1600000,2.0
1634,1610000,3.0
1645,1620000,3.0
1655,1630000,1.0
1666,1640000,2.0
1677,1650000,5.0
1688,1660000,3.0
1699,1670000,3.0
1710,1680000,3.0
1723,1690000,6.0
1734,1700000,5.0
1745,1710000,2.0
1757,1720000,6.0
1768,1730000,4.0
1780,1740000,4.0
1791,1750000,2.0
1804,1760000,9.0
1816,1770000,5.0
1828,1780000,4.0
1839,1790000,4.0
1851,1800000,5.0
1863,1810000,7.0
1875,1820000,7.0
1886,1830000,3.0
1899,1840000,7.0
1911,1850000,4.0
1922,1860000,3.0
1935,1870000,7.0
1947,1880000,5.0
1959,1890000,5.0
1970,1900000,3.0
1982,1910000,6.0
1995,1920000,6.0
2008,1930000,7.0
2020,1940000,5.0
2034,1950000,8.0
2046,1960000,5.0
2059,1970000,6.0
2071,1980000,4.0
2081,1990000,2.0
2095,2000000,8.0
