# {"t_start": 1614867970.729706, "env_id": "Craft-M2-v0"} 
r,l,t
0.0,1000,0.047546
0.0,1000,0.085063
1.0,910,0.118592
0.0,1000,0.155788
0.0,1000,0.196327
0.0,1000,0.234412
0.0,1000,0.272622
0.0,1000,0.310785
0.0,1000,0.34854
0.0,1000,0.387129
0.0,1000,0.424738
0.0,1000,0.462886
0.0,1000,0.501292
0.0,1000,0.540023
0.0,1000,0.577968
0.0,1000,0.615404
0.0,1000,0.65269
0.0,1000,0.690647
0.0,1000,0.728894
0.0,1000,0.767195
0.0,1000,0.805456
0.0,1000,0.843306
0.0,1000,0.881459
0.0,1000,0.920479
0.0,1000,0.958674
0.0,1000,0.99685
0.0,1000,1.035111
0.0,1000,1.073292
0.0,1000,1.111016
0.0,1000,1.14938
0.0,1000,1.18702
0.0,1000,1.224987
0.0,1000,1.263113
0.0,1000,1.301222
0.0,1000,1.34042
0.0,1000,1.378645
0.0,1000,1.417081
0.0,1000,1.45574
0.0,1000,1.493618
0.0,1000,1.532164
1.0,663,1.558067
0.0,1000,1.597026
0.0,1000,1.63552
0.0,1000,1.674036
0.0,1000,1.711984
0.0,1000,1.750116
0.0,1000,1.78963
0.0,1000,1.828022
0.0,1000,1.86678
0.0,1000,1.905805
1.0,705,1.93364
0.0,1000,1.972661
1.0,937,2.009079
0.0,1000,2.047951
1.0,592,2.070737
0.0,1000,2.109203
0.0,1000,2.147723
0.0,1000,2.185518
0.0,1000,2.225826
0.0,1000,2.263103
0.0,1000,2.302123
0.0,1000,2.341873
0.0,1000,2.381172
1.0,868,2.415983
1.0,734,2.444461
0.0,1000,2.483333
0.0,1000,2.522019
0.0,1000,2.561095
0.0,1000,2.599432
0.0,1000,2.638647
0.0,1000,2.678725
0.0,1000,2.717318
1.0,653,2.743625
0.0,1000,2.782735
0.0,1000,2.821606
0.0,1000,2.861389
0.0,1000,2.900409
0.0,1000,2.939677
0.0,1000,2.978647
0.0,1000,3.017585
0.0,1000,3.056743
0.0,1000,3.09652
0.0,1000,3.136054
1.0,929,3.172017
1.0,838,3.204855
0.0,1000,3.243929
0.0,1000,3.283082
0.0,1000,3.322174
0.0,1000,3.361179
0.0,1000,3.40014
0.0,1000,3.441046
0.0,1000,3.480965
0.0,1000,3.520546
0.0,1000,3.56015
0.0,1000,3.598438
0.0,1000,3.637953
1.0,808,3.669019
0.0,1000,3.708532
0.0,1000,3.747668
0.0,1000,3.786555
0.0,1000,3.828649
0.0,1000,3.868092
0.0,1000,3.908129
0.0,1000,3.947726
0.0,1000,3.987246
0.0,1000,4.025632
0.0,1000,4.064324
0.0,1000,4.103576
0.0,1000,4.142652
0.0,1000,4.181328
0.0,1000,4.221325
1.0,421,4.238158
0.0,1000,4.278089
1.0,828,4.310908
0.0,1000,4.350268
0.0,1000,4.389194
0.0,1000,4.428602
1.0,868,4.46284
0.0,1000,4.502563
0.0,1000,4.542147
0.0,1000,4.581654
0.0,1000,4.622365
0.0,1000,4.660985
0.0,1000,4.700714
0.0,1000,4.74044
0.0,1000,4.779505
0.0,1000,4.821861
0.0,1000,4.862204
0.0,1000,4.901596
0.0,1000,4.940853
0.0,1000,4.981762
0.0,1000,5.022627
0.0,1000,5.06272
0.0,1000,5.102422
0.0,1000,5.143606
0.0,1000,5.182883
0.0,1000,5.222318
0.0,1000,5.262885
0.0,1000,5.301627
0.0,1000,5.341449
0.0,1000,5.381186
0.0,1000,5.421678
1.0,698,5.449528
1.0,409,5.466163
0.0,1000,5.506105
0.0,1000,5.546131
0.0,1000,5.586102
0.0,1000,5.626153
0.0,1000,5.665136
0.0,1000,5.704782
0.0,1000,5.745087
0.0,1000,5.785413
1.0,908,5.822419
0.0,1000,5.862359
0.0,1000,5.902129
0.0,1000,5.941295
0.0,1000,5.98105
0.0,1000,6.021035
0.0,1000,6.061312
0.0,1000,6.101046
0.0,1000,6.141061
0.0,1000,6.181172
1.0,255,6.191685
1.0,686,6.21941
0.0,1000,6.25863
0.0,1000,6.299361
0.0,1000,6.338696
1.0,886,6.37375
0.0,1000,6.413834
0.0,1000,6.453043
0.0,1000,6.493145
0.0,1000,6.532932
0.0,1000,6.573965
1.0,327,6.587185
0.0,1000,6.627135
0.0,1000,6.66715
0.0,1000,6.707013
0.0,1000,6.746586
0.0,1000,6.786774
0.0,1000,6.827236
0.0,1000,6.86746
0.0,1000,6.907402
0.0,1000,6.948004
0.0,1000,6.98781
0.0,1000,7.027523
0.0,1000,7.067285
0.0,1000,7.107392
0.0,1000,7.147647
0.0,1000,7.188044
0.0,1000,7.22758
0.0,1000,7.26786
0.0,1000,7.30843
0.0,1000,7.348984
0.0,1000,7.389461
0.0,1000,7.429646
0.0,1000,7.46885
0.0,1000,7.509122
0.0,1000,7.54875
0.0,1000,7.588841
0.0,1000,7.628674
0.0,1000,7.66912
1.0,314,7.681858
0.0,1000,7.722138
0.0,1000,7.762328
0.0,1000,7.80237
0.0,1000,7.842874
0.0,1000,7.882743
0.0,1000,7.922251
0.0,1000,7.961312
0.0,1000,8.001451
0.0,1000,8.041872
0.0,1000,8.082036
0.0,1000,8.122235
0.0,1000,8.163143
1.0,719,8.193967
0.0,1000,8.235087
0.0,1000,8.276281
0.0,1000,8.316571
0.0,1000,8.356701
0.0,1000,8.39762
1.0,631,8.423643
0.0,1000,8.464709
1.0,781,8.496339
0.0,1000,8.536823
0.0,1000,8.576773
1.0,557,8.599359
0.0,1000,8.639544
1.0,820,8.672776
0.0,1000,8.713188
0.0,1000,8.752773
0.0,1000,8.793256
0.0,1000,8.833266
0.0,1000,8.87404
0.0,1000,8.914764
0.0,1000,8.955292
0.0,1000,8.995709
0.0,1000,9.035371
0.0,1000,9.075939
0.0,1000,9.115211
0.0,1000,9.155284
0.0,1000,9.198333
1.0,629,9.223978
0.0,1000,9.264756
0.0,1000,9.305959
0.0,1000,9.346413
0.0,1000,9.386034
0.0,1000,9.427439
1.0,970,9.466243
0.0,1000,9.506683
0.0,1000,9.545288
0.0,1000,9.5855
0.0,1000,9.625612
0.0,1000,9.665957
0.0,1000,9.706417
0.0,1000,9.746493
0.0,1000,9.786352
0.0,1000,9.826234
0.0,1000,9.866594
0.0,1000,9.907736
0.0,1000,9.948076
1.0,816,9.98094
1.0,495,10.000997
0.0,1000,10.041345
0.0,1000,10.081794
0.0,1000,10.12168
0.0,1000,10.161732
0.0,1000,10.202174
0.0,1000,10.242249
0.0,1000,10.282452
0.0,1000,10.322834
1.0,217,10.33173
1.0,390,10.347586
0.0,1000,10.387469
0.0,1000,10.428059
0.0,1000,10.469889
0.0,1000,10.509612
0.0,1000,10.550201
0.0,1000,10.590285
0.0,1000,10.63081
0.0,1000,10.670305
0.0,1000,10.711565
1.0,785,10.743634
0.0,1000,10.784174
0.0,1000,10.824673
0.0,1000,10.864664
1.0,871,10.899184
1.0,523,10.919369
0.0,1000,10.959326
0.0,1000,10.999251
0.0,1000,11.038925
0.0,1000,11.079283
0.0,1000,11.120044
1.0,393,11.136079
0.0,1000,11.176457
0.0,1000,11.216288
0.0,1000,11.255505
0.0,1000,11.296211
0.0,1000,11.336949
0.0,1000,11.376837
0.0,1000,11.416871
0.0,1000,11.457135
1.0,390,11.473015
0.0,1000,11.513522
0.0,1000,11.553802
0.0,1000,11.594186
0.0,1000,11.63462
0.0,1000,11.675228
0.0,1000,11.715942
0.0,1000,11.756188
0.0,1000,11.796032
0.0,1000,11.836432
0.0,1000,11.876811
0.0,1000,11.917651
0.0,1000,11.958101
0.0,1000,11.997947
0.0,1000,12.037851
0.0,1000,12.077466
1.0,532,12.098652
0.0,1000,12.139154
0.0,1000,12.179215
0.0,1000,12.219765
0.0,1000,12.260193
0.0,1000,12.300678
0.0,1000,12.340852
1.0,390,12.356725
0.0,1000,12.396938
0.0,1000,12.437399
0.0,1000,12.477728
0.0,1000,12.518177
0.0,1000,12.557638
0.0,1000,12.601021
0.0,1000,12.642073
0.0,1000,12.683234
1.0,461,12.702245
1.0,481,12.722409
0.0,1000,12.763093
0.0,1000,12.804171
1.0,891,12.840807
0.0,1000,12.881396
0.0,1000,12.92254
0.0,1000,12.96362
1.0,652,12.990396
0.0,1000,13.031143
0.0,1000,13.072583
0.0,1000,13.114191
0.0,1000,13.155274
0.0,1000,13.196344
0.0,1000,13.236977
0.0,1000,13.27694
0.0,1000,13.317302
0.0,1000,13.358175
0.0,1000,13.398628
0.0,1000,13.438886
1.0,773,13.470064
0.0,1000,13.510258
0.0,1000,13.550861
0.0,1000,13.592075
0.0,1000,13.631763
0.0,1000,13.672172
0.0,1000,13.71245
1.0,651,13.7387
0.0,1000,13.779055
0.0,1000,13.818954
0.0,1000,13.858937
0.0,1000,13.899329
0.0,1000,13.94015
1.0,951,13.978064
0.0,1000,14.018551
0.0,1000,14.059156
0.0,1000,14.09953
0.0,1000,14.140581
0.0,1000,14.181752
0.0,1000,14.222376
0.0,1000,14.262913
0.0,1000,14.30305
0.0,1000,14.344018
0.0,1000,14.386324
0.0,1000,14.427179
0.0,1000,14.46779
0.0,1000,14.508291
0.0,1000,14.548652
0.0,1000,14.589463
0.0,1000,14.629725
0.0,1000,14.670113
0.0,1000,14.710471
0.0,1000,14.750318
0.0,1000,14.790702
0.0,1000,14.831191
0.0,1000,14.871259
0.0,1000,14.911404
0.0,1000,14.951737
1.0,716,14.980886
0.0,1000,15.02107
0.0,1000,15.061543
0.0,1000,15.102111
0.0,1000,15.143004
0.0,1000,15.182719
1.0,534,15.204483
0.0,1000,15.245126
0.0,1000,15.285029
0.0,1000,15.324839
0.0,1000,15.36526
0.0,1000,15.405882
0.0,1000,15.446423
0.0,1000,15.486404
0.0,1000,15.52681
1.0,702,15.554277
0.0,1000,15.594967
0.0,1000,15.635571
0.0,1000,15.67547
0.0,1000,15.715854
1.0,860,15.750695
1.0,769,15.781939
0.0,1000,15.822625
0.0,1000,15.86252
0.0,1000,15.902745
0.0,1000,15.942871
0.0,1000,15.982951
0.0,1000,16.023515
0.0,1000,16.064123
1.0,642,16.09035
0.0,1000,16.130724
0.0,1000,16.171337
0.0,1000,16.212278
0.0,1000,16.25306
0.0,1000,16.293385
0.0,1000,16.334063
0.0,1000,16.374902
0.0,1000,16.416053
0.0,1000,16.456814
0.0,1000,16.497514
0.0,1000,16.538464
0.0,1000,16.580163
0.0,1000,16.622864
0.0,1000,16.666527
0.0,1000,16.709891
0.0,1000,16.752791
0.0,1000,16.795534
0.0,1000,16.837306
0.0,1000,16.878638
0.0,1000,16.920669
0.0,1000,16.962508
0.0,1000,17.004268
0.0,1000,17.046424
0.0,1000,17.087779
0.0,1000,17.129962
0.0,1000,17.170966
0.0,1000,17.213211
0.0,1000,17.255204
0.0,1000,17.297102
0.0,1000,17.338904
0.0,1000,17.380616
1.0,384,17.396924
0.0,1000,17.439264
0.0,1000,17.481108
0.0,1000,17.523259
0.0,1000,17.564382
0.0,1000,17.606013
0.0,1000,17.648368
0.0,1000,17.690515
0.0,1000,17.732552
0.0,1000,17.775538
0.0,1000,17.819299
1.0,666,17.84792
0.0,1000,17.890608
0.0,1000,17.932776
0.0,1000,17.974717
0.0,1000,18.01565
0.0,1000,18.05761
0.0,1000,18.099559
0.0,1000,18.141516
0.0,1000,18.183358
0.0,1000,18.225475
0.0,1000,18.267308
0.0,1000,18.311469
0.0,1000,18.354109
0.0,1000,18.396648
0.0,1000,18.438046
0.0,1000,18.479306
0.0,1000,18.520356
1.0,331,18.534148
0.0,1000,18.575503
0.0,1000,18.616569
0.0,1000,18.657887
0.0,1000,18.69907
0.0,1000,18.739949
0.0,1000,18.780927
0.0,1000,18.821304
0.0,1000,18.862064
0.0,1000,18.903164
0.0,1000,18.94391
0.0,1000,18.985058
0.0,1000,19.025553
0.0,1000,19.066833
0.0,1000,19.1079
0.0,1000,19.148509
0.0,1000,19.189349
0.0,1000,19.230162
0.0,1000,19.271633
0.0,1000,19.313682
1.0,316,19.326423
0.0,1000,19.367265
0.0,1000,19.407906
0.0,1000,19.448567
0.0,1000,19.488894
0.0,1000,19.529349
0.0,1000,19.570135
0.0,1000,19.610439
0.0,1000,19.651287
0.0,1000,19.692243
0.0,1000,19.732857
0.0,1000,19.773591
0.0,1000,19.814233
0.0,1000,19.854989
0.0,1000,19.895713
0.0,1000,19.936636
0.0,1000,19.976353
0.0,1000,20.017043
0.0,1000,20.05686
0.0,1000,20.097811
0.0,1000,20.138643
0.0,1000,20.179165
0.0,1000,20.220145
0.0,1000,20.260919
0.0,1000,20.30145
0.0,1000,20.341726
0.0,1000,20.382102
0.0,1000,20.422405
0.0,1000,20.463156
0.0,1000,20.503621
0.0,1000,20.54467
0.0,1000,20.585388
0.0,1000,20.626035
0.0,1000,20.666669
0.0,1000,20.707366
0.0,1000,20.748184
0.0,1000,20.788952
0.0,1000,20.829773
0.0,1000,20.870884
1.0,610,20.895715
0.0,1000,20.936181
0.0,1000,20.976512
0.0,1000,21.017127
0.0,1000,21.057562
0.0,1000,21.098077
0.0,1000,21.137044
0.0,1000,21.177585
0.0,1000,21.218884
0.0,1000,21.263873
0.0,1000,21.304792
0.0,1000,21.34575
0.0,1000,21.386441
0.0,1000,21.427125
0.0,1000,21.467718
0.0,1000,21.508636
0.0,1000,21.54917
0.0,1000,21.589297
0.0,1000,21.629554
0.0,1000,21.670254
0.0,1000,21.711071
0.0,1000,21.75173
0.0,1000,21.792153
0.0,1000,21.832734
0.0,1000,21.873353
0.0,1000,21.914314
0.0,1000,21.95494
0.0,1000,21.995498
0.0,1000,22.036278
0.0,1000,22.077223
0.0,1000,22.118212
0.0,1000,22.158878
0.0,1000,22.199537
0.0,1000,22.240065
0.0,1000,22.280649
0.0,1000,22.321399
0.0,1000,22.361492
0.0,1000,22.401867
0.0,1000,22.442528
0.0,1000,22.483162
0.0,1000,22.523537
0.0,1000,22.564148
0.0,1000,22.604555
0.0,1000,22.645011
0.0,1000,22.685639
1.0,933,22.723437
0.0,1000,22.764146
0.0,1000,22.804904
0.0,1000,22.845655
0.0,1000,22.886703
0.0,1000,22.931925
0.0,1000,22.972673
0.0,1000,23.013121
0.0,1000,23.053494
0.0,1000,23.093946
0.0,1000,23.134794
0.0,1000,23.175717
0.0,1000,23.216526
0.0,1000,23.257234
0.0,1000,23.297957
0.0,1000,23.338666
0.0,1000,23.379194
0.0,1000,23.419759
0.0,1000,23.460186
0.0,1000,23.500612
0.0,1000,23.541021
0.0,1000,23.581565
0.0,1000,23.622234
0.0,1000,23.662913
0.0,1000,23.703245
0.0,1000,23.744203
0.0,1000,23.784728
0.0,1000,23.825533
0.0,1000,23.865867
0.0,1000,23.90657
0.0,1000,23.947202
