episodes,steps,total reward
12,10000,4.0
22,20000,0.0
32,30000,0.0
42,40000,2.0
52,50000,0.0
63,60000,2.0
74,70000,1.0
84,80000,2.0
94,90000,0.0
104,100000,0.0
114,110000,1.0
125,120000,3.0
136,130000,1.0
147,140000,4.0
158,150000,3.0
168,160000,1.0
179,170000,2.0
189,180000,1.0
200,190000,3.0
210,200000,0.0
220,210000,1.0
230,220000,0.0
240,230000,0.0
250,240000,0.0
261,250000,2.0
272,260000,1.0
282,270000,1.0
292,280000,0.0
302,290000,1.0
312,300000,0.0
323,310000,1.0
334,320000,2.0
344,330000,1.0
355,340000,3.0
366,350000,1.0
376,360000,1.0
386,370000,1.0
397,380000,1.0
407,390000,1.0
417,400000,0.0
427,410000,0.0
437,420000,0.0
448,430000,1.0
458,440000,1.0
468,450000,0.0
478,460000,0.0
489,470000,1.0
499,480000,1.0
509,490000,0.0
519,500000,0.0
529,510000,1.0
539,520000,2.0
549,530000,0.0
559,540000,0.0
570,550000,1.0
580,560000,0.0
590,570000,0.0
600,580000,0.0
611,590000,2.0
621,600000,0.0
631,610000,0.0
641,620000,2.0
651,630000,0.0
662,640000,1.0
672,650000,0.0
682,660000,0.0
692,670000,0.0
702,680000,1.0
712,690000,1.0
723,700000,1.0
733,710000,0.0
743,720000,1.0
753,730000,0.0
764,740000,2.0
774,750000,1.0
785,760000,1.0
796,770000,2.0
806,780000,0.0
816,790000,1.0
827,800000,2.0
837,810000,0.0
847,820000,0.0
857,830000,0.0
868,840000,1.0
878,850000,0.0
889,860000,2.0
899,870000,0.0
909,880000,0.0
919,890000,1.0
929,900000,1.0
940,910000,2.0
951,920000,2.0
962,930000,1.0
972,940000,0.0
982,950000,1.0
993,960000,1.0
1003,970000,1.0
1013,980000,0.0
1023,990000,0.0
1033,1000000,1.0
1043,1010000,0.0
1055,1020000,2.0
1065,1030000,1.0
1075,1040000,0.0
1085,1050000,0.0
1095,1060000,0.0
1105,1070000,0.0
1115,1080000,1.0
1125,1090000,0.0
1136,1100000,2.0
1146,1110000,0.0
1156,1120000,1.0
1166,1130000,2.0
1177,1140000,2.0
1187,1150000,0.0
1197,1160000,0.0
1207,1170000,1.0
1217,1180000,0.0
1228,1190000,1.0
1238,1200000,1.0
1248,1210000,0.0
1258,1220000,1.0
1269,1230000,2.0
1279,1240000,0.0
1290,1250000,1.0
1300,1260000,0.0
1310,1270000,0.0
1320,1280000,1.0
1330,1290000,0.0
1340,1300000,0.0
1351,1310000,3.0
1361,1320000,2.0
1371,1330000,0.0
1381,1340000,3.0
1391,1350000,0.0
1401,1360000,0.0
1412,1370000,1.0
1423,1380000,2.0
1433,1390000,0.0
1444,1400000,1.0
1454,1410000,1.0
1465,1420000,1.0
1475,1430000,1.0
1485,1440000,1.0
1495,1450000,0.0
1506,1460000,3.0
1517,1470000,2.0
1527,1480000,1.0
1537,1490000,1.0
1547,1500000,0.0
1558,1510000,1.0
1569,1520000,2.0
1579,1530000,1.0
1590,1540000,2.0
1600,1550000,1.0
1610,1560000,1.0
1620,1570000,0.0
1630,1580000,2.0
1640,1590000,0.0
1651,1600000,2.0
1661,1610000,1.0
1671,1620000,1.0
1681,1630000,1.0
1693,1640000,3.0
1703,1650000,1.0
1714,1660000,1.0
1724,1670000,0.0
1735,1680000,3.0
1746,1690000,2.0
1756,1700000,0.0
1767,1710000,2.0
1779,1720000,3.0
1789,1730000,0.0
1799,1740000,1.0
1809,1750000,2.0
1819,1760000,1.0
1830,1770000,2.0
1841,1780000,4.0
1852,1790000,1.0
1862,1800000,1.0
1875,1810000,5.0
1886,1820000,2.0
1896,1830000,2.0
1906,1840000,2.0
1916,1850000,0.0
1926,1860000,0.0
1938,1870000,3.0
1949,1880000,5.0
1960,1890000,1.0
1970,1900000,1.0
1982,1910000,3.0
1993,1920000,3.0
2004,1930000,1.0
2015,1940000,3.0
2025,1950000,1.0
2036,1960000,2.0
2046,1970000,0.0
2057,1980000,2.0
2067,1990000,2.0
2078,2000000,2.0
