# {"t_start": 1614836058.6328235, "env_id": "Office-single-v0"} 
r,l,t
0.0,45,0.002784
0.0,5,0.002977
0.0,7,0.003218
0.0,28,0.003951
0.0,25,0.004594
0.0,47,0.005792
0.0,14,0.006178
0.0,20,0.006734
0.0,58,0.008237
0.0,68,0.009953
0.0,7,0.010157
0.0,113,0.012988
0.0,58,0.014467
0.0,35,0.015406
0.0,24,0.015991
0.0,181,0.020342
0.0,92,0.022629
0.0,54,0.023975
0.0,88,0.026109
0.0,78,0.02798
0.0,26,0.028624
0.0,73,0.030436
0.0,88,0.032578
0.0,62,0.034077
0.0,38,0.035015
0.0,73,0.036783
0.0,23,0.03735
0.0,132,0.040599
0.0,19,0.041096
0.0,26,0.041754
0.0,58,0.043152
0.0,49,0.044343
0.0,34,0.045178
0.0,55,0.046551
0.0,179,0.050948
0.0,90,0.053133
0.0,103,0.055573
0.0,93,0.057804
0.0,76,0.059669
0.0,69,0.061324
0.0,65,0.0629
0.0,37,0.063786
0.0,30,0.064517
0.0,111,0.067346
0.0,135,0.070623
0.0,71,0.072341
0.0,79,0.074276
0.0,115,0.077056
1.0,107,0.079702
0.0,147,0.083424
0.0,126,0.086534
0.0,101,0.088997
0.0,27,0.089662
0.0,21,0.090185
0.0,58,0.091565
0.0,141,0.094933
0.0,14,0.095295
0.0,19,0.095767
0.0,62,0.09727
0.0,144,0.100683
0.0,36,0.101557
0.0,4,0.101684
0.0,54,0.10299
0.0,418,0.112823
0.0,11,0.11312
0.0,89,0.115255
0.0,29,0.116009
0.0,108,0.118698
0.0,137,0.122033
0.0,193,0.126658
0.0,27,0.127324
0.0,4,0.127445
1.0,199,0.132182
0.0,4,0.132312
0.0,51,0.133544
0.0,12,0.133859
0.0,195,0.138471
0.0,83,0.140523
0.0,39,0.141474
1.0,157,0.145167
0.0,161,0.149003
1.0,174,0.153141
0.0,154,0.156923
0.0,53,0.1582
0.0,8,0.158423
1.0,239,0.164177
1.0,333,0.172189
0.0,58,0.17358
0.0,129,0.176728
0.0,456,0.187609
1.0,189,0.192183
0.0,6,0.192367
0.0,71,0.194093
0.0,22,0.194658
1.0,369,0.203503
0.0,19,0.20399
1.0,124,0.206959
0.0,226,0.212391
0.0,118,0.215244
1.0,80,0.217169
0.0,267,0.223505
1.0,209,0.228544
0.0,81,0.230506
0.0,8,0.230724
0.0,134,0.233985
0.0,16,0.234496
0.0,87,0.236575
0.0,115,0.23937
0.0,143,0.242771
1.0,388,0.252181
1.0,186,0.25665
1.0,252,0.262712
1.0,275,0.269308
0.0,159,0.273108
0.0,58,0.274555
0.0,55,0.275929
0.0,37,0.276823
0.0,106,0.27941
0.0,151,0.283078
0.0,132,0.286221
0.0,34,0.287148
0.0,142,0.290663
0.0,55,0.292006
0.0,8,0.292238
0.0,166,0.296193
0.0,152,0.299811
1.0,143,0.303262
0.0,41,0.304269
1.0,127,0.307336
0.0,37,0.30825
0.0,54,0.3096
0.0,17,0.31004
0.0,34,0.310878
1.0,261,0.3173
0.0,7,0.317506
0.0,152,0.321177
1.0,273,0.330201
0.0,12,0.330582
0.0,71,0.332301
0.0,169,0.336337
0.0,68,0.338008
0.0,45,0.33909
0.0,60,0.340534
0.0,43,0.34157
0.0,40,0.342542
0.0,13,0.3429
0.0,278,0.349596
1.0,166,0.353573
0.0,187,0.358058
0.0,117,0.361068
0.0,23,0.361647
1.0,172,0.365708
0.0,116,0.368581
0.0,36,0.369448
0.0,44,0.370516
0.0,148,0.374127
1.0,182,0.378484
0.0,149,0.382055
1.0,214,0.387218
1.0,196,0.391974
1.0,194,0.396608
0.0,20,0.39712
0.0,18,0.397593
0.0,439,0.408193
0.0,60,0.409684
1.0,136,0.412972
1.0,440,0.423555
0.0,95,0.425887
0.0,109,0.428512
0.0,145,0.431926
0.0,84,0.433973
0.0,59,0.435389
0.0,17,0.43582
0.0,60,0.437238
0.0,56,0.438634
1.0,268,0.445105
1.0,112,0.447843
0.0,142,0.451187
0.0,69,0.452844
1.0,515,0.465038
0.0,25,0.465668
0.0,93,0.467934
1.0,133,0.471151
0.0,37,0.472057
0.0,195,0.476743
0.0,126,0.479838
0.0,192,0.484422
1.0,194,0.48936
0.0,11,0.489666
1.0,232,0.495477
0.0,313,0.502974
1.0,148,0.5065
0.0,60,0.50794
0.0,56,0.509318
1.0,79,0.511202
0.0,10,0.511468
1.0,104,0.513987
0.0,14,0.51435
0.0,19,0.514825
0.0,28,0.515513
0.0,18,0.515956
1.0,164,0.519867
0.0,186,0.524287
0.0,92,0.5265
0.0,64,0.528045
0.0,20,0.52854
0.0,2,0.528614
1.0,192,0.533227
1.0,74,0.534997
0.0,26,0.535641
